Sim_Start_Date,Sim_End_Date,Algorithm_Value,Funds,Investing,Income,Taxes,Purchase_Count,Sell_Count,Div_Count,Average_Income,Median_Income,Back_Test_Count,Research_Range_In_Days,Dataframe_Range_In_Years,Past_Periods,Indicator_List,Indicator_Strength,Buy_Pattern,Sell_Pattern,Sell_Profit,Sell_Loss,Max_Stock_Count,Max_Stock_Percent,Max_Sector_Percent
2023-02-08,2023-03-08,0.9349,3000,3080.0,80.48,8.85,3,2,0,40.24,40.24,10,28,5,160,obv/macd,2,D/D/D,I/I/D,0.01,-0.23,1,1,1
2023-02-08,2023-03-08,1.0818,3000,3051.0,51.84,5.7,3,2,0,25.92,25.92,10,28,5,65,elder,2,D/D,IGNORE,0.005,-0.25,1,1,1
2023-02-08,2023-03-08,0.8885,3000,3077.0,77.14,8.48,2,1,0,77.14,77.14,10,28,5,60,pvo/macd,1,D/D/I,D/I/I,0.02,-0.25,1,1,1
2023-02-08,2023-03-08,0.6309,3000,3039.0,39.26,4.32,2,1,0,39.26,39.26,10,28,5,115,chandelier/elder,2,I/I/D,D/D/I,0.01,-0.09,1,1,1
2023-02-08,2023-03-08,1.2109,3000,0,12.41,1.37,1,1,0,12.41,12.41,10,28,5,165,pvo,0,D/I,D/D,0.08,-0.15,1,1,1
2023-02-08,2023-03-08,1.3405,3000,0,39.2,4.31,1,1,0,39.2,39.2,10,28,5,40,aroon,1,D/D,I/I,0.005,-0.1,1,1,1
2023-02-08,2023-03-08,0.8395,3000,3051.0,51.84,5.7,3,2,0,25.92,25.92,10,28,5,125,bollinger/adl/chop/pvo,0,I/I/D/D/I,IGNORE,0.005,-0.22,1,1,1
2023-02-08,2023-03-08,1.274,3000,0,39.26,4.32,1,1,0,39.26,39.26,10,28,5,35,pivots/stochastic/chandelier,0,D/D/D/D,I/D/I/D,0.01,-0.23,1,1,1
2023-02-10,2023-03-10,0.6356,3000,3040.0,40.69,4.48,2,1,0,40.69,40.69,10,28,5,140,adx/elder,1,D/I/D,IGNORE,0.01,-0.14,1,1,1
2023-02-10,2023-03-10,0.7122,3000,3063.0,63.66,7.0,2,1,0,63.66,63.66,10,28,5,125,macd/chop/pvo/chandelier/pivots,0,D/D/D/D/I/D,I/I/I/D/I/I,0.005,-0.06,1,1,1
2023-02-11,2023-03-11,0.8165,3000,3063.0,63.66,7.0,2,1,0,63.66,63.66,10,28,5,195,aroon,4,D/D,I/D,0.01,-0.09,1,1,1
2023-02-11,2023-03-11,1.062,3000,3028.0,28.16,3.1,2,1,0,28.16,28.16,10,28,5,55,chandelier/stochastic/chop,0,D/D/D/D,IGNORE,0.005,-0.29,1,1,1
2023-02-11,2023-03-11,0.544,3000,3013.0,13.2,1.45,2,1,0,13.2,13.2,10,28,5,135,aroon/adl/macd/zigzag,0,D/I/I/D/I,IGNORE,0.005,-0.27,1,1,1
2023-02-11,2023-03-11,1.1307,3000,0,39.2,4.31,1,1,0,39.2,39.2,10,28,5,125,pvo/adl/bop/aroon/zigzag,0,I/D/I/I/D/I,IGNORE,0.01,-0.16,1,1,1
2023-02-11,2023-03-11,1.0233,3000,3039.0,39.2,4.31,2,1,0,39.2,39.2,10,28,5,10,mfi,1,D/D,I/I,0.005,-0.16,1,1,1
2023-02-13,2023-03-13,0.8896,3000,3028.0,28.16,3.1,2,1,0,28.16,28.16,10,28,5,65,adx/pivots,0,D/D/D,I/D/D,0.005,-0.15,1,1,1
2023-02-14,2023-03-14,1.4296,3000,0,63.66,7.0,1,1,0,63.66,63.66,10,28,5,60,elder,4,D/D,IGNORE,0.01,-0.26,1,1,1
2023-02-14,2023-03-14,0.7571,3000,3077.0,77.14,8.48,2,1,0,77.14,77.14,10,28,5,120,stochastic/zigzag,0,D/D/I,I/I/D,0.02,-0.09,1,1,1
2023-02-14,2023-03-14,1.6875,3000,0,77.14,8.48,1,1,0,77.14,77.14,10,28,5,25,mfi,0,D/I,D/D,0.025,-0.28,1,1,1
2023-02-14,2023-03-14,1.4056,3000,0,77.14,8.48,1,1,0,77.14,77.14,10,28,5,125,mfi,0,D/I,IGNORE,0.015,-0.28,1,1,1
2023-02-14,2023-03-14,1.3107,3000,0,60.76,6.68,1,1,0,60.76,60.76,10,28,5,110,bop,4,D/D,D/I,0.005,-0.01,1,1,1
2023-02-15,2023-03-15,1.2571,3000,0,77.14,8.48,1,1,0,77.14,77.14,10,28,5,20,pvo/adl,0,D/I/D,I/I/I,0.025,-0.29,1,1,1
2023-02-15,2023-03-15,1.5401,3000,0,43.7,4.81,1,1,0,43.7,43.7,10,28,5,5,elder/chop/zigzag/bop/bollinger,1,D/D/D/D/D/D,D/I/I/I/I/I,0.01,-0.28,1,1,1
2023-02-15,2023-03-15,1.3453,3000,0,60.76,6.68,1,1,0,60.76,60.76,10,28,5,35,pvo,0,D/D,IGNORE,0.015,-0.26,1,1,1
2023-02-16,2023-03-16,1.2025,3000,0,60.76,6.68,1,1,0,60.76,60.76,10,28,5,115,zigzag/bop,4,D/I/D,IGNORE,0.01,-0.14,1,1,1
2023-02-16,2023-03-16,1.2122,3000,0,63.66,7.0,1,1,0,63.66,63.66,10,28,5,55,stochastic/elder,5,D/D/D,I/D/D,0.005,-0.16,1,1,1
2023-02-16,2023-03-16,1.8872,3000,0,62.13,6.83,2,2,0,31.07,31.07,10,28,5,20,elder/rsi/adx,0,D/D/D/I,IGNORE,0.005,-0.01,1,1,1
2023-02-17,2023-03-17,1.2703,3000,0,81.1,8.92,2,2,0,40.55,40.55,10,28,5,115,pvo/stochastic,2,D/D/D,I/D/I,0.005,-0.26,1,1,1
2023-02-17,2023-03-17,1.0712,3000,3077.0,77.14,8.48,2,1,0,77.14,77.14,10,28,5,35,bollinger,0,D/D,IGNORE,0.015,-0.25,1,1,1
2023-02-17,2023-03-17,1.4183,3000,0,22.64,2.49,1,1,0,22.64,22.64,10,28,5,130,bop,0,D/D,I/I,0.005,-0.26,1,1,1
