Payment_Date,Declaration_Date,Ex_Date,Record_Date,Cash_Amount
1987-05-15,1987-04-14,1987-04-20,1987-04-24,0.675
1987-08-14,1987-07-14,1987-07-20,1987-07-24,0.675
1987-11-16,1987-10-13,1987-10-19,1987-10-23,0.675
1988-02-15,1988-01-12,1988-01-15,1988-01-22,0.70
1988-05-16,1988-04-11,1988-04-18,1988-04-22,0.70
1988-08-15,1988-07-12,1988-07-18,1988-07-22,0.70
1988-11-15,1988-10-11,1988-10-17,1988-10-21,0.70
1989-02-15,1989-01-10,1989-01-13,1989-01-20,0.80
1989-05-15,1989-04-11,1989-04-17,1989-04-21,0.80
1989-08-15,1989-07-11,1989-07-17,1989-07-21,0.80
1989-11-15,1989-10-10,1989-10-16,1989-10-20,0.90
1990-02-15,1990-01-09,1990-01-12,1990-01-19,0.45
1990-05-15,1990-04-10,1990-04-16,1990-04-20,0.45
1990-08-15,1990-07-10,1990-07-16,1990-07-20,0.45
1990-11-15,1990-10-09,1990-10-15,1990-10-19,0.50
1991-02-15,1991-01-09,1991-01-14,1991-01-18,0.50
1991-05-15,1991-04-10,1991-04-15,1991-04-19,0.50
1991-08-15,1991-07-09,1991-07-15,1991-07-19,0.50
1991-11-15,1991-10-09,1991-10-11,1991-10-18,0.50
1992-02-14,1992-01-14,1992-01-17,1992-01-24,0.50
1992-05-15,1992-04-14,1992-04-20,1992-04-24,0.55
1992-08-14,1992-07-14,1992-07-20,1992-07-24,0.275
1992-11-16,1992-10-14,1992-10-19,1992-10-23,0.275
1993-02-16,1993-01-12,1993-01-15,1993-01-22,0.275
1993-05-14,1993-04-13,1993-04-19,1993-04-23,0.275
1993-08-16,1993-07-15,1993-07-19,1993-07-23,0.31
1993-11-15,1993-10-12,1993-10-18,1993-10-22,0.31
1994-02-15,1994-01-11,1994-01-14,1994-01-21,0.31
1994-05-16,1994-04-12,1994-04-18,1994-04-22,0.31
1994-08-15,1994-07-12,1994-07-18,1994-07-22,0.35
