date,close,volume,open,high,low,macd,rsi,aroon,adx,bollinger,stochastic,chandelier,pivots,adl,mfi,obv,pvo,zigzag,bop,elder,chop
2018-08-28,83.48,5400739,83.72,83.86,83.32,,,,,,,,,-2200301.0,,0.0,,,,,
2018-08-29,83.49,4520429,83.51,83.76,83.29,,,,,,,,,-2873556.5,,4520429.0,,,,,
2018-08-30,83.41,4443865,83.39,83.74,83.19,,,,,,,,,-3762329.5,,76564.0,,,,,
2018-08-31,82.95,6579145,83.35,83.53,82.39,,,,,,,,,-3877753.0,,-6502581.0,,,,,
2018-09-04,82.7,5743875,82.48,82.96,82.07,,,,,,,,,-1489850.0,,-12246456.0,,,,,
2018-09-05,83.29,7577694,82.11,83.47,82.11,,,,,,,,,4081983.8,,-4668762.0,,,,,
2018-09-06,82.65,7541078,82.91,83.305,82.49,,,,,,,,,-498180.1,,-12209840.0,,,,,
2018-09-07,81.91,11091290,82.1,82.2,81.25,,,,,,,,,3821585.5,,-23301130.0,,,,,
2018-09-10,82.38,6648969,82.58,83.1,82.34,,,,,,,,,-2127492.0,,-16652161.0,,,,,
2018-09-11,82.01,5181375,82.13,82.42,81.63,,,,,,,,,-2324253.0,,-21833536.0,,,,,
2018-09-12,83.11,5915718,81.9,83.18,81.7,,,,,,,,,3031870.0,,-15917818.0,,,,,
2018-09-13,83.45,5081623,83.27,83.49,82.65,,,,,,,,,7629529.0,,-10836195.0,,,,,
2018-09-14,83.61,4876240,83.47,83.665,82.97,,,,,,,,,11733990.0,,-5959955.0,,,,0.72115386,
2018-09-17,84.25,6825032,83.5,84.274,83.34,,,,,,,,,18208270.0,,865077.0,,,0.10111013,1.3307033,
2018-09-18,84.0,5926616,84.29,84.29,83.575,,54.262295,,,,,,,19327282.0,48.916103,-5061539.0,,,0.10388514,1.33646,55.837097
2018-09-19,84.0,6127511,83.92,84.29,83.77,,54.262295,,,,,,,18620262.0,54.94172,-5061539.0,,,0.117913656,1.3212514,55.979614
2018-09-20,85.36,10014860,84.29,85.635,84.23,,63.658997,,,,,,,24714714.0,62.37032,4953321.0,,,0.16971381,2.5575013,45.065952
2018-09-21,85.82,17314030,85.81,86.28,85.52,,66.189224,,,,90.63933,,86.28,21069654.0,72.53679,22267352.0,,,0.19571632,3.8735723,39.28276
2018-09-24,84.27,6234613,85.63,85.71,84.23,,52.83931,,,,68.108376,,86.06,15172048.0,72.09703,16032738.0,,,0.11242276,1.9259193,41.10812
2018-09-25,83.12,5370475,84.28,84.41,83.08,,45.505844,,,0.4108448,30.796272,,85.84,10124609.0,66.379875,10662263.0,,,-0.011850638,-0.27064064,41.031666
2018-09-26,83.26,6562417,83.25,83.99,83.03,,46.47968,,,0.45014572,10.538769,,85.62,6706683.5,66.97113,17224680.0,,,0.011680438,-0.5634063,41.399765
2018-09-27,82.86,5290359,83.04,83.63,82.81,,44.05715,,,0.35573697,8.291613,,85.4,2061490.2,70.79808,11934321.0,,,0.01028671,-0.8772054,42.88196
2018-09-28,83.23,4756464,83.03,83.29,82.79,,46.81833,,,0.45332775,24.912413,83.34218,85.18,5676403.0,70.23794,16690785.0,,,0.05765513,-1.1147474,41.02386
2018-10-01,83.67,4865253,83.31,83.72,83.17,,49.980083,,,0.5574775,35.36608,83.40072,84.96,9657064.0,75.47532,21556038.0,,,0.115258284,-0.32549784,40.930355
2018-10-02,84.36,6658259,83.48,84.435,83.37,,54.544006,,,0.71350694,51.368492,83.38637,84.74,15377541.0,75.68977,28214296.0,,,0.1158814,0.3745733,48.554947
