Sim_Start_Date,Sim_End_Date,Algorithm_Value,Funds,Investing,Income,Taxes,Purchase_Count,Sell_Count,Div_Count,Average_Income,Median_Income,Back_Test_Count,Research_Range_In_Days,Dataframe_Range_In_Years,Past_Periods,Indicator_List,Indicator_Strength,Buy_Pattern,Sell_Pattern,Sell_Profit,Sell_Loss,Max_Stock_Count,Max_Stock_Percent,Max_Sector_Percent
2023-02-08,2023-03-08,1.5524,3000,0,68.13,7.49,1,1,0,68.13,68.13,10,28,5,145,mfi/pvo,2,I/D/D,I/I/I,0.01,-0.16,1,1,1
2023-02-08,2023-03-08,1.5348,3000,0,24.06,2.65,1,1,0,24.06,24.06,10,28,5,10,bop/macd,3,I/I/I,D/I/D,0.005,-0.14,1,1,1
2023-02-08,2023-03-08,1.2077,3000,0,29.16,3.21,1,1,0,29.16,29.16,10,28,5,10,pivots/mfi/chandelier,0,D/D/I/I,IGNORE,0.01,-0.2,1,1,1
2023-02-08,2023-03-08,1.4653,3000,0,25.92,2.85,1,1,0,25.92,25.92,10,28,5,30,macd,0,D/I,D/D,0.005,-0.06,1,1,1
2023-02-08,2023-03-08,1.4486,3000,0,24.06,2.65,1,1,0,24.06,24.06,10,28,5,95,bop,0,I/D,D/I,0.01,-0.02,1,1,1
2023-02-08,2023-03-08,1.3491,3000,0,25.24,2.78,1,1,0,25.24,25.24,10,28,5,45,aroon,1,D/D,IGNORE,0.01,-0.28,1,1,1
2023-02-08,2023-03-08,1.3399,3000,0,9.64,1.06,1,1,0,9.64,9.64,10,28,5,5,pivots/adx,0,D/D/I,I/D/D,0.035,-0.13,1,1,1
2023-02-08,2023-03-08,1.2045,3000,0,27.86,3.06,1,1,0,27.86,27.86,10,28,5,10,elder/adl/obv,0,D/D/I/D,D/D/I/I,0.01,-0.3,1,1,1
2023-02-08,2023-03-08,1.3926,3000,0,39.97,4.4,1,1,0,39.97,39.97,10,28,5,10,chop,1,D/I,D/D,0.015,-0.17,1,1,1
2023-02-08,2023-03-08,1.3715,3000,0,50.07,5.51,1,1,0,50.07,50.07,10,28,5,5,elder/zigzag/macd,0,D/I/D/I,IGNORE,0.02,-0.03,1,1,1
2023-02-08,2023-03-08,0.7743,3000,3072.0,72.94,8.02,2,1,0,72.94,72.94,10,28,5,110,macd/bop/pvo,3,I/D/I/D,IGNORE,0.025,-0.07,1,1,1
2023-02-08,2023-03-08,0.7308,3000,3069.0,69.23,7.62,2,1,0,69.23,69.23,10,28,5,85,mfi/bop/chandelier,1,D/D/D/I,IGNORE,0.01,-0.09,1,1,1
2023-02-08,2023-03-08,1.6653,3000,0,68.13,7.49,1,1,0,68.13,68.13,10,28,5,5,elder/bop,2,D/D/D,IGNORE,0.005,-0.01,1,1,1
2023-02-08,2023-03-08,1.2374,3000,3146.0,146.22,16.08,4,3,0,48.74,43.59,10,28,5,150,aroon/bollinger,3,I/I/D,D/I/D,0.005,-0.04,1,1,1
2023-02-08,2023-03-08,1.1942,3000,0,58.25,6.41,1,1,0,58.25,58.25,10,28,5,45,elder/macd,4,D/D/I,I/D/D,0.015,-0.22,1,1,1
2023-02-08,2023-03-08,0.885,3000,3059.0,59.27,6.52,2,1,0,59.27,59.27,10,28,5,190,pvo,4,I/D,D/D,0.01,-0.09,1,1,1
2023-02-08,2023-03-08,1.1476,3000,0,19.84,2.18,1,1,0,19.84,19.84,10,28,5,170,elder,2,I/I,I/D,0.085,-0.02,1,1,1
2023-02-08,2023-03-08,1.196,3000,0,23.3,2.56,1,1,0,23.3,23.3,10,28,5,125,adl/macd/zigzag,0,I/D/D/I,IGNORE,0.005,-0.23,1,1,1
2023-02-08,2023-03-08,0.9931,3000,3038.0,38.87,4.28,2,1,0,38.87,38.87,10,28,5,60,chandelier/pvo,1,D/D/D,D/I/D,0.01,-0.04,1,1,1
2023-02-09,2023-03-09,0.7623,3000,3044.0,44.75,4.92,2,1,0,44.75,44.75,10,28,5,5,bollinger/chandelier/adl,0,I/I/D/I,D/I/I/D,0.07,-0.17,1,1,1
2023-02-09,2023-03-09,1.5588,3000,0,67.09,7.38,2,2,0,33.54,33.54,10,28,5,65,obv/adx/pivots/mfi,0,D/D/D/D/D,I/D/I/I/D,0.01,-0.16,1,1,1
2023-02-09,2023-03-09,1.5852,3000,0,22.0,2.42,2,2,0,11.0,11.0,10,28,5,135,pivots,0,I/I,I/D,0.005,-0.13,1,1,1
2023-02-09,2023-03-09,1.1991,3000,0,27.22,2.99,1,1,0,27.22,27.22,10,28,5,85,pvo/adx/macd,1,I/I/D/D,IGNORE,0.005,-0.17,1,1,1
