Payment_Date,Declaration_Date,Ex_Date,Record_Date,Cash_Amount
2005-09-15,N/A,2005-08-03,2005-08-05,0.5538
2005-12-15,N/A,2005-11-02,2005-11-04,0.5556
2006-06-14,N/A,2006-05-10,2006-05-12,0.6305
2006-09-13,N/A,2006-08-02,2006-08-04,0.6308
2006-12-13,N/A,2006-11-01,2006-11-03,0.6294
2007-03-14,N/A,2007-02-07,2007-02-09,0.65
2007-06-13,N/A,2007-05-09,2007-05-11,0.72
2007-09-12,N/A,2007-08-01,2007-08-03,0.72
2007-12-12,N/A,2007-10-31,2007-11-02,0.72
2008-03-12,N/A,2008-02-06,2008-02-08,0.72
2008-06-11,N/A,2008-05-14,2008-05-16,0.80
2008-09-10,N/A,2008-08-06,2008-08-08,0.80
2008-12-10,N/A,2008-11-05,2008-11-07,0.80
2009-03-11,N/A,2009-02-04,2009-02-06,0.80
2009-06-10,N/A,2009-05-06,2009-05-08,0.84
2009-09-09,N/A,2009-08-05,2009-08-07,0.84
2009-12-09,N/A,2009-11-04,2009-11-06,0.84
2010-03-17,N/A,2010-02-10,2010-02-12,0.84
2010-06-09,N/A,2010-05-05,2010-05-07,0.84
2010-09-08,N/A,2010-08-04,2010-08-06,0.84
2010-12-17,N/A,2010-11-03,2010-11-05,0.84
2011-03-25,N/A,2011-02-09,2011-02-11,0.84
2011-06-27,N/A,2011-05-11,2011-05-13,0.84
2011-09-19,N/A,2011-08-03,2011-08-05,0.84
2011-12-16,N/A,2011-11-02,2011-11-04,0.84
2012-03-22,N/A,2012-02-15,2012-02-17,0.84
2012-06-21,N/A,2012-05-09,2012-05-11,0.86
2012-09-20,N/A,2012-08-08,2012-08-10,0.86
2012-12-20,N/A,2012-11-14,2012-11-16,0.86
2013-03-28,N/A,2013-02-13,2013-02-15,0.86
2013-06-27,N/A,2013-05-15,2013-05-17,0.90
2013-09-26,N/A,2013-08-14,2013-08-16,0.90
2013-12-23,N/A,2013-11-13,2013-11-15,0.90
2014-03-27,N/A,2014-02-12,2014-02-14,0.90
2014-06-26,N/A,2014-05-14,2014-05-16,0.94
2014-09-25,N/A,2014-08-13,2014-08-15,0.94
2014-12-22,N/A,2014-11-12,2014-11-14,0.94
2015-03-20,N/A,2015-02-11,2015-02-13,0.94
2015-06-22,N/A,2015-05-13,2015-05-15,0.94
2015-09-21,N/A,2015-08-12,2015-08-14,0.94
2015-12-18,N/A,2015-11-10,2015-11-13,0.94
2016-03-29,N/A,2016-02-17,2016-02-19,0.94
2016-06-27,N/A,2016-05-18,2016-05-20,0.94
2016-09-19,N/A,2016-08-10,2016-08-12,0.94
2016-12-16,N/A,2016-11-08,2016-11-11,0.94
2017-03-27,N/A,2017-02-15,2017-02-17,0.94
2017-06-26,N/A,2017-05-17,2017-05-19,0.94
2017-09-18,N/A,2017-08-09,2017-08-11,0.94
2017-12-20,2017-11-02,2017-11-16,2017-11-17,0.94
2018-03-26,2017-11-03,2018-02-15,2018-02-16,0.94
2018-06-18,2018-04-26,2018-05-10,2018-05-11,0.94
2018-09-17,2017-11-03,2018-08-09,2018-08-10,0.94
2018-12-19,2018-11-03,2018-11-15,2018-11-16,0.94
2019-03-25,N/A,2019-02-14,2019-02-15,0.94
2019-06-24,2019-05-02,2019-05-16,2019-05-17,0.94
2019-09-23,2019-08-01,2019-08-15,2019-08-16,0.94
2019-12-18,N/A,2019-11-14,2019-11-15,0.94
2020-03-23,2020-01-30,2020-02-13,2020-02-14,0.94
2020-06-22,2020-04-30,2020-05-14,2020-05-15,0.32
2022-03-28,2022-02-03,2022-02-17,2022-02-18,0.48
2022-06-27,2022-05-05,2022-05-19,2022-05-20,0.50
2022-09-19,2022-07-28,2022-08-11,2022-08-12,0.50
2022-12-19,2022-10-27,2022-11-09,2022-11-11,0.50
2023-03-27,2023-02-02,2023-02-16,2023-02-17,0.575
2023-06-26,2023-05-04,2023-05-18,2023-05-19,0.575
2023-09-18,0001-01-01,2023-08-10,2023-08-11,0.662
