date,close,volume,open,high,low
2013-03-08,66.17,2417981,66.26,66.35,66.02
2013-03-11,66.15,4296437,66.13,66.33,65.98
2013-03-12,65.98,3447526,66.23,66.2643,65.98
2013-03-13,65.93,2058528,65.96,66.02,65.715
2013-03-14,66.58,3310768,66.23,66.77,66.15
2013-03-15,66.20,3091015,65.94,66.23,65.80
2013-03-18,65.57,1764219,65.36,65.905,65.36
2013-03-19,65.62,2502252,65.87,65.87,65.22
2013-03-20,65.93,2443500,65.96,66.09,65.63
2013-03-21,65.31,3855318,65.04,65.63,65.04
2013-03-22,65.72,3833090,65.59,66.15,65.40
2013-03-25,64.87,2767768,65.41,65.61,64.75
2013-03-26,65.64,2267691,65.12,65.73,65.04
2013-03-27,65.13,4852942,64.65,65.24,64.64
2013-03-28,65.16,5196463,64.84,65.33,64.51
2013-04-01,65.00,1812113,65.20,65.28,64.935
2013-04-02,64.99,8181720,65.22,65.30,64.99
2013-04-03,64.71,4705127,64.95,65.07,64.61
2013-04-04,64.14,3979550,64.29,64.50,64.04
2013-04-05,64.15,3425113,63.51,64.25,63.35
2013-04-08,63.81,2758285,63.845,63.89,63.40
2013-04-09,64.26,3131039,63.86,64.45,63.75
2013-04-10,64.72,2625262,64.68,65.00,64.56
2013-04-11,65.38,2054296,65.11,65.552,65.04
2013-04-12,65.26,3336322,65.34,65.39,65.11
2013-04-15,64.35,3636434,64.55,64.771,64.235
2013-04-16,65.02,3065674,64.95,65.03,64.705
2013-04-17,63.93,3576570,64.10,64.16,63.55
2013-04-18,64.02,3261006,63.96,64.31,63.63
2013-04-19,64.04,2998775,63.97,64.095,63.67
2013-04-22,64.62,2455981,64.21,64.81,63.90
2013-04-23,65.77,2423894,64.98,65.85,64.90
2013-04-24,66.47,1975252,66.42,66.77,66.37
2013-04-25,67.02,2160168,67.00,67.54,66.90
2013-04-26,66.78,1641675,66.77,67.04,66.60
2013-04-29,67.48,1994016,67.36,67.709,67.33
2013-04-30,67.97,2146229,68.07,68.18,67.80
2013-05-01,67.69,2542431,68.65,68.70,67.64
2013-05-02,68.44,2324949,68.24,68.50,68.14
2013-05-03,69.07,2382895,69.07,69.56,68.96
2013-05-06,68.75,2192177,68.98,69.085,68.50
2013-05-07,68.67,1450267,68.88,69.0999,68.53
2013-05-08,69.60,2223385,69.69,69.94,69.54
2013-05-09,69.23,1251981,69.59,69.65,69.00
2013-05-10,69.06,1465097,68.92,69.08,68.58
2013-05-13,69.05,2514384,68.80,69.09,68.75
2013-05-14,69.75,3552115,69.10,69.76,69.10
2013-05-15,67.56,3055067,68.02,68.265,67.50
2013-05-16,67.32,3507898,67.57,67.92,67.32
2013-05-17,67.80,1308929,67.78,67.99,67.64
2013-05-20,67.90,1252725,67.55,68.02,67.55
2013-05-21,68.38,1245380,68.02,68.71,67.98
2013-05-22,67.58,2675201,68.28,68.67,67.56
2013-05-23,67.80,1709096,67.53,67.84,67.11
2013-05-24,67.40,1171235,67.12,67.42,66.944
2013-05-28,67.50,1276918,68.21,68.27,67.46
2013-05-29,67.67,1203312,67.51,67.7888,67.30
2013-05-30,67.64,1740135,67.53,67.77,67.375
2013-05-31,66.37,2011526,67.29,67.33,66.25
2013-06-03,66.85,2381314,66.38,66.92,66.10
2013-06-04,66.38,2547077,66.80,66.86,66.03
2013-06-05,65.37,2780137,66.05,66.13,65.37
2013-06-06,65.53,1857252,65.44,65.775,65.335
2013-06-07,65.21,2892251,65.38,65.61,64.99
2013-06-10,66.05,1547203,65.53,66.24,65.40
2013-06-11,65.99,2175670,65.80,66.39,65.73
2013-06-12,65.72,1887457,66.55,66.55,65.70
2013-06-13,66.34,1864730,65.81,66.47,65.76
2013-06-14,65.45,2090523,65.57,65.79,65.40
2013-06-17,65.90,2552508,66.38,66.62,65.72
2013-06-18,65.99,1624114,65.91,66.21,65.85
2013-06-19,65.28,2074210,66.05,66.13,65.23
2013-06-20,64.29,3320156,64.54,64.65,64.16
2013-06-21,64.19,4048857,64.12,64.3462,63.55
2013-06-24,63.43,4295236,63.02,63.94,62.76
2013-06-25,62.98,4250997,63.49,63.58,62.95
2013-06-26,63.70,2456955,63.62,63.77,63.22
2013-06-27,64.33,1641209,64.04,64.40,64.02
2013-06-28,63.80,2100143,64.04,64.18,63.63
2013-07-01,63.99,2128572,64.15,64.353,63.90
2013-07-02,63.68,1761631,63.72,64.00,63.45
2013-07-03,63.41,1040919,63.23,63.50,62.95
2013-07-05,63.22,2104078,63.09,63.23,62.65
2013-07-08,63.88,1517260,63.65,63.99,63.549
2013-07-09,64.56,1948122,64.19,64.66,63.93
2013-07-10,65.22,2679837,64.70,65.46,64.63
2013-07-11,66.84,2768419,66.67,66.90,66.15
2013-07-12,66.97,2067673,67.00,67.13,66.61
2013-07-15,66.39,2528740,66.78,66.9701,66.32
2013-07-16,67.17,2352204,67.04,67.205,66.83
2013-07-17,67.43,1783493,67.81,67.82,67.22
2013-07-18,67.71,1794117,67.83,68.16,67.54
2013-07-19,68.02,1323635,67.79,68.11,67.62
2013-07-22,68.15,2036071,68.57,68.82,68.09
2013-07-23,68.41,1644032,68.31,68.475,68.05
2013-07-24,68.55,1979889,68.75,68.79,68.3301
2013-07-25,68.68,1421653,68.30,68.70,68.28
2013-07-26,68.51,1762690,68.38,68.61,67.98
2013-07-29,67.68,1518619,68.03,68.06,67.6149
2013-07-30,67.33,1460903,67.73,67.77,67.21
2013-07-31,68.35,2479338,67.90,68.41,67.70
2013-08-01,64.47,6974091,64.82,65.14,64.28
2013-08-02,64.25,4363252,64.13,64.51,64.01
2013-08-05,64.44,2268360,64.35,64.4899,64.03
2013-08-06,64.30,1401163,64.35,64.46,64.00
2013-08-07,64.03,1708861,64.37,64.50,64.00
2013-08-08,64.55,1751833,64.44,64.62,64.22
2013-08-09,64.77,1530528,64.85,65.03,64.63
2013-08-12,64.40,1831497,64.02,64.45,64.01
2013-08-13,64.73,2840813,64.57,64.99,64.44
2013-08-14,63.88,1715852,64.41,64.61,63.84
2013-08-15,63.62,3155656,63.43,63.6875,63.08
2013-08-16,64.00,2909163,64.09,64.11,63.91
2013-08-19,63.80,2381168,64.23,64.27,63.75
2013-08-20,63.83,1605330,64.00,64.13,63.74
2013-08-21,63.64,2230812,63.72,63.9796,63.58
2013-08-22,63.67,2014938,63.63,63.87,63.59
2013-08-23,64.42,1660503,64.04,64.50,63.98
2013-08-26,64.24,1332516,64.58,64.64,64.19
2013-08-27,64.82,2353091,64.46,65.25,64.45
2013-08-28,66.06,1783350,66.08,66.38,65.8982
2013-08-29,65.35,1537563,65.50,65.64,65.32
2013-08-30,64.59,1982879,64.67,64.81,64.37
2013-09-03,64.75,1723341,64.74,64.82,64.38
2013-09-04,64.79,1636760,64.50,65.09,64.42
2013-09-05,64.70,1501891,64.43,64.84,64.40
2013-09-06,64.91,1557003,65.05,65.08,64.59
2013-09-09,64.93,1784410,64.41,65.06,64.37
2013-09-10,64.65,2193062,64.75,64.90,64.65
2013-09-11,65.49,2891789,64.84,65.49,64.84
2013-09-12,65.38,939044,65.59,65.84,65.31
2013-09-13,65.49,1064013,65.40,65.65,65.37
2013-09-16,65.25,1833656,66.20,66.21,65.18
2013-09-17,64.96,3982116,65.30,65.41,64.90
2013-09-18,66.24,2569223,65.43,66.32,65.0369
2013-09-19,66.41,1888281,66.50,66.50,66.17
2013-09-20,65.89,2116031,66.32,66.56,65.79
2013-09-23,65.63,2396325,65.90,65.96,65.59
2013-09-24,65.54,2448589,65.66,65.785,65.48
2013-09-25,65.63,2927191,65.31,65.73,65.31
2013-09-26,65.81,1388026,65.60,65.97,65.60
2013-09-27,65.88,1851717,65.75,65.92,65.52
2013-09-30,65.68,1932907,65.75,66.0501,65.64
2013-10-01,65.23,1691987,65.38,65.615,65.21
2013-10-02,65.49,2096657,65.28,65.52,64.90
2013-10-03,65.52,1977014,65.39,65.6001,65.339
2013-10-04,65.49,1935006,65.42,65.659,65.30
2013-10-07,64.76,2257650,64.49,65.176,64.48
2013-10-08,63.93,2810475,64.66,64.79,63.93
2013-10-09,63.44,2327834,63.64,63.80,63.27
2013-10-10,64.20,2803240,63.93,64.25,63.83
2013-10-11,64.56,2194785,64.39,64.66,64.30
2013-10-14,64.94,1115662,64.71,64.9542,64.61
2013-10-15,65.27,1423922,64.96,65.38,64.95
2013-10-16,65.71,1506700,65.83,66.02,65.5099
2013-10-17,66.36,1218279,65.70,66.37,65.65
2013-10-18,66.94,2447410,66.63,66.98,66.56
2013-10-21,67.46,3131838,66.97,67.58,66.86
2013-10-22,67.87,3614498,67.67,68.22,67.66
2013-10-23,67.65,2775910,67.82,67.94,67.54
2013-10-24,68.18,3637085,68.51,68.52,68.16
2013-10-25,68.83,2829382,69.12,69.12,68.615
2013-10-28,68.79,1378903,68.77,69.02,68.65
2013-10-29,69.49,3875209,69.71,69.76,69.38
2013-10-30,69.75,3515867,70.16,70.19,69.66
2013-10-31,66.68,7626995,66.86,66.99,66.37
2013-11-01,66.81,2808038,66.68,66.87,66.50
2013-11-04,67.13,1666395,67.08,67.16,66.86
2013-11-05,66.74,2240398,66.77,67.01,66.51
2013-11-06,67.05,1794285,67.42,67.50,66.89
2013-11-07,66.04,2598309,66.63,66.78,66.04
2013-11-08,66.07,2105915,65.64,66.08,65.59
2013-11-11,66.33,1230325,66.29,66.459,66.19
2013-11-12,66.29,1932132,66.14,66.40,66.0751
2013-11-13,65.68,2353065,65.13,65.74,65.04
2013-11-14,66.28,2604115,65.95,66.46,65.88
2013-11-15,67.51,2680368,67.30,67.54,67.18
2013-11-18,67.47,1904744,68.47,68.47,67.44
2013-11-19,67.47,2135605,67.56,67.67,67.4085
2013-11-20,67.48,1574826,68.09,68.19,67.40
2013-11-21,67.71,1424010,67.93,67.99,67.64
2013-11-22,68.16,1231184,68.04,68.27,67.96
2013-11-25,67.51,1400400,67.83,67.88,67.50
2013-11-26,66.87,1485576,67.38,67.419,66.71
2013-11-27,66.66,1119532,67.01,67.15,66.55
2013-11-29,66.70,712707,66.91,67.20,66.70
2013-12-02,66.46,1026636,66.33,66.81,66.23
2013-12-03,66.64,3337464,66.09,66.64,65.96
2013-12-04,65.96,1749114,65.69,66.04,65.64
2013-12-05,65.82,1764066,65.67,65.86,65.58
2013-12-06,67.70,3144990,67.37,67.77,67.24
2013-12-09,67.96,1965175,67.87,68.02,67.79
2013-12-10,68.20,1685514,68.16,68.53,68.08
2013-12-11,68.15,2341258,68.36,68.37,67.88
2013-12-12,67.07,4625324,68.16,68.18,66.93
2013-12-13,66.57,2866022,66.88,67.08,66.49
2013-12-16,67.55,3483780,67.23,67.62,67.20
2013-12-17,67.44,1350607,67.46,67.55,67.29
2013-12-18,68.47,1981295,67.93,68.6299,67.74
2013-12-19,69.13,1776101,68.59,69.13,68.52
2013-12-20,69.55,2427047,69.38,69.75,69.38
2013-12-23,70.10,2167968,70.32,70.39,70.05
2013-12-24,70.34,821938,70.26,70.39,69.94
2013-12-26,70.73,926539,70.35,70.785,70.33
2013-12-27,71.07,2292859,71.46,71.48,71.00
2013-12-30,70.79,1498315,71.14,71.20,70.72
2013-12-31,71.27,1136830,71.07,71.2938,71.00
2014-01-02,70.65,2099191,71.20,71.20,70.565
2014-01-03,70.78,2130922,71.11,71.16,70.73
2014-01-06,70.31,1701964,70.54,70.59,70.28
2014-01-07,70.92,1767358,70.86,70.98,70.61
2014-01-08,70.41,3132240,70.65,70.774,70.28
2014-01-09,70.65,2103612,70.75,70.81,70.4099
2014-01-10,72.00,4662906,72.00,72.05,71.59
2014-01-13,71.05,3310439,71.51,71.78,71.05
2014-01-14,71.49,3708489,71.21,71.59,70.94
2014-01-15,71.37,2482140,71.17,71.48,71.10
2014-01-16,71.74,3117021,72.05,72.06,71.56
2014-01-17,70.57,6880632,70.89,71.51,70.52
2014-01-21,71.28,3775724,71.29,71.38,70.7701
2014-01-22,72.09,4838058,72.07,72.39,71.90
2014-01-23,72.37,7369976,72.91,72.91,72.025
2014-01-24,71.05,5588153,72.31,72.31,71.05
2014-01-27,70.63,4680774,71.15,71.18,70.52
2014-01-28,70.54,4141691,70.45,70.6901,70.41
2014-01-29,70.50,3051204,69.95,70.85,69.84
2014-01-30,71.35,3772017,71.45,71.64,70.79
2014-01-31,69.10,5829834,69.40,69.53,69.06
2014-02-03,67.81,3284830,68.69,68.93,67.80
2014-02-04,67.86,3445572,67.86,68.20,67.75
2014-02-05,68.13,2128160,67.98,68.26,67.93
2014-02-06,68.78,1765510,68.60,68.93,68.55
2014-02-07,69.21,1284136,68.76,69.23,68.67
2014-02-10,69.12,2270507,69.14,69.25,68.95
2014-02-11,70.70,2230638,69.73,70.80,69.71
2014-02-12,70.23,2112397,69.96,70.50,69.95
2014-02-13,71.15,1754474,70.71,71.15,70.53
2014-02-14,71.59,1762617,70.98,71.59,70.88
2014-02-18,72.53,2419044,72.03,72.69,71.98
2014-02-19,72.30,2629059,72.41,72.99,72.30
2014-02-20,73.34,2312634,72.96,73.40,72.6969
2014-02-21,73.47,2219167,73.46,73.76,73.37
2014-02-24,73.97,1867278,73.25,74.17,73.23
2014-02-25,73.29,1690205,73.51,73.67,72.93
2014-02-26,72.97,1954520,73.00,73.32,72.67
2014-02-27,72.90,1843407,72.39,73.12,72.35
2014-02-28,72.87,1843460,73.04,73.35,72.76
2014-03-03,71.79,2345984,72.05,72.39,71.685
2014-03-04,73.22,2456266,72.96,73.314,72.91
2014-03-05,72.96,1143406,72.83,73.17,72.72
2014-03-06,72.63,1717067,72.39,72.90,72.34
2014-03-07,72.81,1433743,72.96,72.98,72.51
2014-03-10,73.20,3403437,72.78,73.30,72.61
2014-03-11,72.68,2091462,72.90,73.26,72.64
2014-03-12,72.43,926181,72.17,72.63,72.04
2014-03-13,71.05,2407183,72.58,72.71,71.03
2014-03-14,71.37,3404095,71.04,71.64,71.04
2014-03-17,71.85,1870494,71.97,72.20,71.58
2014-03-18,72.22,1777726,71.95,72.59,71.94
2014-03-19,71.64,2266339,72.13,72.32,71.11
2014-03-20,71.20,1368327,70.67,71.33,70.63
2014-03-21,71.26,1922111,70.96,71.775,70.96
2014-03-24,71.38,999857,71.61,71.70,70.96
2014-03-25,72.01,1683474,71.90,72.30,71.46
2014-03-26,72.24,1618490,72.65,72.69,72.14
2014-03-27,72.46,1377074,72.53,72.86,72.21
2014-03-28,73.29,1770550,73.13,73.325,72.88
2014-03-31,73.06,1615049,73.38,73.61,72.96
2014-04-01,73.23,1292161,73.44,73.58,73.1399
2014-04-02,73.13,1293434,73.18,73.35,72.94
2014-04-03,73.18,1311239,73.14,73.29,72.99
2014-04-04,73.19,1766574,73.43,73.72,73.05
2014-04-07,73.10,1740354,73.46,73.72,73.10
2014-04-08,73.66,3501766,73.92,73.98,73.59
2014-04-09,74.47,2663174,73.94,74.52,73.69
2014-04-10,73.41,2364215,74.33,74.35,73.41
2014-04-11,73.33,3371053,73.27,73.8201,73.16
2014-04-14,74.09,1906106,73.63,74.226,73.43
2014-04-15,74.84,2389250,74.65,74.86,74.25
2014-04-16,74.73,1797202,74.76,74.915,74.62
2014-04-17,75.70,2225605,75.10,75.83,75.06
2014-04-21,75.58,973952,75.49,75.844,75.47
2014-04-22,75.18,1747506,75.46,75.764,75.17
2014-04-23,75.47,1575407,75.36,75.64,75.26
2014-04-24,75.76,1663145,75.50,75.79,75.225
2014-04-25,75.46,1397188,75.41,75.76,75.28
2014-04-28,75.80,2302954,75.75,76.00,75.60
2014-04-29,76.51,2931888,76.24,76.78,76.22
2014-04-30,78.74,6017789,79.37,79.56,78.65
2014-05-01,79.05,5688353,79.40,79.46,78.575
2014-05-02,79.43,3942443,79.00,79.69,78.86
2014-05-05,79.47,2115514,79.20,79.64,79.12
2014-05-06,79.47,2341231,79.34,79.68,79.32
2014-05-07,80.31,3923750,80.07,80.50,79.745
2014-05-08,80.50,3185346,80.67,80.83,80.42
2014-05-09,79.62,2571349,79.92,79.97,79.5341
2014-05-12,79.91,2029524,80.22,80.30,79.57
2014-05-13,79.77,1275159,80.03,80.06,79.63
2014-05-14,78.67,1787711,78.33,79.11,78.30
2014-05-15,78.73,1732760,79.04,79.07,78.62
2014-05-16,78.94,1448245,78.94,79.07,78.7693
2014-05-19,79.25,2263639,79.33,79.49,79.00
2014-05-20,78.78,1215494,78.77,79.06,78.53
2014-05-21,79.21,2128307,79.33,79.3801,79.10
2014-05-22,79.56,3788136,79.58,79.87,79.56
2014-05-23,79.09,2716936,79.30,79.37,79.05
2014-05-27,78.46,1899663,79.07,79.09,78.46
2014-05-28,78.15,2964740,78.48,78.48,78.15
2014-05-29,78.81,3609193,79.11,79.16,78.6837
2014-05-30,78.60,3113133,78.63,78.76,78.39
2014-06-02,78.72,1649586,78.98,79.06,78.71
2014-06-03,79.36,1979413,79.17,79.40,78.97
2014-06-04,78.39,1002805,78.78,78.80,78.2784
2014-06-05,78.97,1113771,78.74,79.08,78.58
2014-06-06,79.35,1317542,79.19,79.3975,79.07
2014-06-09,79.23,798299,79.51,79.51,79.17
2014-06-10,79.04,809493,79.04,79.32,78.99
2014-06-11,78.84,779441,78.95,79.13,78.75
2014-06-12,79.78,2118373,79.68,80.11,79.66
2014-06-13,80.50,1767506,80.68,80.69,80.259
2014-06-16,80.77,1959199,80.89,81.04,80.60
2014-06-17,80.45,1072696,80.34,80.4994,80.17
2014-06-18,82.01,2042704,81.62,82.08,81.43
2014-06-19,81.98,1577071,82.51,82.57,81.88
2014-06-20,82.35,2045207,82.43,82.67,82.29
2014-06-23,82.75,1080121,82.82,82.86,82.59
2014-06-24,81.73,2927143,82.57,82.72,81.72
2014-06-25,81.64,2796868,81.70,81.84,81.25
2014-06-26,82.10,1110470,81.67,82.21,81.00
2014-06-27,82.23,937131,82.55,82.55,82.02
2014-06-30,82.37,1979960,82.30,82.80,82.04
2014-07-01,82.79,1064455,82.90,83.13,82.655
2014-07-02,83.12,1376035,83.16,83.42,82.96
2014-07-03,82.43,1080981,82.89,82.975,82.30
2014-07-07,82.12,1029154,82.33,82.43,81.91
2014-07-08,82.02,1435277,81.92,82.16,81.69
2014-07-09,82.28,1598518,81.85,82.40,81.70
2014-07-10,81.10,1442494,81.47,81.54,80.79
2014-07-11,81.87,1483331,81.60,82.01,81.44
2014-07-14,82.24,1679096,82.18,82.39,81.89
2014-07-15,82.00,1472360,82.53,82.69,81.87
2014-07-16,83.05,1604239,82.69,83.11,82.54
2014-07-17,82.46,1681665,82.88,83.2201,82.37
2014-07-18,82.23,937678,82.06,82.42,81.92
2014-07-21,82.09,790152,81.43,82.28,81.32
2014-07-22,82.36,894372,82.61,82.70,82.36
2014-07-23,82.49,856617,82.59,82.73,82.32
2014-07-24,82.56,873408,82.45,82.77,82.27
2014-07-25,81.99,671036,82.16,82.225,81.72
2014-07-28,81.82,781212,81.64,81.89,81.30
2014-07-29,81.66,1140219,82.01,82.1232,81.595
2014-07-30,80.47,2337541,81.18,81.30,80.13
2014-07-31,81.83,3201219,82.92,82.98,81.83
2014-08-01,81.27,3381703,81.28,81.58,80.88
2014-08-04,82.02,1480910,81.52,82.025,80.88
2014-08-05,81.53,1872956,82.23,82.26,81.3701
2014-08-06,81.42,1616293,80.82,81.75,80.82
2014-08-07,80.47,1881825,81.27,81.39,80.32
2014-08-08,80.38,1895360,80.04,80.48,79.74
2014-08-11,80.53,1719033,80.25,80.79,80.16
2014-08-12,79.94,1387744,79.49,80.04,79.44
2014-08-13,79.01,1590305,79.17,79.31,78.72
2014-08-14,79.33,1038782,79.44,79.76,79.165
2014-08-15,79.80,1126200,79.81,80.04,79.27
2014-08-18,80.57,1089483,80.41,80.57,80.07
2014-08-19,80.87,1022167,80.60,80.9152,80.47
2014-08-20,80.10,1275443,80.14,80.19,79.83
2014-08-21,79.79,2031051,79.80,80.00,79.71
2014-08-22,79.26,1393331,79.44,79.618,79.05
2014-08-25,79.47,1265721,79.11,79.68,79.11
2014-08-26,80.27,1706032,79.80,80.55,79.79
2014-08-27,80.74,1535060,80.13,80.74,80.03
2014-08-28,81.19,1991607,80.77,81.2819,80.74
2014-08-29,80.97,1533648,80.80,81.11,80.56
2014-09-02,80.24,1574633,80.90,80.96,80.13
2014-09-03,80.72,1193052,80.51,80.85,80.48
2014-09-04,79.81,1859551,80.78,80.87,79.67
2014-09-05,80.17,1264397,79.70,80.28,79.68
2014-09-08,78.31,1789278,78.94,79.08,78.2705
2014-09-09,77.64,2320119,77.69,77.92,77.40
2014-09-10,78.50,1862567,78.31,78.51,77.87
2014-09-11,78.17,1403796,78.06,78.2199,77.77
2014-09-12,77.46,1492407,77.52,77.72,77.25
2014-09-15,77.69,935329,77.24,77.86,77.10
2014-09-16,78.40,1261221,77.70,78.87,77.69
2014-09-17,77.99,1014798,78.52,78.57,77.926
2014-09-18,78.59,940715,78.63,78.80,78.45
2014-09-19,78.75,1010975,79.01,79.11,78.21
2014-09-22,78.56,1093970,78.44,78.63,78.20
2014-09-23,77.66,1232925,77.88,78.2628,77.642
2014-09-24,77.76,1150025,77.83,77.89,77.18
2014-09-25,76.34,1559813,76.71,76.7799,76.08
2014-09-26,76.60,1883353,76.05,76.81,75.77
2014-09-29,76.65,1354546,76.69,76.9399,76.40
2014-09-30,76.13,1566236,76.45,76.66,75.90
2014-10-01,75.17,2036058,75.49,75.77,74.93
2014-10-02,74.29,2158319,75.08,75.15,73.401
2014-10-03,73.55,1589670,73.64,73.83,73.13
2014-10-06,73.73,1407677,73.30,73.91,73.21
2014-10-07,73.15,1390835,73.45,73.7299,73.15
2014-10-08,74.59,2052215,73.44,74.59,73.05
2014-10-09,72.09,3077723,72.74,73.07,71.91
2014-10-10,70.33,5967370,70.70,71.015,70.20
2014-10-13,69.64,3064870,70.90,71.14,69.63
2014-10-14,68.50,4487407,69.71,69.75,68.48
