date,close,volume,open,high,low,macd,rsi,aroon,adx,bollinger,stochastic,chandelier,pivots,adl,mfi,obv,pvo,zigzag,bop,elder,chop
2018-08-28,65.75,1890424,66.24,66.38,65.73,,,,,,,,,-1774090.2,,0.0,,,,,
2018-08-29,66.27,2039060,65.8,66.37,65.66,,,,,,,,,-309413.3,,2039060.0,,,,,
2018-08-30,66.32,1907691,66.15,66.405,65.97,,,,,,,,66.405,852743.25,,3946751.0,,66.32,,,
2018-08-31,65.23,2388999,65.58,65.61,64.82,,,,,,,,66.621765,943464.75,,1557752.0,,65.76,,,
2018-09-04,65.26,1642733,65.47,65.58,65.01,,,,,,,,66.83853,741725.6,,3200485.0,,65.2,,,
2018-09-05,64.99,2532486,65.0,65.08,64.47,,,,,,,,67.0553,2526920.8,,667999.0,,64.64,,,
2018-09-06,63.68,2792871,64.41,64.62,63.37,,,,,,,,67.27206,1119313.6,,-2124872.0,,64.08,,,
2018-09-07,63.36,2672078,62.7,63.37,62.46,,,,,,,,67.48882,3732664.8,,-4796950.0,,63.52,,,
2018-09-10,62.96,2700354,63.13,63.44,62.93,,,,,,,,67.70559,1349999.4,,-7497304.0,,62.96,,,
2018-09-11,63.92,2172548,62.93,64.085,62.84,,,,,,,,67.922356,2946691.2,,-5324756.0,,63.563637,,,
2018-09-12,64.37,2646530,64.51,64.92,64.3139,,,,,,,,68.139114,790081.56,,-2678226.0,,64.167274,,,
2018-09-13,64.72,2586098,64.81,64.895,64.41,,,,,,,,68.35588,1509923.2,,-92128.0,,64.77091,,,
2018-09-14,64.48,1857696,64.81,64.93,64.37,,,,,,,,68.57265,382036.4,,-1949824.0,,65.37454,,-0.1323077,
2018-09-17,64.78,3487460,65.05,65.49,64.66,,,,,,,,68.78941,-2097001.4,,1537636.0,,65.97818,-0.08978136,0.69945055,
2018-09-18,66.02,3134687,65.71,66.255,65.69,,51.792828,,,,,,69.00618,-1569930.1,64.79615,4672323.0,,66.58182,0.0032556946,2.1245291,45.67891
2018-09-19,66.26,2852064,65.97,66.45,65.92,,53.392593,,,,,,69.22294,-762742.25,65.62727,7524387.0,,67.185455,-0.0049444498,2.163882,44.72766
2018-09-20,66.82,2655063,66.88,67.03,66.27,,56.979965,,,,,,69.439705,425049.1,66.37282,10179450.0,,67.78909,-0.038498163,2.6033275,40.54966
2018-09-21,67.28,2538101,67.19,67.58,66.95,,59.72242,,,,104.79359,,69.65647,545911.06,73.201485,12717551.0,,68.39273,0.0033514898,3.2814236,34.078503
2018-09-24,68.17,2813339,68.45,68.84,68.1,,64.44507,,,,91.33029,,69.87324,-1735174.6,74.13606,15530890.0,,68.99636,0.0026402522,4.9640775,28.61104
2018-09-25,69.6,5812661,69.69,70.09,69.49,,70.44198,,,1.1356702,90.318275,,70.09,-5416526.5,82.58592,21343552.0,,69.6,-0.0069030733,6.5720663,24.86114
2018-09-26,68.9,4760463,69.05,69.5,68.825,,64.69007,,,0.95641243,84.42653,,70.00833,-9119109.0,78.1999,16583088.0,,69.37193,0.018938197,4.6324854,22.61865
2018-09-27,68.74,4661133,69.42,69.43,68.68,,63.415443,,,0.8899693,80.68139,,69.92667,-13034461.0,74.194496,11921955.0,,69.14387,-0.09762905,3.876416,23.24719
2018-09-28,68.14,6121883,68.02,68.9,68.01,,58.741276,,,0.78847224,68.72477,67.20932,69.845,-17367928.0,63.230526,5800072.0,,68.91581,-0.064188704,2.3840709,24.307575
2018-10-01,69.32,4375828,68.94,69.47,68.72,,64.31239,,,0.8873632,76.840996,67.1589,69.763336,-14742432.0,65.01068,10175900.0,,68.687744,-0.08479685,3.0763464,30.65289
2018-10-02,69.07,4566727,68.93,69.2667,68.5747,,62.390247,,,0.8210472,81.50073,67.1905,69.68166,-12771876.0,57.54108,5609173.0,,68.45968,-0.053847056,2.2954113,32.81941
2018-10-03,69.48,4205275,69.34,69.6,68.95,,64.27598,48.0,,0.8294291,93.44711,67.23366,69.6,-10119318.0,58.981426,9814448.0,,68.23161,-0.025207654,2.5162954,33.16609
2018-10-04,69.23,5868049,69.27,69.315,68.76,,62.227177,48.0,,0.7738504,87.71473,67.265305,69.23556,-6048689.0,54.719646,3946399.0,,68.00355,0.011736178,1.6946818,34.34105
