Sim_Start_Date,Sim_End_Date,Algorithm_Value,Funds,Investing,Income,Taxes,Purchase_Count,Sell_Count,Div_Count,Average_Income,Median_Income,Back_Test_Count,Research_Range_In_Days,Dataframe_Range_In_Years,Past_Periods,Indicator_List,Indicator_Strength,Buy_Pattern,Sell_Pattern,Sell_Profit,Sell_Loss,Max_Stock_Count,Max_Stock_Percent,Max_Sector_Percent
2023-02-08,2023-03-08,1.557,3000,0,134.83,14.83,1,1,0,134.83,134.83,10,28,5,190,bop,2,I/D,I/I,0.055,-0.04,1,1,1
2023-02-08,2023-03-08,1.4054,3000,0,85.77,9.43,1,1,0,85.77,85.77,10,28,5,100,elder,0,I/D,IGNORE,0.025,-0.2,1,1,1
2023-02-08,2023-03-08,1.0905,3000,0,27.16,2.99,1,1,0,27.16,27.16,10,28,5,105,bop,0,I/D,I/I,0.075,-0.29,1,1,1
2023-02-08,2023-03-08,1.1995,3000,0,59.56,6.55,2,2,0,29.78,29.78,10,28,5,90,bop,2,I/D,I/I,0.035,-0.09,1,1,1
2023-02-08,2023-03-08,1.4491,3000,0,96.59,10.63,1,1,0,96.59,96.59,10,28,5,165,chandelier/stochastic/adx,1,I/I/I/D,D/I/I/D,0.015,-0.09,1,1,1
2023-02-08,2023-03-08,0.8991,3000,3119.0,119.74,13.17,2,1,0,119.74,119.74,10,28,5,160,mfi,0,I/D,IGNORE,0.045,-0.2,1,1,1
2023-02-08,2023-03-08,1.3453,3000,0,103.6,11.4,2,2,0,51.8,51.8,10,28,5,60,aroon/macd/pvo/bop/chandelier,1,I/D/I/I/I/I,I/I/I/D/D/D,0.01,-0.11,1,1,1
2023-02-08,2023-03-08,1.4148,3000,0,89.02,9.79,3,3,0,29.67,7.01,10,28,5,150,adx/bollinger,0,I/D/I,D/I/I,0.01,-0.19,1,1,1
2023-02-08,2023-03-08,1.6215,3000,0,98.2,10.8,1,1,0,98.2,98.2,10,28,5,5,adx/mfi,0,D/D/I,I/D/D,0.07,-0.2,1,1,1
2023-02-08,2023-03-08,1.0226,3000,0,6.79,0.75,1,1,0,6.79,6.79,10,28,5,200,pvo,4,I/I,I/D,0.005,-0.22,1,1,1
2023-02-08,2023-03-08,1.3106,3000,0,93.17,10.25,1,1,0,93.17,93.17,10,28,5,15,elder/rsi/mfi/zigzag/pivots,0,I/D/I/I/D/I,I/I/I/D/I/D,0.045,-0.03,1,1,1
2023-02-08,2023-03-08,1.2623,3000,0,43.47,4.78,1,1,0,43.47,43.47,10,28,5,35,pvo,1,I/D,IGNORE,0.005,-0.21,1,1,1
2023-02-08,2023-03-08,1.4316,3000,0,80.75,8.88,1,1,0,80.75,80.75,10,28,5,165,bop,4,I/I,IGNORE,0.04,-0.11,1,1,1
2023-02-08,2023-03-08,1.3991,3000,0,119.74,13.17,1,1,0,119.74,119.74,10,28,5,75,mfi,1,I/D,D/D,0.045,-0.25,1,1,1
2023-02-08,2023-03-08,1.2736,3000,0,45.42,5.0,1,1,0,45.42,45.42,10,28,5,40,aroon,5,I/I,IGNORE,0.015,-0.25,1,1,1
2023-02-08,2023-03-08,0.8353,3000,3052.0,52.18,5.74,2,1,0,52.18,52.18,10,28,5,105,bop/obv/pvo,1,I/I/I/I,IGNORE,0.015,-0.06,1,1,1
2023-02-08,2023-03-08,1.3058,3000,0,91.74,10.09,1,1,0,91.74,91.74,10,28,5,125,pivots/pvo/macd,0,I/I/I/D,D/I/D/I,0.03,-0.05,1,1,1
2023-02-08,2023-03-08,1.3376,3000,3149.0,149.48,16.44,3,2,0,74.74,74.74,10,28,5,90,rsi/macd,1,I/I/D,IGNORE,0.05,-0.01,1,1,1
2023-02-08,2023-03-08,1.4984,3000,0,103.54,11.39,2,2,0,51.77,51.77,10,28,5,90,pivots/adx/macd,0,I/I/I/D,D/I/D/I,0.045,-0.01,1,1,1
2023-02-08,2023-03-08,1.3644,3000,0,82.08,9.03,2,2,0,41.04,41.04,10,28,5,25,zigzag,0,I/I,I/D,0.035,-0.08,1,1,1
2023-02-08,2023-03-08,0.8513,3000,3096.0,96.59,10.63,2,1,0,96.59,96.59,10,28,5,150,aroon,4,I/I,IGNORE,0.035,-0.06,1,1,1
2023-02-08,2023-03-08,1.1155,3000,3096.0,96.59,10.63,2,1,0,96.59,96.59,10,28,5,120,pivots,0,I/I,IGNORE,0.03,-0.25,1,1,1
2023-02-08,2023-03-08,1.6583,3000,0,96.59,10.63,1,1,0,96.59,96.59,10,28,5,140,stochastic,0,I/D,D/I,0.01,-0.2,1,1,1
2023-02-08,2023-03-08,1.322,3000,0,96.59,10.63,1,1,0,96.59,96.59,10,28,5,200,pvo,0,I/D,IGNORE,0.025,-0.1,1,1,1
2023-02-08,2023-03-08,1.3273,3000,0,98.2,10.8,1,1,0,98.2,98.2,10,28,5,25,pvo,0,I/I,IGNORE,0.035,-0.17,1,1,1
2023-02-08,2023-03-08,1.4667,3000,0,140.0,15.4,1,1,0,140.0,140.0,10,28,5,185,pvo/bop,1,I/I/D,IGNORE,0.05,-0.11,1,1,1
2023-02-08,2023-03-08,0.5854,3000,3025.0,25.62,2.82,2,1,0,25.62,25.62,10,28,5,35,bop,0,I/I,D/I,0.025,-0.17,1,1,1
2023-02-08,2023-03-08,1.2914,3000,3096.0,96.59,10.63,2,1,0,96.59,96.59,10,28,5,10,pivots,0,I/I,IGNORE,0.02,-0.11,1,1,1
2023-02-08,2023-03-08,1.0854,3000,0,25.62,2.82,1,1,0,25.62,25.62,10,28,5,45,stochastic/adl,0,I/D/I,I/I/I,0.025,-0.13,1,1,1
2023-02-08,2023-03-08,1.007,3000,3096.0,96.59,10.63,2,1,0,96.59,96.59,10,28,5,140,bop,2,I/D,D/D,0.015,-0.17,1,1,1
2023-02-08,2023-03-08,0.9733,3000,3096.0,96.59,10.63,2,1,0,96.59,96.59,10,28,5,150,stochastic/adx,0,I/I/D,D/D/D,0.02,-0.12,1,1,1
2023-02-08,2023-03-08,0.9116,3000,3096.0,96.59,10.63,2,1,0,96.59,96.59,10,28,5,140,rsi/adl,0,I/I/D,D/D/D,0.025,-0.28,1,1,1
2023-02-08,2023-03-08,1.2323,3000,0,25.62,2.82,1,1,0,25.62,25.62,10,28,5,20,bop/bollinger/adx,0,I/D/I/I,IGNORE,0.025,-0.27,1,1,1
2023-02-08,2023-03-08,1.4928,3000,0,119.74,13.17,1,1,0,119.74,119.74,10,28,5,135,bop,2,I/D,I/I,0.04,-0.22,1,1,1
2023-02-08,2023-03-08,0.9331,3000,3096.0,96.59,10.63,2,1,0,96.59,96.59,10,28,5,185,stochastic,0,I/I,IGNORE,0.03,-0.2,1,1,1
2023-02-08,2023-03-08,0.9579,3000,3096.0,96.59,10.63,2,1,0,96.59,96.59,10,28,5,110,pivots/zigzag,0,I/I/I,I/I/D,0.025,-0.24,1,1,1
2023-02-08,2023-03-08,1.7473,3000,0,96.59,10.63,1,1,0,96.59,96.59,10,28,5,10,obv/pivots,0,I/D/I,IGNORE,0.025,-0.12,1,1,1
2023-02-08,2023-03-08,0.8273,3000,3098.0,98.2,10.8,2,1,0,98.2,98.2,10,28,5,30,aroon,0,I/I,IGNORE,0.04,-0.23,1,1,1
2023-02-08,2023-03-08,0.9933,3000,3119.0,119.74,13.17,2,1,0,119.74,119.74,10,28,5,115,zigzag/adl/pvo,0,I/I/D/I,D/D/D/D,0.04,-0.08,1,1,1
2023-02-08,2023-03-08,1.164,3000,0,15.6,1.72,1,1,0,15.6,15.6,10,28,5,20,pvo,3,I/I,IGNORE,0.005,-0.06,1,1,1
2023-02-08,2023-03-08,1.2095,3000,0,33.5,3.68,1,1,0,33.5,33.5,10,28,5,35,aroon,4,I/I,D/D,0.005,-0.25,1,1,1
2023-02-08,2023-03-08,0.9616,3000,3096.0,96.59,10.63,2,1,0,96.59,96.59,10,28,5,75,zigzag/aroon,0,I/I/D,IGNORE,0.035,-0.3,1,1,1
2023-02-09,2023-03-09,1.0616,3000,3044.0,44.45,4.89,3,2,0,22.22,22.22,10,28,5,185,aroon,4,I/I,D/D,0.005,-0.06,1,1,1
2023-02-09,2023-03-09,0.7293,3000,3068.0,68.8,7.57,2,1,0,68.8,68.8,10,28,5,80,obv,0,I/D,D/D,0.025,-0.11,1,1,1
2023-02-09,2023-03-09,0.9127,3000,3045.0,45.42,5.0,2,1,0,45.42,45.42,10,28,5,30,zigzag,0,I/D,I/I,0.015,-0.29,1,1,1
2023-02-09,2023-03-09,1.1318,3000,3091.0,91.74,10.09,2,1,0,91.74,91.74,10,28,5,35,adl,0,I/I,D/D,0.035,-0.09,1,1,1
2023-02-09,2023-03-09,1.2129,3000,3091.0,91.74,10.09,2,1,0,91.74,91.74,10,28,5,60,chandelier,0,I/I,IGNORE,0.035,-0.07,1,1,1
2023-02-09,2023-03-09,1.394,3000,0,19.14,2.11,1,1,0,19.14,19.14,10,28,5,100,elder,3,I/I,IGNORE,0.005,-0.17,1,1,1
2023-02-09,2023-03-09,1.3561,3000,0,75.74,8.33,2,2,0,37.87,37.87,10,28,5,60,adx,0,I/D,IGNORE,0.005,-0.07,1,1,1
2023-02-09,2023-03-09,0.8662,3000,3068.0,68.8,7.57,2,1,0,68.8,68.8,10,28,5,115,macd,1,I/I,D/I,0.025,-0.22,1,1,1
2023-02-09,2023-03-09,1.4419,3000,0,63.85,7.02,1,1,0,63.85,63.85,10,28,5,195,pvo,2,I/I,IGNORE,0.035,-0.3,1,1,1
2023-02-09,2023-03-09,1.4247,3000,0,127.4,14.01,1,1,0,127.4,127.4,10,28,5,135,macd/mfi,0,I/D/D,D/I/D,0.045,-0.16,1,1,1
2023-02-09,2023-03-09,0.8058,3000,3091.0,91.74,10.09,2,1,0,91.74,91.74,10,28,5,170,rsi/macd/aroon/pvo,2,I/I/I/I/I,I/D/D/I/D,0.035,-0.19,1,1,1
2023-02-09,2023-03-09,1.5131,3000,0,91.74,10.09,1,1,0,91.74,91.74,10,28,5,20,zigzag,0,D/I,IGNORE,0.03,-0.01,1,1,1
