Payment_Date,Declaration_Date,Ex_Date,Record_Date,Cash_Amount
1995-06-30,1995-05-31,1995-06-13,1995-06-15,0.02
1995-07-17,N/A,1995-03-24,1995-03-30,0.268
1995-09-30,1995-09-07,1995-09-13,1995-09-15,0.02
1995-12-13,N/A,1995-09-26,1995-09-28,0.14
1995-12-30,1995-12-05,1995-12-13,1995-12-15,0.02
1996-03-29,1996-03-04,1996-03-13,1996-03-15,0.02
1996-06-28,1996-06-03,1996-06-12,1996-06-14,0.02
1996-07-12,N/A,1996-03-26,1996-03-28,0.144
1996-09-30,1996-09-03,1996-09-11,1996-09-13,0.02
1996-12-12,N/A,1996-09-25,1996-09-27,0.124
1996-12-31,1996-12-04,1996-12-12,1996-12-16,0.02
1997-03-31,1997-02-04,1997-03-12,1997-03-14,0.02
1997-06-30,1997-06-03,1997-06-12,1997-06-16,0.02
1997-07-14,N/A,1997-03-25,1997-03-28,0.182
1997-09-30,1997-09-02,1997-09-11,1997-09-15,0.02
1997-12-12,N/A,1997-09-25,1997-09-29,0.122
1997-12-31,1997-12-02,1997-12-11,1997-12-15,0.02
1998-03-31,1998-03-05,1998-03-11,1998-03-13,0.02
1998-06-30,1998-06-01,1998-06-11,1998-06-15,0.02
1998-07-10,N/A,1998-03-26,1998-03-30,0.144
1998-09-30,1998-08-31,1998-09-11,1998-09-15,0.02
1998-12-14,N/A,1998-09-25,1998-09-29,0.128
1999-07-13,N/A,1999-03-26,1999-03-30,0.171
1999-12-09,N/A,1999-09-27,1999-09-29,0.1802
2000-07-17,N/A,2000-03-28,2000-03-30,0.2078
2000-12-08,N/A,2000-09-26,2000-09-28,0.1679
2001-07-09,N/A,2001-03-27,2001-03-29,0.1905
2001-12-06,N/A,2001-09-25,2001-09-27,0.1776
2002-07-08,N/A,2002-03-26,2002-03-28,0.2123
2002-12-06,N/A,2002-09-25,2002-09-27,0.2176
2003-07-10,N/A,2003-03-26,2003-03-28,0.3
2003-12-08,N/A,2003-09-25,2003-09-29,0.3281
2004-07-06,N/A,2004-03-26,2004-03-30,0.4291
2004-12-06,N/A,2004-09-27,2004-09-29,0.4502
2005-07-05,N/A,2005-03-28,2005-03-30,0.6798
2005-12-05,N/A,2005-09-27,2005-09-29,0.54295
2006-07-06,N/A,2006-03-28,2006-03-30,0.87683
2006-12-07,N/A,2006-09-27,2006-09-29,0.85984
2007-07-05,N/A,2007-03-28,2007-03-30,1.13113
2007-12-06,N/A,2007-09-26,2007-09-28,1.1965
2008-07-07,N/A,2008-03-26,2008-03-28,1.38478
2008-12-08,N/A,2008-09-25,2008-09-29,1.35515
2009-07-06,N/A,2009-03-26,2009-03-30,0.725538
2009-12-08,N/A,2009-09-25,2009-09-29,0.458452
2010-07-07,N/A,2010-03-26,2010-03-30,0.557475
2010-12-06,N/A,2010-09-27,2010-09-29,0.474102
2011-06-30,N/A,2011-03-28,2011-03-30,0.747011
2011-12-12,N/A,2011-09-27,2011-09-29,0.511967
2012-06-28,N/A,2012-03-27,2012-03-29,0.757193
2012-12-07,N/A,2012-09-25,2012-09-27,0.729571
2013-06-27,N/A,2013-03-26,2013-03-28,1.262626
2013-12-09,N/A,2013-09-25,2013-09-27,1.273012
2014-06-30,N/A,2014-03-26,2014-03-28,1.955607
2014-12-08,N/A,2014-09-25,2014-09-29,1.263157
2015-06-29,N/A,2015-03-27,2015-03-31,2.01191
2015-12-07,N/A,2015-09-28,2015-09-30,1.628001
2016-06-13,N/A,2016-03-29,2016-03-31,2.015083
2016-12-09,N/A,2016-09-28,2016-09-30,1.771515
2017-06-05,N/A,2017-03-29,2017-03-31,1.966498
2017-12-07,2017-09-14,2017-09-28,2017-09-29,1.797465
2018-06-04,2018-03-15,2018-03-28,2018-03-29,2.188812
2018-12-07,2018-09-12,2018-09-27,2018-09-28,1.758481
2019-06-04,2019-03-16,2019-03-28,2019-03-29,2.187824
2019-12-09,2019-09-13,2019-09-27,2019-09-30,1.829926
2020-06-08,N/A,2020-03-30,2020-03-31,2.22511
2020-12-07,N/A,2020-09-29,2020-09-30,2.014991
2021-06-07,N/A,2021-03-30,2021-03-31,2.449868
2021-12-06,2021-11-26,2021-09-29,2021-09-30,2.097898
2022-06-06,2022-03-08,2022-03-30,2022-03-31,2.202755
2022-12-07,2022-09-13,2022-09-29,2022-09-30,1.762072
