date,close,volume,open,high,low
2013-07-11,129.29,345992,128.53,129.42,128.27
2013-07-12,129.69,297382,129.22,129.69,129.07
2013-07-15,129.64,241701,129.99,129.99,129.20
2013-07-16,128.91,635955,129.38,129.459,128.08
2013-07-17,130.84,634151,130.81,131.50,129.71
2013-07-18,130.80,479955,130.03,131.13,129.78
2013-07-19,130.36,359227,130.00,130.54,129.78
2013-07-22,130.30,301720,130.00,130.7799,130.00
2013-07-23,129.48,315462,130.35,130.35,129.05
2013-07-24,128.43,300026,129.36,129.39,128.071
2013-07-25,127.55,302104,126.88,127.68,126.301
2013-07-26,124.49,616729,124.56,124.56,122.92
2013-07-29,120.25,650946,120.82,121.34,120.11
2013-07-30,122.59,437929,123.01,123.34,122.351
2013-07-31,121.90,363695,122.21,122.46,121.24
2013-08-01,126.24,623545,126.25,126.87,125.90
2013-08-02,134.33,1166224,129.82,134.9434,129.0501
2013-08-05,129.51,792632,129.17,129.97,128.16
2013-08-06,129.70,494550,129.68,130.03,129.1006
2013-08-07,127.56,593436,128.51,129.05,127.50
2013-08-08,128.03,381734,127.99,128.4778,127.135
2013-08-09,127.57,318687,128.50,128.73,127.30
2013-08-12,128.32,294387,128.50,128.50,127.73
2013-08-13,130.20,296337,128.73,130.55,128.4601
2013-08-14,129.27,136718,129.73,129.97,129.04
2013-08-15,127.45,335419,128.95,128.96,127.00
2013-08-16,128.88,282620,128.60,129.61,128.39
2013-08-19,128.20,196098,128.88,129.13,127.888
2013-08-20,126.77,299946,126.29,127.19,125.94
2013-08-21,122.86,437348,124.20,124.50,122.54
2013-08-22,124.77,184580,124.31,125.11,124.16
2013-08-23,127.01,204350,127.64,127.64,126.0301
2013-08-26,125.19,182884,126.27,126.37,124.98
2013-08-27,124.04,331036,124.63,124.9795,123.72
2013-08-28,123.91,173693,123.81,124.65,123.28
2013-08-29,123.89,239513,123.76,124.98,123.63
2013-08-30,120.79,396547,121.20,121.52,120.62
2013-09-03,124.30,575215,124.00,125.26,123.7201
2013-09-04,125.84,410545,124.21,126.48,124.00
2013-09-05,125.64,315341,124.77,125.99,124.61
2013-09-06,125.55,307086,125.96,126.47,124.34
2013-09-09,126.80,258268,125.62,126.88,125.55
2013-09-10,127.38,395368,127.00,127.67,126.845
2013-09-11,127.56,265592,126.42,127.75,126.30
2013-09-12,125.91,328183,126.06,126.53,125.511
2013-09-13,126.80,219281,126.11,126.90,125.8251
2013-09-16,127.75,163712,128.00,128.47,127.49
2013-09-17,126.78,286610,126.39,127.27,126.10
2013-09-18,130.93,594235,127.49,131.17,127.32
2013-09-19,130.20,629549,130.56,130.86,129.77
2013-09-20,129.45,407968,130.40,130.71,129.24
2013-09-23,129.78,296273,129.41,129.95,128.84
2013-09-24,130.56,221619,130.62,131.3536,129.9301
2013-09-25,129.85,260897,130.20,130.40,129.50
2013-09-26,131.98,247466,130.87,132.34,130.76
2013-09-27,130.26,179558,129.91,130.7899,129.86
2013-09-30,128.03,358532,127.49,128.24,126.55
2013-10-01,127.32,305661,128.03,128.47,126.73
2013-10-02,127.66,225016,127.08,127.93,126.13
2013-10-03,127.75,176984,128.50,128.50,126.90
2013-10-04,128.01,155363,127.47,128.2799,127.02
2013-10-07,125.34,289609,125.46,126.34,125.26
2013-10-08,123.68,291194,125.49,125.56,123.50
2013-10-09,128.09,565219,127.67,128.13,125.98
2013-10-10,131.00,364158,130.06,131.00,129.73
2013-10-11,131.65,568308,130.74,131.65,129.90
2013-10-14,130.75,317067,130.00,131.18,129.901
2013-10-15,129.61,439292,130.36,130.40,129.50
2013-10-16,130.24,187935,129.50,130.4399,128.80
2013-10-17,130.10,317689,129.45,130.11,129.20
2013-10-18,129.52,357688,129.00,129.903,128.70
2013-10-21,129.38,561166,129.37,131.00,129.17
2013-10-22,130.71,344274,132.53,132.53,129.57
2013-10-23,129.25,327443,129.26,129.628,128.5525
2013-10-24,129.82,164248,129.60,130.00,129.07
2013-10-25,128.69,308177,128.81,129.40,128.50
2013-10-28,128.37,282824,129.00,129.00,128.22
2013-10-29,128.95,302153,128.50,129.00,128.37
2013-10-30,130.20,478679,130.04,130.48,129.63
2013-10-31,129.42,373941,130.34,130.40,129.25
2013-11-01,129.76,202437,129.51,130.15,128.96
2013-11-04,129.63,201481,130.00,130.00,129.2101
2013-11-05,128.59,498544,128.79,129.20,128.15
2013-11-06,129.20,363116,130.35,130.35,129.05
2013-11-07,125.92,499064,127.71,128.25,125.74
2013-11-08,127.37,459527,126.31,127.63,126.31
2013-11-11,126.67,315113,126.87,127.05,126.426
2013-11-12,127.30,641650,126.40,127.34,126.39
2013-11-13,127.66,332868,126.32,127.74,125.98
2013-11-14,127.48,307128,127.00,127.94,126.79
2013-11-15,127.98,311620,127.68,128.32,127.565
2013-11-18,127.65,846251,127.61,128.60,127.26
2013-11-19,126.24,731256,126.31,126.77,125.79
2013-11-20,126.05,285771,126.22,126.74,125.81
2013-11-21,125.61,635290,125.11,125.7999,125.11
2013-11-22,126.31,384973,125.72,126.76,125.441
2013-11-25,125.60,263134,126.50,126.50,125.455
2013-11-26,124.93,291576,125.21,125.35,124.76
2013-11-27,125.21,246201,125.00,125.68,124.91
2013-11-29,125.05,184534,125.05,125.49,124.892
2013-12-02,124.10,521174,124.82,125.55,124.04
2013-12-03,123.61,489446,123.55,124.0796,122.53
2013-12-04,123.11,389363,122.46,123.59,122.11
2013-12-05,121.60,460056,122.30,122.42,121.26
2013-12-06,122.74,283772,122.28,123.14,122.28
2013-12-09,122.43,326044,122.65,122.93,122.27
2013-12-10,121.70,362614,121.38,121.94,121.30
2013-12-11,120.34,417408,121.33,121.82,120.20
2013-12-12,120.34,324215,120.65,120.99,120.26
2013-12-13,119.22,595143,120.00,120.0001,118.92
2013-12-16,118.65,661711,118.56,119.14,118.41
2013-12-17,118.63,343193,118.49,119.11,118.11
2013-12-18,121.04,680649,120.01,121.09,119.19
2013-12-19,118.71,691942,118.93,119.22,118.37
2013-12-20,118.75,340719,118.47,118.82,118.21
2013-12-23,119.27,394999,118.95,119.45,118.783
2013-12-24,118.61,289149,118.25,118.62,118.25
2013-12-26,121.69,434901,120.41,121.96,120.41
2013-12-27,121.88,292879,122.47,122.48,121.45
2013-12-30,121.36,288577,122.87,122.87,121.32
2013-12-31,121.92,230010,121.50,121.92,121.22
2014-01-02,120.63,239449,121.60,121.60,120.10
2014-01-03,120.51,530469,121.00,121.2871,119.87
2014-01-06,120.17,441114,120.88,120.98,120.001
2014-01-07,120.46,306240,120.39,120.59,119.99
2014-01-08,119.85,349411,120.18,120.18,119.65
2014-01-09,120.33,338460,120.33,120.50,119.59
2014-01-10,120.81,242048,120.49,120.89,120.00
2014-01-13,119.40,421647,120.50,120.50,119.20
2014-01-14,119.46,473306,119.25,119.75,118.67
2014-01-15,119.47,426418,119.45,120.04,119.11
2014-01-16,119.83,244569,119.60,119.83,118.90
2014-01-17,119.19,407819,119.38,119.98,118.95
2014-01-21,120.46,550037,120.50,120.54,119.63
2014-01-22,121.69,371366,121.29,121.74,120.74
2014-01-23,119.36,435852,120.40,120.44,119.06
2014-01-24,117.88,591867,118.99,119.04,117.71
2014-01-27,117.03,672971,117.88,118.26,116.15
2014-01-28,117.83,564443,117.53,118.27,117.285
2014-01-29,117.20,542274,118.26,118.32,116.92
2014-01-30,117.16,329894,117.44,117.828,116.70
2014-01-31,114.76,566311,114.92,115.50,113.61
2014-02-03,112.75,553831,113.97,114.15,112.08
2014-02-04,112.49,561226,111.85,112.66,110.75
2014-02-05,115.66,709916,114.79,115.85,114.11
2014-02-06,115.96,439287,114.58,116.18,114.44
2014-02-07,117.38,610918,115.90,117.66,115.71
2014-02-10,117.04,384997,117.50,117.51,116.60
2014-02-11,117.91,366105,117.79,118.11,117.10
2014-02-12,117.56,466746,117.55,118.41,117.25
2014-02-13,116.15,418971,114.98,116.39,114.86
2014-02-14,115.17,621954,115.10,115.77,115.00
2014-02-18,116.28,387483,116.52,117.11,115.75
2014-02-19,115.22,279915,115.91,116.42,115.10
2014-02-20,115.33,242323,115.41,115.77,114.86
2014-02-21,116.34,315779,116.39,117.07,116.27
2014-02-24,116.17,328602,116.05,116.54,115.86
2014-02-25,116.47,298567,116.25,116.92,115.94
2014-02-26,115.58,231268,116.00,116.02,115.37
2014-02-27,116.02,227765,115.25,116.02,114.87
2014-02-28,115.30,307798,115.17,115.92,114.8601
2014-03-03,113.60,456342,113.84,113.9823,113.15
2014-03-04,115.21,286538,114.83,115.2788,114.66
2014-03-05,113.26,621904,113.18,113.74,112.83
