date,close,volume,open,high,low,macd,rsi,aroon,adx,bollinger,stochastic,chandelier,pivots,adl,mfi,obv,pvo,zigzag,bop,elder,chop
2018-08-28,126.07,169185,126.74,127.09,126.01,,,,,,,,,-150386.67,,0.0,,,,,
2018-08-29,127.48,249049,126.85,127.77,126.74,,,,,,,,,-41578.85,,249049.0,,,,,
2018-08-30,125.26,165252,125.66,126.09,124.83,,,,,,,,,-94039.805,,83797.0,,,,,
2018-08-31,124.08,152579,124.6,124.79,123.8,,,,,,,,,-160311.48,,-68782.0,,,,,
2018-09-04,122.01,244584,122.17,122.42,121.65,,,,,,,,,-176193.56,,-313366.0,,,,,
2018-09-05,120.47,290806,120.51,121.26,120.31,,,,,,,,,-369043.88,,-604172.0,,,,,
2018-09-06,120.19,136563,120.5,120.5,119.32,,,,,,,,,-304234.3,,-740735.0,,,,,
2018-09-07,119.3,190315,119.56,119.77,119.02,,,,,,,,,-352447.44,,-931050.0,,,,,
2018-09-10,119.18,104510,119.55,119.66,119.15,,,,,,,,,-444662.16,,-1035560.0,,119.18,,,
2018-09-11,119.92,172229,120.07,120.09,119.52,,,,,,,,,-375166.22,,-863331.0,,119.58813,,,
2018-09-12,119.91,110474,119.8,120.32,119.64,,,,,,,,,-397910.88,,-973805.0,,119.99625,,,
2018-09-13,121.96,149928,121.75,122.41,121.6,,,,,,,,,-414569.53,,-823877.0,,120.40437,,,
2018-09-14,122.28,131596,122.71,122.83,122.06,,,,,,,,,-470967.84,,-692281.0,,120.8125,,0.5653846,
2018-09-17,122.48,147347,122.67,123.02,122.41,,,,,,,,,-584497.5,,-544934.0,,121.22063,-0.22487499,1.0146154,
2018-09-18,125.03,266924,124.38,125.3,124.27,,46.662388,,,,,,,-457514.22,49.221104,-278010.0,,121.62875,-0.13548653,4.348242,33.746593
2018-09-19,125.32,130939,124.98,125.65,124.98,,47.710552,,,,,,,-455559.9,46.56261,-147071.0,,122.03687,-0.14292853,4.6342072,33.147404
2018-09-20,124.95,136019,125.42,125.89,124.69,,46.456177,,,,,,125.89,-532637.3,47.15879,-283090.0,,122.445,-0.14822897,4.0264635,38.22646
2018-09-21,124.72,113991,124.65,124.95,124.31,,45.652668,,,,102.874535,,125.795,-500577.38,47.946915,-397081.0,,122.85313,-0.102898434,2.2941115,36.54025
2018-09-24,124.0,117922,124.34,124.66,123.72,,43.13737,,,,76.37952,,125.7,-548248.0,50.66132,-515003.0,,123.26125,-0.113892004,1.2663813,33.40723
2018-09-25,124.88,169888,125.32,125.605,124.77,,46.982224,,,0.69365853,76.106155,,125.605,-673375.06,61.754063,-345115.0,,123.66937,-0.1485235,2.8833268,33.189625
2018-09-26,125.14,271073,124.95,125.3,124.31,,48.098843,,,0.7295383,84.78085,,125.688,-489921.62,57.79087,-74042.0,,124.0775,-0.11604984,1.7199944,32.75062
2018-09-27,124.61,151173,124.8,125.35,124.3811,,45.973267,,,0.7064011,90.27524,,125.771,-569666.2,58.620476,-225215.0,,124.48563,-0.10529499,1.6510952,33.00427
2018-09-28,124.35,167299,124.51,124.99,124.18,,44.924435,,,0.6857143,79.65454,123.78765,125.854,-666740.94,56.850136,-392514.0,,124.89375,-0.067583606,1.0014244,33.872707
2018-10-01,124.82,147213,124.6,125.04,124.41,,47.26649,,,0.7325539,75.0421,122.19457,125.937,-622343.4,56.492565,-245301.0,,125.30187,-0.023843303,1.071221,36.052094
2018-10-02,125.71,177092,125.53,126.02,125.44,,51.47457,,,0.80151945,87.841774,122.138,126.02,-634556.56,57.875607,-68209.0,,125.71,-0.013230437,2.6467607,38.10889
2018-10-03,122.7,192003,122.97,123.34,122.42,,39.88291,-24.0,,0.4578265,40.154327,121.86582,125.50072,-709688.2,50.482224,-260212.0,,125.01375,-0.052711688,-2.5656335,55.348145
2018-10-04,122.18,139507,122.7,122.97,121.54,,38.279163,-24.0,,0.38296634,-2.6001105,121.85965,124.98143,-724321.8,44.758865,-399719.0,,124.3175,-0.038797032,-3.2491145,52.81199
2018-10-05,121.5,272502,122.86,122.863,121.37,,36.227623,-20.0,13.914777,0.27349356,-44.246933,121.84516,124.46214,-949368.7,36.60824,-672221.0,,123.62125,-0.08161433,-2.846241,52.94908
2018-10-08,121.72,180043,121.59,121.88,120.375,,37.39662,68.0,15.593656,0.26144332,-2.9998791,121.829704,123.942856,-807607.25,26.682077,-492178.0,,122.925,-0.1205207,-4.3043494,42.85499
