Sim_Start_Date,Sim_End_Date,Algorithm_Value,Funds,Investing,Income,Taxes,Purchase_Count,Sell_Count,Div_Count,Average_Income,Median_Income,Back_Test_Count,Research_Range_In_Days,Dataframe_Range_In_Years,Past_Periods,Indicator_List,Indicator_Strength,Buy_Pattern,Sell_Pattern,Sell_Profit,Sell_Loss,Max_Stock_Count,Max_Stock_Percent,Max_Sector_Percent
2023-06-13,2023-07-11,1.3959,3000,3154.0,154.29,16.97,2,1,0,154.29,154.29,10,28,5,55,chop,0,I/D,I/I,0.055,-0.3,1,1,1
2023-06-13,2023-07-11,1.5143,3000,0,154.29,16.97,1,1,0,154.29,154.29,10,28,5,130,pvo/bollinger,1,D/D/I,D/I/I,0.06,-0.26,1,1,1
2023-06-13,2023-07-11,1.3959,3000,0,118.76,13.06,1,1,0,118.76,118.76,10,28,5,65,bop,2,I/I,IGNORE,0.005,-0.23,1,1,1
2023-06-13,2023-07-11,1.3941,3000,0,118.24,13.01,1,1,0,118.24,118.24,10,28,5,10,adx/adl/bollinger/macd,0,I/I/D/D/I,D/I/I/D/I,0.04,-0.05,1,1,1
2023-06-13,2023-07-11,1.6051,3000,0,154.29,16.97,1,1,0,154.29,154.29,10,28,5,150,chandelier,0,D/D,IGNORE,0.05,-0.26,1,1,1
2023-06-13,2023-07-11,1.8805,3000,0,154.29,16.97,1,1,0,154.29,154.29,10,28,5,60,pvo/zigzag/macd,2,I/I/I/I,I/D/I/D,0.06,-0.26,1,1,1
2023-06-13,2023-07-11,1.1256,3000,3118.0,118.76,13.06,2,1,0,118.76,118.76,10,28,5,175,adx,1,I/D,IGNORE,0.01,-0.25,1,1,1
2023-06-13,2023-07-11,1.4049,3000,0,73.01,8.03,1,1,0,73.01,73.01,10,28,5,200,macd/zigzag,4,I/I/I,IGNORE,0.01,-0.22,1,1,1
2023-06-13,2023-07-11,1.2473,3000,3154.0,154.29,16.97,2,1,0,154.29,154.29,10,28,5,185,aroon/mfi,1,I/I/I,IGNORE,0.065,-0.28,1,1,1
2023-06-13,2023-07-11,1.5143,3000,0,154.29,16.97,1,1,0,154.29,154.29,10,28,5,115,chop/stochastic/obv,1,D/D/I/D,IGNORE,0.055,-0.28,1,1,1
