Payment_Date,Declaration_Date,Ex_Date,Record_Date,Cash_Amount
1996-02-12,N/A,1996-01-25,1996-01-29,0.009
2012-04-16,2012-02-29,2012-03-13,2012-03-15,0.13
2012-07-16,2012-05-24,2012-06-13,2012-06-15,0.13
2012-10-15,2012-07-12,2012-09-13,2012-09-17,0.13
2013-01-15,2012-11-08,2012-12-13,2012-12-17,0.15
2013-04-15,2013-02-27,2013-03-13,2013-03-15,0.15
2013-07-15,2013-05-23,2013-06-13,2013-06-17,0.15
2013-10-15,2013-07-12,2013-09-12,2013-09-16,0.15
2014-01-15,2013-11-07,2013-12-12,2013-12-16,0.15
2014-04-15,2014-02-27,2014-03-13,2014-03-17,0.15
2014-07-15,2014-05-21,2014-06-12,2014-06-16,0.15
2014-10-15,2014-07-10,2014-09-11,2014-09-15,0.15
2015-01-15,2014-11-07,2014-12-11,2014-12-15,0.15
2015-04-15,2015-02-26,2015-03-12,2015-03-16,0.15
2015-07-15,2015-05-21,2015-06-11,2015-06-15,0.15
2015-10-15,2015-07-10,2015-09-11,2015-09-15,0.15
2016-01-15,2015-11-12,2015-12-11,2015-12-15,0.15
2016-04-15,2016-02-25,2016-03-11,2016-03-15,0.15
2016-07-15,2016-05-18,2016-06-13,2016-06-15,0.15
2016-10-17,2016-07-07,2016-09-13,2016-09-15,0.15
2017-01-16,2016-11-10,2016-12-13,2016-12-15,0.15
2017-04-17,2017-02-28,2017-03-13,2017-03-15,0.15
2017-07-17,2017-05-18,2017-06-13,2017-06-15,0.15
2017-10-16,2017-07-12,2017-09-14,2017-09-15,0.15
2018-01-15,2017-11-09,2017-12-14,2017-12-15,0.15
2018-04-16,2018-01-31,2018-03-14,2018-03-15,0.17
2018-07-16,2018-05-24,2018-06-14,2018-06-15,0.17
2018-10-15,2018-07-13,2018-09-14,2018-09-17,0.17
2019-01-15,2018-11-09,2018-12-14,2018-12-17,0.17
2019-04-16,2019-02-27,2019-03-14,2019-03-15,0.19
2019-07-16,2019-05-24,2019-06-13,2019-06-14,0.19
2019-10-15,2019-07-12,2019-09-16,2019-09-17,0.19
2020-01-15,2019-11-08,2019-12-16,2019-12-17,0.19
2020-04-16,2020-02-25,2020-03-13,2020-03-16,0.22
2020-07-15,2020-05-20,2020-06-12,2020-06-15,0.22
2020-10-15,2020-07-09,2020-09-14,2020-09-15,0.22
2021-01-15,2020-11-05,2020-12-14,2020-12-15,0.22
2021-04-16,2021-02-23,2021-03-15,2021-03-16,0.26
2021-07-15,2021-05-19,2021-06-14,2021-06-15,0.26
2021-10-15,2021-07-08,2021-09-14,2021-09-15,0.26
2022-01-14,2021-11-04,2021-12-14,2021-12-15,0.26
2022-04-14,2022-02-23,2022-03-15,2022-03-16,0.30
2022-07-15,2022-05-18,2022-06-14,2022-06-15,0.30
2022-10-14,2022-07-07,2022-09-14,2022-09-15,0.30
2023-01-16,2022-11-10,2022-12-14,2022-12-15,0.30
2023-04-14,2023-02-22,2023-03-14,2023-03-15,0.35
2023-07-14,2023-05-24,2023-06-14,2023-06-15,0.35
2023-10-13,2023-07-13,2023-09-14,2023-09-15,0.35
