date,close,volume,open,high,low
2013-03-08,77.04,1296490,76.86,77.11,76.3407
2013-03-11,77.22,1099994,76.94,77.22,76.57
2013-03-12,77.70,1632490,77.08,77.85,76.95
2013-03-13,77.62,1109574,77.51,77.74,75.79
2013-03-14,77.35,1739358,77.71,77.75,77.32
2013-03-15,77.15,2183434,76.77,77.425,76.37
2013-03-18,76.80,1615487,76.35,77.15,76.08
2013-03-19,77.41,2107072,77.20,77.65,76.82
2013-03-20,77.57,2058807,78.03,78.04,77.36
2013-03-21,76.63,3464125,77.29,77.33,75.76
2013-03-22,75.96,2450861,77.30,77.30,75.71
2013-03-25,74.69,3293765,76.05,76.35,74.58
2013-03-26,74.90,3314482,74.88,75.431,74.66
2013-03-27,75.17,2388663,74.66,75.31,73.81
2013-03-28,76.49,1758118,75.22,76.61,75.0004
2013-04-01,75.53,1589330,76.30,76.35,75.27
2013-04-02,78.56,5014019,75.43,78.65,75.35
2013-04-03,78.10,4275552,78.47,79.25,77.78
2013-04-04,77.92,1888783,77.67,78.71,77.67
2013-04-05,77.16,2675164,76.01,77.30,75.45
2013-04-08,78.34,1816386,77.26,78.345,76.97
2013-04-09,78.38,1722557,78.72,78.83,78.09
2013-04-10,81.34,4439779,79.17,81.54,79.17
2013-04-11,79.91,4971370,81.72,81.96,79.86
2013-04-12,79.59,2326877,79.70,80.29,79.50
2013-04-15,78.58,14442480,84.28,84.55,77.81
2013-04-16,81.82,8360267,79.52,81.99,79.36
2013-04-17,81.50,3789821,81.60,81.97,80.60
2013-04-18,80.08,2782269,81.41,81.63,79.67
2013-04-19,80.03,3000760,80.55,80.55,79.61
2013-04-22,79.95,1978647,80.06,80.27,79.37
2013-04-23,80.64,2568508,80.24,81.41,80.04
2013-04-24,81.20,4223284,81.39,82.10,80.90
2013-04-25,80.12,2500563,81.30,81.39,79.99
2013-04-26,81.13,2812664,79.70,81.31,79.56
2013-04-29,80.76,1270491,81.24,81.25,80.58
2013-04-30,80.68,2409501,80.51,81.00,80.21
2013-05-01,80.72,1670135,80.44,80.77,80.27
2013-05-02,81.60,1561600,81.12,81.73,80.74
2013-05-03,82.17,1686922,82.10,82.59,81.91
2013-05-06,82.44,2088248,82.16,83.00,81.92
2013-05-07,83.91,2809167,82.44,83.95,82.02
2013-05-08,84.11,1780378,83.93,84.13,83.20
2013-05-09,83.48,1135504,84.16,84.2023,83.22
2013-05-10,84.46,2477478,84.01,84.50,83.26
2013-05-13,84.39,1574275,84.11,84.56,83.83
2013-05-14,84.71,1387742,84.22,84.83,84.15
2013-05-15,86.01,2579943,84.64,86.19,84.25
2013-05-16,85.50,2646818,85.57,86.30,85.40
2013-05-17,86.27,1749250,85.73,86.42,85.4201
2013-05-20,86.78,1795557,86.70,87.15,86.40
2013-05-21,87.35,1840586,86.94,87.75,86.90
2013-05-22,86.28,2421921,87.41,88.08,85.79
2013-05-23,85.69,2197549,85.72,86.03,84.98
2013-05-24,87.22,2156355,85.12,87.25,84.52
2013-05-28,88.28,2336703,87.89,88.92,87.72
2013-05-29,87.36,1821713,87.61,87.97,86.852
2013-05-30,88.76,1846663,87.53,89.10,87.41
2013-05-31,88.30,2923531,88.65,89.50,88.145
2013-06-03,88.51,1734512,88.82,89.00,87.67
2013-06-04,88.27,2113822,88.37,88.99,88.11
2013-06-05,86.20,2457217,88.09,88.38,86.16
2013-06-06,86.95,3828742,85.66,87.17,85.04
2013-06-07,84.58,15529400,84.91,85.55,84.50
2013-06-10,85.80,3948088,84.95,86.01,84.75
