date,close,volume,open,high,low,macd,rsi,aroon,adx,bollinger,stochastic,chandelier,pivots,adl,mfi,obv,pvo,zigzag,bop,elder,chop
2018-08-28,237.96,886116,239.21,239.85,237.68,,,,,,,,,-657440.9,,0.0,,,,,
2018-08-29,239.73,778020,238.0,240.74,237.7,,,,,,,,,-396394.72,,778020.0,,,,,
2018-08-30,239.19,659654,239.99,240.88,238.48,,,,,,,,240.88,-665753.44,,118366.0,,,,,
2018-08-31,239.1,812387,238.37,239.335,237.89,,,,,,,,240.335,-117603.04,,-694021.0,,,,,
2018-09-04,236.05,1368344,238.89,238.94,234.79,,,,,,,,239.79,-655049.0,,-2062365.0,,,,,
2018-09-05,236.37,1312453,236.04,236.68,234.81,,,,,,,,239.245,222259.16,,-749912.0,,,,,
2018-09-06,235.73,1078147,235.9,236.6148,234.29,,,,,,,,238.7,479738.2,,-1828059.0,,235.73,,,
2018-09-07,235.96,1149080,235.0,238.155,234.31,,,,,,,,238.155,316864.7,,-678979.0,,236.48177,,,
2018-09-10,237.19,956605,237.0,238.15,236.54,,,,,,,,239.398,132673.66,,277626.0,,237.23354,,,
2018-09-11,236.43,1122010,236.75,237.39,235.51,,,,,,,,240.641,108801.1,,-844384.0,,237.98529,,,
2018-09-12,239.05,1079329,236.47,239.5,235.85,,,,,,,,241.884,921994.2,,234945.0,,238.73706,,,
2018-09-13,244.0,1652856,239.63,244.19,239.06,,,,,,,,243.127,2452416.5,,1887801.0,,239.48883,,,
2018-09-14,241.98,774484,243.47,244.37,241.57,,,,,,,,244.37,1904745.6,,1113317.0,,240.24059,,9.21077,
2018-09-17,238.46,1612856,236.93,239.0,235.66,,,,,,,,244.475,2996079.2,,-499539.0,,240.99236,0.09043032,-2.0964835,
2018-09-18,239.1,1121962,239.4,240.45,238.08,,52.546917,,,,,,244.58,2839856.8,53.0729,622423.0,,241.74411,0.122534215,1.5672998,55.480236
2018-09-19,241.06,816048,239.43,241.29,238.98,,56.636723,,,,,,244.685,3493401.8,53.199375,1438471.0,,242.49588,0.1322877,2.5705428,54.840202
2018-09-20,242.5,1016840,241.84,242.93,241.0,,59.404957,,,,,,244.79,4057142.0,54.290283,2455311.0,,243.24765,0.18052357,5.1876082,54.422333
2018-09-21,243.49,2213318,242.78,244.13,242.53,,61.237076,,,,108.22311,,244.895,4499805.5,62.803196,4668629.0,,243.9994,0.17613497,6.740807,54.587364
2018-09-24,242.15,1009322,244.27,245.0,239.66,,57.45718,,,,94.48141,,245.0,4431761.5,64.03145,3659307.0,,244.75117,0.1966588,4.1149774,53.196068
2018-09-25,243.09,1192174,243.29,243.31,241.55,,59.352604,,,0.84478456,83.97785,,245.70714,5325892.0,71.53388,4851481.0,,245.50294,0.17593688,3.5099807,53.100346
2018-09-26,242.85,1216540,243.48,244.955,242.35,,58.63431,,,0.7906654,73.5819,,246.41429,4576354.0,78.06491,3634941.0,,246.2547,0.1638856,5.3335547,53.414524
2018-09-27,244.32,906253,243.16,244.97,242.56,,61.692307,,,0.8789699,91.0758,,247.12143,4993756.5,77.79076,4541194.0,,247.00647,0.18043223,4.605904,56.663246
2018-09-28,244.08,1538913,243.93,244.63,242.8,,60.900723,,,0.8227665,95.614624,236.35457,247.82857,5607640.0,69.58173,3002281.0,,247.75824,0.17785758,3.757918,56.339645
2018-10-01,248.51,1850760,245.92,249.84,245.21,,68.8467,,,1.0581203,97.83249,240.8021,248.53572,6395112.5,77.00999,4853041.0,,248.51,0.22997244,9.471072,44.472385
2018-10-02,247.75,1403305,248.0,249.15,247.46,,66.35527,,,0.9429407,87.748055,240.98245,249.24286,5473415.0,77.48048,3449736.0,,246.86588,0.16891684,9.613776,42.817104
2018-10-03,247.35,1401162,248.77,249.95,246.92,,65.02158,76.0,,0.8730436,80.4348,241.08188,249.95,4469942.5,69.311806,2048574.0,,245.22177,0.0745955,8.773237,40.6576
2018-10-04,243.38,1593472,246.35,246.48,242.01,,53.523216,76.0,,0.58894897,55.542564,240.7568,248.534,3853229.8,62.204323,455102.0,,243.57765,0.06514645,0.584203,42.89368
2018-10-05,240.69,1858171,243.23,243.63,238.38,,47.40594,76.0,11.944058,0.36956143,16.351986,240.45877,247.118,3630249.2,61.34793,-1403069.0,,241.93353,-0.002131645,-4.96354,48.998505
2018-10-08,239.66,1207633,239.29,240.49,235.89,,45.272316,76.0,12.419407,0.26878554,-4.2261887,240.23564,245.702,4402084.0,55.361217,-2610702.0,,240.28941,0.012655288,-9.500177,44.653675
2018-10-09,239.97,1397612,239.72,241.27,238.42,,46.059204,76.0,12.595596,0.2588196,2.6062503,240.28856,244.286,4524681.5,56.64756,-1213090.0,,238.6453,-0.031481028,-5.3415804,45.09894
2018-10-10,230.66,1759799,239.32,242.87,230.38,,31.439167,-20.0,14.327085,-0.26835215,4.394261,239.02454,242.87,2843784.8,49.823944,-2972889.0,,237.00117,-0.10543271,-8.394212,40.36572
2018-10-11,226.09,2310818,230.95,233.45,224.09,,26.921783,-24.0,16.740215,-0.24376819,-0.32045406,238.24478,241.5,1520495.9,39.128265,-5283707.0,,235.35706,-0.17421706,-19.895039,34.64117
