Sim_Start_Date,Sim_End_Date,Algorithm_Value,Funds,Investing,Income,Taxes,Purchase_Count,Sell_Count,Div_Count,Average_Income,Median_Income,Back_Test_Count,Research_Range_In_Days,Dataframe_Range_In_Years,Past_Periods,Indicator_List,Indicator_Strength,Buy_Pattern,Sell_Pattern,Sell_Profit,Sell_Loss,Max_Stock_Count,Max_Stock_Percent,Max_Sector_Percent
2023-02-08,2023-03-08,1.5855,3000,0,68.36,7.52,2,2,0,34.18,34.18,10,28,5,45,obv/adl,0,D/I/I,I/D/D,0.03,-0.01,1,1,1
2023-02-08,2023-03-08,1.4059,3000,0,83.53,9.19,1,1,0,83.53,83.53,10,28,5,40,zigzag,0,D/I,I/D,0.015,-0.22,1,1,1
2023-02-08,2023-03-08,1.5631,3000,0,82.06,9.03,1,1,0,82.06,82.06,10,28,5,15,aroon/zigzag/pvo/bollinger,1,D/D/D/I/D,D/D/D/I/I,0.065,-0.16,1,1,1
2023-02-08,2023-03-08,1.2997,3000,0,59.4,6.53,1,1,0,59.4,59.4,10,28,5,85,adl/elder,0,I/I/D,D/D/D,0.015,-0.07,1,1,1
2023-02-08,2023-03-08,0.6549,3000,3046.0,46.46,5.11,2,1,0,46.46,46.46,10,28,5,160,mfi/chandelier/stochastic/aroon,0,I/I/I/D/I,D/I/I/I/I,0.01,-0.08,1,1,1
2023-02-08,2023-03-08,1.201,3000,0,60.3,6.63,1,1,0,60.3,60.3,10,28,5,100,bop,5,I/I,D/D,0.02,-0.2,1,1,1
2023-02-08,2023-03-08,1.7727,3000,0,33.27,3.66,1,1,0,33.27,33.27,10,28,5,45,aroon/chandelier/macd,0,I/D/I/D,IGNORE,0.005,-0.29,1,1,1
2023-02-08,2023-03-08,1.7976,3000,0,106.01,11.66,1,1,0,106.01,106.01,10,28,5,10,elder,1,D/D,D/I,0.045,-0.06,1,1,1
2023-02-08,2023-03-08,1.2865,3000,3115.0,115.74,12.73,2,1,0,115.74,115.74,10,28,5,75,bollinger/bop/rsi/macd/obv,0,I/D/D/D/D/I,D/I/I/I/D/D,0.025,-0.05,1,1,1
2023-02-08,2023-03-08,1.6029,3000,0,138.46,15.23,1,1,0,138.46,138.46,10,28,5,45,pvo,3,D/D,IGNORE,0.04,-0.29,1,1,1
2023-02-08,2023-03-08,1.113,3000,3138.0,138.46,15.23,2,1,0,138.46,138.46,10,28,5,95,stochastic/adl/macd,1,I/D/I/D,D/D/I/I,0.045,-0.07,1,1,1
2023-02-08,2023-03-08,1.3858,3000,0,115.74,12.73,1,1,0,115.74,115.74,10,28,5,150,zigzag/macd,2,I/I/D,IGNORE,0.015,-0.18,1,1,1
2023-02-08,2023-03-08,1.2024,3000,0,21.36,2.35,1,1,0,21.36,21.36,10,28,5,150,elder,1,D/D,I/D,0.04,-0.04,1,1,1
2023-02-08,2023-03-08,1.2008,3000,3112.0,112.22,12.34,2,1,0,112.22,112.22,10,28,5,25,chandelier,0,D/D,I/I,0.02,-0.26,1,1,1
2023-02-09,2023-03-09,1.6194,3000,0,82.06,9.03,1,1,0,82.06,82.06,10,28,5,45,bop/macd,1,I/I/D,D/D/D,0.015,-0.25,1,1,1
2023-02-09,2023-03-09,1.2735,3000,0,82.06,9.03,1,1,0,82.06,82.06,10,28,5,150,chop,0,D/I,IGNORE,0.015,-0.19,1,1,1
2023-02-09,2023-03-09,0.7265,3000,3033.0,33.27,3.66,2,1,0,33.27,33.27,10,28,5,180,chop/mfi,0,I/I/D,D/I/D,0.005,-0.08,1,1,1
2023-02-09,2023-03-09,1.0729,3000,0,21.86,2.4,1,1,0,21.86,21.86,10,28,5,10,bollinger/pivots/mfi/rsi/stochastic,1,D/I/D/D/D/I,D/I/I/I/I/D,0.005,-0.21,1,1,1
2023-02-09,2023-03-09,1.2945,3000,0,40.32,4.44,1,1,0,40.32,40.32,10,28,5,10,pivots/adx,0,D/D/I,I/I/I,0.035,-0.03,1,1,1
2023-02-11,2023-03-11,1.5288,3000,0,82.06,9.03,1,1,0,82.06,82.06,10,28,5,25,pvo/bop,1,D/D/D,D/I/I,0.015,-0.18,1,1,1
2023-02-11,2023-03-11,1.1906,3000,3138.0,138.46,15.23,2,1,0,138.46,138.46,10,28,5,165,obv/pvo/elder,2,I/I/D/D,D/D/D/I,0.03,-0.13,1,1,1
2023-02-11,2023-03-11,1.3534,3000,0,106.01,11.66,1,1,0,106.01,106.01,10,28,5,5,bollinger/adl,1,D/I/D,D/I/I,0.02,-0.27,1,1,1
2023-02-11,2023-03-11,1.6003,3000,0,138.46,15.23,1,1,0,138.46,138.46,10,28,5,45,stochastic/elder/aroon/chop/macd,1,D/D/D/D/I/D,I/I/I/I/D/D,0.03,-0.03,1,1,1
2023-02-11,2023-03-11,1.3543,3000,3115.0,115.74,12.73,2,1,0,115.74,115.74,10,28,5,100,mfi/elder,1,I/D/D,IGNORE,0.005,-0.12,1,1,1
2023-02-11,2023-03-11,1.3434,3000,3115.0,115.74,12.73,2,1,0,115.74,115.74,10,28,5,170,rsi,0,I/D,I/I,0.015,-0.19,1,1,1
2023-02-11,2023-03-11,0.9262,3000,3033.0,33.27,3.66,2,1,0,33.27,33.27,10,28,5,75,bollinger,1,I/D,D/D,0.005,-0.16,1,1,1
2023-02-11,2023-03-11,1.5587,3000,0,59.4,6.53,1,1,0,59.4,59.4,10,28,5,30,pvo,2,D/D,D/I,0.01,-0.08,1,1,1
2023-02-11,2023-03-11,1.1728,3000,0,51.85,5.7,1,1,0,51.85,51.85,10,28,5,155,elder/macd/mfi/adx/bop,2,I/I/D/I/D/I,I/D/D/D/D/D,0.015,-0.18,1,1,1
2023-02-11,2023-03-11,1.0942,3000,3106.0,106.01,11.66,2,1,0,106.01,106.01,10,28,5,40,mfi,0,D/D,IGNORE,0.025,-0.09,1,1,1
2023-02-11,2023-03-11,0.8858,3000,3115.0,115.74,12.73,2,1,0,115.74,115.74,10,28,5,155,macd/elder/rsi,2,D/D/D/I,I/D/I/D,0.01,-0.26,1,1,1
2023-02-11,2023-03-11,1.3534,3000,0,106.01,11.66,1,1,0,106.01,106.01,10,28,5,10,mfi,1,D/D,IGNORE,0.03,-0.08,1,1,1
2023-02-11,2023-03-11,0.8534,3000,3106.0,106.01,11.66,2,1,0,106.01,106.01,10,28,5,120,bollinger/macd/stochastic/pvo,1,I/I/D/I/D,D/I/D/I/I,0.025,-0.12,1,1,1
2023-02-11,2023-03-11,0.976,3000,3115.0,115.74,12.73,2,1,0,115.74,115.74,10,28,5,45,adx/adl,0,D/D/I,D/I/D,0.025,-0.08,1,1,1
2023-02-11,2023-03-11,1.2036,3000,3138.0,138.46,15.23,2,1,0,138.46,138.46,10,28,5,105,adx/elder/pivots/bollinger,0,I/D/D/I/D,IGNORE,0.04,-0.03,1,1,1
2023-02-11,2023-03-11,1.2735,3000,0,82.06,9.03,1,1,0,82.06,82.06,10,28,5,150,bop/adx/rsi/chop/macd,0,D/I/D/I/I/D,D/I/I/I/I/I,0.02,-0.18,1,1,1
2023-02-11,2023-03-11,1.2735,3000,0,82.06,9.03,1,1,0,82.06,82.06,10,28,5,100,bop/stochastic/elder,2,I/I/D/I,IGNORE,0.02,-0.11,1,1,1
2023-02-11,2023-03-11,1.0997,3000,3112.0,112.22,12.34,2,1,0,112.22,112.22,10,28,5,155,bollinger/obv,0,D/D/I,IGNORE,0.035,-0.25,1,1,1
2023-02-11,2023-03-11,1.6474,3000,0,67.41,7.41,1,1,0,67.41,67.41,10,28,5,10,chandelier,0,D/D,I/D,0.05,-0.08,1,1,1
2023-02-11,2023-03-11,0.6992,3000,3059.0,59.75,6.57,2,1,0,59.75,59.75,10,28,5,75,adx/elder/stochastic/chandelier,1,I/D/D/D/I,IGNORE,0.005,-0.26,1,1,1
2023-02-11,2023-03-11,1.6206,3000,0,21.86,2.4,1,1,0,21.86,21.86,10,28,5,5,adx/macd,0,I/I/I,I/D/I,0.02,-0.22,1,1,1
2023-02-11,2023-03-11,1.4893,3000,3021.0,21.86,2.4,2,1,0,21.86,21.86,10,28,5,5,adl,0,I/D,I/I,0.005,-0.19,1,1,1
2023-02-11,2023-03-11,1.1109,3000,0,33.27,3.66,1,1,0,33.27,33.27,10,28,5,15,aroon,2,D/D,D/I,0.01,-0.14,1,1,1
2023-02-11,2023-03-11,0.9857,3000,3089.0,89.69,9.87,2,1,0,89.69,89.69,10,28,5,85,pvo/chandelier,0,I/I/I,IGNORE,0.005,-0.21,1,1,1
2023-02-11,2023-03-11,1.3942,3000,0,82.06,9.03,1,1,0,82.06,82.06,10,28,5,5,pvo,2,D/I,I/D,0.01,-0.27,1,1,1
2023-02-11,2023-03-11,1.7516,3000,0,138.46,15.23,1,1,0,138.46,138.46,10,28,5,5,bop/aroon,2,D/D/D,I/I/D,0.035,-0.26,1,1,1
2023-02-11,2023-03-11,1.3502,3000,0,60.3,6.63,1,1,0,60.3,60.3,10,28,5,15,elder/mfi/macd/pvo,3,D/D/D/D/I,IGNORE,0.015,-0.14,1,1,1
2023-02-11,2023-03-11,1.3446,3000,0,59.4,6.53,1,1,0,59.4,59.4,10,28,5,15,bop/obv/adl/aroon,1,D/D/D/D/D,I/D/I/D/D,0.01,-0.29,1,1,1
2023-02-11,2023-03-11,1.5492,3000,0,112.22,12.34,1,1,0,112.22,112.22,10,28,5,45,mfi/obv/adx/zigzag,0,I/D/I/D/I,I/I/D/I/I,0.035,-0.19,1,1,1
2023-02-11,2023-03-11,1.0556,3000,3083.0,83.53,9.19,2,1,0,83.53,83.53,10,28,5,40,pivots,0,D/D,IGNORE,0.01,-0.1,1,1,1
2023-02-11,2023-03-11,1.0437,3000,3115.0,115.74,12.73,2,1,0,115.74,115.74,10,28,5,80,aroon/adx,1,I/D/D,D/I/D,0.01,-0.2,1,1,1
