date,close,volume,open,high,low,macd,rsi,aroon,adx,bollinger,stochastic,chandelier,pivots,adl,mfi,obv,pvo,zigzag,bop,elder,chop
2018-08-28,20.7907,114591738,21.2273,21.2587,20.746,,,,,,,,,-94610264.0,,0.0,,,,,
2018-08-29,20.334,111158014,20.6847,20.79,20.246,,,,,,,,,-169805390.0,,-111158020.0,,,,,
2018-08-30,20.21,108159321,20.1507,20.3067,19.848,,,,,,,,,-107248890.0,,-219317330.0,,,,,
2018-08-31,20.1107,80505680,20.1333,20.3539,19.9067,,,,,,,,,-114305736.0,,-299823000.0,,,,,
2018-09-04,19.2633,124568503,19.796,19.8793,19.2,,,,,,,,,-215658620.0,,-424391520.0,,,,,
2018-09-05,18.716,115610072,19.0033,19.1187,18.4787,,,,,,,,,-245536590.0,,-540001600.0,,,,,
2018-09-06,18.73,112091284,18.9867,19.4113,18.592,,,,,,,,,-319867360.0,,-427910300.0,,,,,
2018-09-07,17.5493,336634482,17.34,17.89,16.817,,,,,,,,,-197009890.0,,-764544800.0,,17.5493,,,
2018-09-10,19.0333,213483643,18.2173,19.0687,18.0667,,,,,,,,,1389278.6,,-551061100.0,,17.786945,,,
2018-09-11,18.6293,137415846,18.6313,18.8,18.2367,,,,,,,,,55521316.0,,-688477000.0,,18.024591,,,
2018-09-12,19.3693,150032175,18.7627,19.5,18.5764,,,,,,,,,163090940.0,,-538444800.0,,18.262238,,,
2018-09-13,19.2973,94999168,19.2013,19.6667,19.012,,,,,,,,,150887740.0,,-633444000.0,,18.499886,,,
2018-09-14,19.68,101364729,19.2507,19.8217,19.1013,,,,,,,,,212376350.0,,-532079260.0,,18.737532,,0.19789231,
2018-09-17,19.656,102993069,19.336,20.058,19.2087,,,,,,,,,217869800.0,,-635072300.0,,18.975178,-0.012994186,0.45775056,
2018-09-18,18.9973,247414076,19.7793,20.176,18.3667,,37.25337,,,,,,,142919460.0,42.557343,-882486400.0,,19.212824,0.016960012,-0.14991382,45.42955
2018-09-19,19.9347,123965233,18.7007,20.0,18.7,,45.12766,,,,,,,254430940.0,48.638584,-758521150.0,,19.45047,0.13081001,-0.16072613,51.95372
2018-09-20,19.8887,109987100,20.2373,20.3987,19.5553,,44.83035,,,,,,20.3987,231400690.0,54.26856,-868508300.0,,19.688116,0.092052475,0.96232045,52.436428
2018-09-21,19.94,75577417,19.8467,20.0387,19.6913,,45.26345,,,,106.25057,,20.51842,264033420.0,50.24619,-792930900.0,,19.925762,0.11484556,0.61141753,52.17089
2018-09-24,19.9787,72515724,19.8987,20.2,19.572,,45.610332,,,,94.31311,,20.63814,285441730.0,55.378014,-720415100.0,,20.163408,0.17995828,0.53358644,51.408455
