Sim_Start_Date,Sim_End_Date,Algorithm_Value,Funds,Investing,Income,Taxes,Purchase_Count,Sell_Count,Div_Count,Average_Income,Median_Income,Back_Test_Count,Research_Range_In_Days,Dataframe_Range_In_Years,Past_Periods,Indicator_List,Indicator_Strength,Buy_Pattern,Sell_Pattern,Sell_Profit,Sell_Loss,Max_Stock_Count,Max_Stock_Percent,Max_Sector_Percent
2023-02-08,2023-03-08,1.4854,3000,0,114.08,12.55,3,3,0,38.03,93.7,10,28,5,190,chop,0,D/D,IGNORE,0.055,-0.09,1,1,1
2023-02-08,2023-03-08,1.3919,3000,3267.0,267.57,29.43,2,1,0,267.57,267.57,10,28,5,155,macd/stochastic,2,D/I/D,I/I/I,0.01,-0.29,1,1,1
2023-02-08,2023-03-08,1.9179,3000,0,178.6,19.65,1,1,0,178.6,178.6,10,28,5,165,obv,0,D/D,D/I,0.01,-0.15,1,1,1
2023-02-08,2023-03-08,1.3901,3000,0,43.39,4.77,1,1,0,43.39,43.39,10,28,5,135,pvo/chandelier,1,D/I/D,IGNORE,0.02,-0.27,1,1,1
2023-02-08,2023-03-08,1.5953,3000,0,178.6,19.65,1,1,0,178.6,178.6,10,28,5,135,elder/aroon,4,D/D/D,I/D/I,0.015,-0.17,1,1,1
2023-02-08,2023-03-08,1.7486,3000,0,224.58,24.7,1,1,0,224.58,224.58,10,28,5,165,obv/rsi/adx,0,D/D/D/I,D/I/I/I,0.08,-0.1,1,1,1
2023-02-08,2023-03-08,3.1023,3000,0,585.07,64.36,3,3,0,195.02,215.49,10,28,5,35,macd/aroon,2,I/I/I,I/I/D,0.03,-0.12,1,1,1
2023-02-08,2023-03-08,1.2704,3000,0,42.02,4.62,2,2,0,21.01,21.01,10,28,5,155,rsi,0,D/D,IGNORE,0.06,-0.06,1,1,1
2023-02-08,2023-03-08,3.2097,3000,0,309.71,34.07,1,1,0,309.71,309.71,10,28,5,5,adx,0,D/I,IGNORE,0.035,-0.28,1,1,1
2023-02-08,2023-03-08,1.2416,3000,3224.0,224.58,24.7,2,1,0,224.58,224.58,10,28,5,190,rsi,0,D/D,D/I,0.085,-0.17,1,1,1
2023-02-08,2023-03-08,2.0348,3000,0,224.58,24.7,1,1,0,224.58,224.58,10,28,5,55,chandelier,0,D/D,D/I,0.08,-0.08,1,1,1
2023-02-08,2023-03-08,2.1514,3000,0,224.58,24.7,1,1,0,224.58,224.58,10,28,5,200,chop/rsi,0,D/D/D,IGNORE,0.085,-0.09,1,1,1
2023-02-08,2023-03-08,3.0267,3000,0,217.98,23.98,1,1,0,217.98,217.98,10,28,5,10,pivots,0,D/I,IGNORE,0.035,-0.13,1,1,1
2023-02-08,2023-03-08,2.246,3000,3369.0,369.57,40.65,3,2,0,184.79,184.79,10,28,5,175,chop,0,D/D,IGNORE,0.055,-0.24,1,1,1
2023-02-08,2023-03-08,1.9099,3000,0,224.58,24.7,1,1,0,224.58,224.58,10,28,5,105,macd/mfi/bollinger/aroon,1,D/I/I/I/I,I/D/I/I/D,0.07,-0.29,1,1,1
2023-02-08,2023-03-08,2.7258,3000,0,309.71,34.07,1,1,0,309.71,309.71,10,28,5,5,macd/obv,0,D/D/I,D/I/D,0.055,-0.05,1,1,1
2023-02-08,2023-03-08,1.225,3000,3224.0,224.58,24.7,2,1,0,224.58,224.58,10,28,5,95,pvo,1,D/D,I/I,0.07,-0.11,1,1,1
2023-02-08,2023-03-08,2.5086,3000,3309.0,309.71,34.07,2,1,0,309.71,309.71,10,28,5,5,obv,0,D/I,IGNORE,0.07,-0.18,1,1,1
2023-02-08,2023-03-08,1.7983,3000,0,239.49,26.34,1,1,0,239.49,239.49,10,28,5,165,pivots/obv/chop,0,D/D/D/D,I/D/D/I,0.065,-0.23,1,1,1
2023-02-08,2023-03-08,1.9039,3000,0,191.89,21.11,1,1,0,191.89,191.89,10,28,5,25,elder,0,I/I,IGNORE,0.04,-0.05,1,1,1
2023-02-08,2023-03-08,1.8919,3000,0,267.57,29.43,1,1,0,267.57,267.57,10,28,5,145,obv/chandelier/stochastic/pvo,0,D/D/D/D/D,I/D/I/I/I,0.03,-0.29,1,1,1
2023-02-08,2023-03-08,1.6276,3000,0,93.7,10.31,1,1,0,93.7,93.7,10,28,5,5,pvo,5,I/D,D/I,0.03,-0.14,1,1,1
2023-02-08,2023-03-08,1.705,3000,3224.0,224.58,24.7,2,1,0,224.58,224.58,10,28,5,195,adx/stochastic,1,D/I/I,IGNORE,0.08,-0.3,1,1,1
