Payment_Date,Declaration_Date,Ex_Date,Record_Date,Cash_Amount
2004-07-15,N/A,2004-06-14,2004-06-16,0.0718944
2005-07-12,N/A,2005-06-13,2005-06-15,0.2330668
2006-07-19,N/A,2006-06-20,2006-06-22,0.3020884
2007-07-10,N/A,2007-06-08,2007-06-12,0.4561783
2008-08-15,N/A,2008-07-16,2008-07-18,0.3905375
2009-08-14,N/A,2009-07-15,2009-07-17,0.3639513
2010-07-27,N/A,2010-07-06,2010-07-08,0.3727466
2011-07-25,N/A,2011-06-29,2011-07-01,0.4146186
2012-07-30,N/A,2012-07-05,2012-07-09,0.4017816
2013-07-29,N/A,2013-07-03,2013-07-08,0.4008657
2014-08-06,N/A,2014-07-14,2014-07-16,0.39995621
2015-07-23,N/A,2015-06-29,2015-07-01,0.5782786
2016-07-21,N/A,2016-06-27,2016-06-29,0.75155
2017-07-20,N/A,2017-06-26,2017-06-28,0.920992
2018-07-19,2018-06-08,2018-06-25,2018-06-26,1.3110885
2019-07-18,2019-06-06,2019-06-24,2019-06-25,1.288701
2019-10-17,2019-07-09,2019-09-19,2019-09-20,0.3242542
2020-01-16,2019-08-14,2019-12-19,2019-12-20,0.416889
2020-04-16,2019-11-14,2020-03-19,2020-03-20,0.416736
2020-07-16,2020-02-12,2020-06-18,2020-06-19,0.423872
2020-10-15,2020-05-14,2020-09-17,2020-09-18,0.435024
2021-01-14,2020-08-12,2020-12-17,2020-12-18,0.446428
2021-04-15,2020-11-10,2021-03-17,2021-03-18,0.439846
2021-07-15,2021-02-09,2021-06-17,2021-06-18,0.445601
2021-10-14,2021-06-10,2021-09-16,2021-09-17,0.491246
2022-01-13,2021-08-11,2021-12-16,2021-12-17,0.496981
2022-04-14,2021-11-09,2022-03-16,2022-03-17,0.475613
2022-07-14,2022-02-15,2022-06-16,2022-06-17,0.461579
2022-10-13,2022-05-10,2022-09-15,2022-09-16,0.462464
2023-01-12,2022-08-09,2022-12-15,2022-12-16,0.451278
2023-04-13,2022-11-08,2023-03-16,2023-03-17,0.429378
2023-07-13,2023-02-14,2023-06-15,2023-06-16,0.455373
2023-10-12,2023-05-09,2023-09-14,2023-09-15,0.488997
