date,close,volume,open,high,low
2013-03-08,17.91,9194780,18.17,18.19,17.785
2013-03-11,17.72,8266403,17.87,17.88,17.70
2013-03-12,17.73,6289724,17.80,17.90,17.70
2013-03-13,18.00,9984429,18.01,18.05,17.90
2013-03-14,18.05,7720610,18.05,18.15,17.86
2013-03-15,17.64,13955110,17.87,17.91,17.61
2013-03-18,17.24,13736370,17.45,17.45,17.20
2013-03-19,17.08,12210760,17.21,17.235,16.995
2013-03-20,17.25,10920080,17.14,17.33,17.10
2013-03-21,16.89,8736477,17.11,17.11,16.87
2013-03-22,17.07,5746785,16.91,17.09,16.88
2013-03-25,16.95,8533281,17.15,17.21,16.925
2013-03-26,17.07,8555268,16.99,17.11,16.945
2013-03-27,17.17,10580990,17.01,17.26,16.97
2013-03-28,17.19,11958620,17.11,17.21,17.03
2013-04-01,17.08,10856560,17.21,17.27,17.03
2013-04-02,17.11,10182540,17.13,17.23,17.07
2013-04-03,16.74,15704390,17.09,17.12,16.65
2013-04-04,16.83,11240190,16.73,16.84,16.65
2013-04-05,16.73,11171190,16.55,16.78,16.48
2013-04-08,16.84,9706190,16.61,16.86,16.56
2013-04-09,16.95,10358620,16.67,17.07,16.67
2013-04-10,17.19,12079250,17.05,17.245,16.96
2013-04-11,17.34,8494266,17.34,17.52,17.21
2013-04-12,17.31,7336364,17.24,17.37,17.10
2013-04-15,16.89,9136109,17.02,17.17,16.88
2013-04-16,17.24,9856233,17.14,17.29,17.12
2013-04-17,17.08,21227100,17.10,17.17,16.99
2013-04-18,17.94,24319560,18.14,18.33,17.89
2013-04-19,18.80,21109060,18.61,18.98,18.545
2013-04-22,18.50,20352930,18.63,18.77,18.35
2013-04-23,18.28,21587720,18.34,18.51,18.13
2013-04-24,18.44,10182440,18.24,18.53,18.21
2013-04-25,18.69,15215680,18.50,18.69,18.47
2013-04-26,18.53,7001733,18.70,18.81,18.49
2013-04-29,18.83,7740203,18.64,18.86,18.62
2013-04-30,19.08,12100020,18.86,19.21,18.82
2013-05-01,19.11,8603916,19.11,19.17,19.03
2013-05-02,19.53,11256300,19.13,19.54,19.13
2013-05-03,19.41,9248237,19.40,19.58,19.40
2013-05-06,19.55,5662203,19.49,19.63,19.48
2013-05-07,19.47,8522771,19.62,19.62,19.37
2013-05-08,20.21,14009010,19.80,20.28,19.72
2013-05-09,20.21,8896550,20.12,20.30,20.10
2013-05-10,20.17,7933581,20.10,20.18,20.00
2013-05-13,19.93,6510662,20.09,20.10,19.92
2013-05-14,19.89,8540290,19.97,20.05,19.86
2013-05-15,19.80,9222200,19.85,19.87,19.76
2013-05-16,19.45,10382890,19.60,19.65,19.45
2013-05-17,19.51,10542270,19.62,19.62,19.43
2013-05-20,19.37,8362384,19.66,19.6722,19.335
2013-05-21,19.23,12870560,19.38,19.525,19.18
2013-05-22,18.89,12493950,19.20,19.27,18.83
2013-05-23,18.75,10958790,18.55,18.84,18.40
2013-05-24,18.86,5070535,18.75,18.87,18.65
2013-05-28,19.05,9106487,19.11,19.215,18.99
2013-05-29,19.24,13092390,19.02,19.30,19.02
2013-05-30,18.97,8189517,19.18,19.19,18.96
2013-05-31,18.66,5737785,18.92,18.92,18.63
2013-06-03,18.71,7736566,18.63,18.73,18.59
2013-06-04,18.94,10671910,18.70,19.03,18.69
2013-06-05,18.66,6480775,18.95,18.97,18.62
2013-06-06,18.60,6500301,18.65,18.74,18.50
2013-06-07,18.69,9081136,18.82,18.85,18.65
2013-06-10,18.81,7460286,18.72,18.94,18.645
2013-06-11,18.52,6400173,18.64,18.75,18.50
2013-06-12,18.36,8052459,18.64,18.72,18.2919
2013-06-13,18.27,10943740,18.17,18.31,17.99
2013-06-14,17.99,12848980,18.27,18.33,17.90
2013-06-17,18.12,9449088,18.22,18.37,18.03
2013-06-18,18.43,5406248,18.24,18.44,18.12
2013-06-19,17.99,8922433,18.30,18.46,17.99
2013-06-20,17.41,12631060,17.68,17.70,17.36
2013-06-21,17.18,23104430,17.60,17.61,17.15
2013-06-24,16.93,13192670,16.78,17.07,16.61
2013-06-25,17.53,11597760,17.19,17.57,17.14
2013-06-26,17.64,9187574,17.55,17.71,17.49
