date,close,volume,open,high,low,macd,rsi,aroon,adx,bollinger,stochastic,chandelier,pivots,adl,mfi,obv,pvo,zigzag,bop,elder,chop
2018-08-28,42.35,10681440,42.39,42.76,42.25,,,,,,,,,-6492640.0,,0.0,,,,,
2018-08-29,44.13,12273740,43.19,44.38,43.09,,,,,,,,,1023836.44,,12273740.0,,,,,
2018-08-30,43.46,7826195,44.35,44.49,43.41,,,,,,,,44.49,-6077711.0,,4447545.0,,,,,
2018-08-31,43.6,8772288,43.12,43.61,42.96,,,,,,,,44.64,2424660.5,,13219833.0,,,,,
2018-09-04,44.11,8173704,43.26,44.12,43.19,,,,,,,,44.79,10422586.0,,21393536.0,,,,,
2018-09-05,44.22,7261156,44.09,44.57,44.02,,,,,,,,44.94,8442271.0,,28654692.0,,,,,
2018-09-06,44.05,10423180,43.94,44.07,43.5802,,,,,,,,45.09,18014232.0,,18231512.0,,,,,
2018-09-07,44.88,14255960,44.0,45.24,43.98,,,,,,,,45.24,24123928.0,,32487472.0,,,,,
2018-09-10,44.62,6824866,45.0,45.06,44.52,,,,,,,,45.104,19826790.0,,25662608.0,,,,,
2018-09-11,44.55,12509660,43.64,44.57,43.575,,,,,,,,44.968,31833550.0,,13152947.0,,,,,
2018-09-12,43.94,10278680,43.92,44.3,43.82,,,,,,,,44.832,26694210.0,,2874267.0,,,,,
2018-09-13,43.43,9623659,43.99,43.99,43.27,,,,,,,,44.696,21347732.0,,-6749392.0,,,,,
2018-09-14,44.41,5295391,44.02,44.56,43.95,,,,,,,,44.56,24038832.0,,-1454001.0,,,,0.54846156,
2018-09-17,43.76,6208023,43.63,44.14,43.4687,,,,,,,,44.623333,23218556.0,,-7662024.0,,,0.21040936,-0.28976154,
2018-09-18,43.56,8812444,43.5,44.09,43.35,,58.07744,,,,,,44.68667,19407770.0,42.333466,-16474468.0,,,0.2218031,-0.34725276,56.93787
2018-09-19,44.02,6393205,44.2,44.385,43.74,,60.67816,,,,,,44.75,18565254.0,39.59156,-10081263.0,,,0.14982082,0.3016405,62.231354
2018-09-20,44.17,4725296,44.25,44.43,43.9,,61.516537,,,,,,44.81333,18654410.0,44.561226,-5355967.0,,,0.19790158,0.4328347,60.419727
2018-09-21,44.06,6652147,44.25,44.405,44.02,,60.497875,,,,55.070137,,44.876667,13384528.0,45.308437,-12008114.0,,,0.109903865,0.49600118,63.54424
2018-09-24,44.89,8229145,43.84,44.94,43.79,,65.18281,,,,78.715965,,44.94,20898096.0,45.397648,-3778969.0,,44.89,0.10983708,0.53657246,65.80525
2018-09-25,44.17,6659797,44.8,44.9081,44.13,,58.681194,,,0.5672086,61.446487,,45.036667,14923022.0,39.39761,-10438766.0,,44.5476,0.035120778,0.8237335,66.57016
2018-09-26,44.27,4564255,44.25,44.7335,44.25,,59.28857,,,0.5939425,61.617825,,45.133335,10736369.0,45.574116,-5874511.0,,44.2052,0.022033893,0.72261447,66.31601
2018-09-27,44.76,6711670,44.6,45.23,44.58,,62.219196,,,0.8519194,56.577084,,45.23,7741931.5,41.571945,837159.0,,43.8628,-0.0102703115,1.369241,65.492714
2018-09-28,44.16,7727673,44.5,44.62,43.97,,56.82504,,,0.48677418,55.892815,42.653496,44.80682,4531975.0,34.616447,-6890514.0,,43.5204,0.0026316016,0.16649225,66.34138
2018-10-01,44.66,4969287,44.55,44.96,44.42,,59.94174,,,0.7685563,73.01271,42.661972,44.383636,3979831.8,42.488888,-1921227.0,,43.178,-0.048144765,0.82842195,65.50988
