Sim_Start_Date,Sim_End_Date,Algorithm_Value,Funds,Investing,Income,Taxes,Purchase_Count,Sell_Count,Div_Count,Average_Income,Median_Income,Back_Test_Count,Research_Range_In_Days,Dataframe_Range_In_Years,Past_Periods,Indicator_List,Indicator_Strength,Buy_Pattern,Sell_Pattern,Sell_Profit,Sell_Loss,Max_Stock_Count,Max_Stock_Percent,Max_Sector_Percent
2023-02-08,2023-03-08,1.4202,3000,0,83.35,9.17,1,1,0,83.35,83.35,10,28,5,5,bop,3,D/D,D/I,0.025,-0.08,1,1,1
2023-02-08,2023-03-08,1.2968,3000,0,10.6,1.17,2,2,0,5.3,5.3,10,28,5,35,macd,2,I/D,D/D,0.02,-0.05,1,1,1
2023-02-08,2023-03-08,1.3274,3000,0,98.23,10.81,2,2,0,49.11,49.11,10,28,5,15,bop/adx,0,D/D/D,D/D/I,0.05,-0.01,1,1,1
2023-02-08,2023-03-08,1.2736,3000,0,65.17,7.17,1,1,0,65.17,65.17,10,28,5,40,elder,1,I/I,IGNORE,0.1,-0.01,1,1,1
2023-02-08,2023-03-08,1.317,3000,0,52.68,5.79,1,1,0,52.68,52.68,10,28,5,20,adl/bop,1,D/I/D,D/D/I,0.02,-0.24,1,1,1
2023-02-08,2023-03-08,1.6532,3000,0,11.62,1.28,1,1,0,11.62,11.62,10,28,5,10,stochastic/chop,1,D/D/I,D/I/D,0.015,-0.3,1,1,1
2023-02-08,2023-03-08,0.6175,3000,3035.0,35.25,3.88,2,1,0,35.25,35.25,10,28,5,30,mfi,1,D/D,IGNORE,0.01,-0.14,1,1,1
2023-02-08,2023-03-08,1.4769,3000,0,101.05,11.12,1,1,0,101.05,101.05,10,28,5,130,pvo,4,I/D,I/I,0.03,-0.29,1,1,1
2023-02-09,2023-03-09,1.3399,3000,0,31.45,3.46,1,1,0,31.45,31.45,10,28,5,35,bollinger,1,I/D,D/D,0.055,-0.23,1,1,1
2023-02-09,2023-03-09,1.4841,3000,0,56.67,6.23,3,3,0,18.89,17.22,10,28,5,5,zigzag,0,I/D,IGNORE,0.005,-0.07,1,1,1
