Payment_Date,Declaration_Date,Ex_Date,Record_Date,Cash_Amount
1997-04-15,1997-02-13,1997-04-01,1997-04-03,0.03
1997-04-15,1997-02-13,1997-04-01,1997-04-03,0.03
1998-04-15,1998-02-12,1998-03-30,1998-04-01,0.03
1998-04-15,1998-02-12,1998-03-30,1998-04-01,0.03
1999-04-15,N/A,1999-03-30,1999-04-01,0.03
1999-04-15,N/A,1999-03-30,1999-04-01,0.03
2000-04-19,2000-02-10,2000-03-30,2000-04-03,0.03
2000-04-19,2000-02-10,2000-03-30,2000-04-03,0.03
2001-04-18,2001-02-14,2001-03-29,2001-04-02,0.03
2002-04-17,2002-02-14,2002-03-27,2002-04-01,0.03
2003-04-17,2003-02-12,2003-03-28,2003-04-01,0.03
2004-04-16,N/A,2004-03-30,2004-04-01,0.03
2005-04-18,2005-02-02,2005-03-30,2005-04-01,0.03
2007-04-16,2007-01-31,2007-03-29,2007-04-02,0.03
2008-04-16,2008-02-19,2008-03-31,2008-04-02,0.03
2008-04-16,2008-02-19,2008-03-31,2008-04-02,0.03
2009-04-16,2009-02-03,2009-03-31,2009-04-02,0.03
2010-04-20,2010-02-09,2010-04-01,2010-04-06,0.03
2010-06-21,2010-05-25,2010-06-03,2010-06-07,0.125
2010-09-28,2010-08-03,2010-09-10,2010-09-14,0.125
2010-12-21,2010-11-02,2010-12-03,2010-12-07,0.125
2011-03-21,2011-02-09,2011-03-03,2011-03-07,0.125
2011-06-21,2011-05-25,2011-06-03,2011-06-07,0.1625
2011-09-21,2011-08-02,2011-09-02,2011-09-07,0.1625
2011-12-21,2011-11-04,2011-12-05,2011-12-07,0.1625
2012-03-19,2012-02-08,2012-03-01,2012-03-05,0.1625
2012-06-22,2012-06-06,2012-06-13,2012-06-15,0.2125
2012-09-21,2012-08-07,2012-09-12,2012-09-14,0.2125
2012-12-21,2012-10-29,2012-12-07,2012-12-11,0.2125
2013-03-26,2013-02-06,2013-03-13,2013-03-15,0.2125
2013-06-21,2013-06-05,2013-06-12,2013-06-14,0.28
2013-06-26,2013-06-05,2013-06-13,2013-06-17,0.28
2013-09-24,2013-08-14,2013-09-11,2013-09-13,0.28
2013-12-17,2013-11-07,2013-12-04,2013-12-06,0.28
2014-03-25,2014-02-12,2014-03-12,2014-03-14,0.28
2014-06-25,2014-06-04,2014-06-12,2014-06-16,0.375
2014-09-23,2014-08-12,2014-09-10,2014-09-12,0.375
2014-12-16,2014-11-06,2014-12-03,2014-12-05,0.375
2015-03-24,2015-02-10,2015-03-11,2015-03-13,0.375
2015-06-24,2015-06-03,2015-06-11,2015-06-15,0.50
2015-09-22,2015-08-12,2015-09-09,2015-09-11,0.50
2015-12-15,2015-11-06,2015-12-02,2015-12-04,0.50
2016-03-22,2016-02-10,2016-03-09,2016-03-11,0.50
2016-06-28,2016-06-08,2016-06-15,2016-06-17,0.625
2016-09-20,2016-08-03,2016-09-07,2016-09-09,0.625
2016-12-13,2016-11-09,2016-11-30,2016-12-02,0.625
2017-03-21,2017-02-09,2017-03-08,2017-03-10,0.625
2017-06-27,2017-06-07,2017-06-15,2017-06-19,0.75
2017-09-19,2017-08-16,2017-09-07,2017-09-08,0.75
2017-12-12,2017-11-08,2017-11-30,2017-12-01,0.75
2018-03-20,2018-02-14,2018-03-08,2018-03-09,0.75
2018-06-26,2018-06-06,2018-06-15,2018-06-18,0.90
2018-09-18,2018-08-08,2018-09-06,2018-09-07,0.90
2018-12-13,2018-11-09,2018-11-30,2018-12-03,0.90
2019-03-19,2019-02-27,2019-03-08,2019-03-11,0.90
2019-06-25,2019-06-05,2019-06-14,2019-06-17,1.08
2019-09-24,2019-08-14,2019-09-13,2019-09-16,1.08
2019-12-17,2019-11-08,2019-12-06,2019-12-09,1.08
2020-03-24,2020-02-17,2020-03-13,2020-03-16,1.08
2020-06-30,2020-06-02,2020-06-19,2020-06-22,1.25
2020-09-22,2020-08-05,2020-09-11,2020-09-14,1.25
2020-12-15,2020-11-04,2020-12-04,2020-12-07,1.25
2021-03-23,2021-02-24,2021-03-12,2021-03-15,1.25
2021-06-29,2021-06-09,2021-06-18,2021-06-21,1.45
2021-09-21,2021-08-11,2021-09-10,2021-09-13,1.45
2021-12-14,2021-11-05,2021-12-03,2021-12-06,1.45
2022-03-22,2022-02-16,2022-03-11,2022-03-14,1.45
2022-06-28,2022-06-08,2022-06-16,2022-06-20,1.65
2022-09-20,2022-08-17,2022-09-09,2022-09-12,1.65
2022-12-13,2022-11-04,2022-12-02,2022-12-05,1.65
2023-03-21,2023-02-27,2023-03-10,2023-03-13,1.65
2023-06-27,2023-06-07,2023-06-16,2023-06-19,1.88
