date,close,volume,open,high,low
2013-03-08,53.81,4586954,53.97,54.25,53.52
2013-03-11,54.21,4009454,53.83,54.64,53.75
2013-03-12,54.83,5466383,54.17,55.00,54.08
2013-03-13,54.48,4343594,54.68,54.88,54.35
2013-03-14,54.73,5058688,54.58,54.81,54.06
2013-03-15,54.73,7874677,54.63,54.90,54.42
2013-03-18,55.00,5971650,54.30,55.47,54.28
2013-03-19,55.17,5470826,55.00,55.40,54.92
2013-03-20,54.88,4525969,55.47,55.53,54.81
2013-03-21,55.06,4926516,54.69,55.35,54.634
2013-03-22,54.46,5404821,55.14,55.30,54.23
2013-03-25,54.86,5142459,54.65,55.115,54.44
2013-03-26,55.65,6059477,55.14,55.78,55.09
2013-03-27,56.62,8525946,55.55,57.03,55.44
2013-03-28,57.21,5680671,56.66,57.31,56.49
2013-04-01,58.97,9004808,57.16,59.36,57.0101
2013-04-02,61.74,22658060,61.63,63.95,61.50
2013-04-03,61.67,10140480,62.41,62.75,61.62
2013-04-04,62.03,7649987,61.75,62.50,61.49
2013-04-05,62.10,6838650,61.92,62.56,61.65
2013-04-08,61.89,4545510,62.07,62.37,61.295
2013-04-09,62.18,4408291,62.09,62.57,61.95
2013-04-10,62.41,4400519,62.32,62.60,62.0923
2013-04-11,62.98,4739163,62.39,63.00,62.33
2013-04-12,63.03,4162014,62.83,63.28,62.62
2013-04-15,61.59,4627177,62.72,63.00,61.58
2013-04-16,62.81,4976365,62.18,63.00,61.77
2013-04-17,62.03,8428959,62.39,63.15,61.96
2013-04-18,59.69,14014220,59.39,60.75,58.03
2013-04-19,60.04,6501705,59.94,60.7499,59.47
2013-04-22,59.22,6020853,59.99,60.10,58.64
2013-04-23,58.54,6277658,59.47,59.66,58.12
2013-04-24,58.79,5881694,58.90,59.25,58.72
2013-04-25,59.34,5669009,59.13,59.41,58.61
2013-04-26,59.48,5795418,59.26,60.1499,59.13
2013-04-29,60.01,4865071,59.95,60.49,59.81
2013-04-30,59.93,5698480,60.14,60.38,59.21
2013-05-01,59.72,4897393,59.96,60.44,59.30
2013-05-02,59.48,6070801,59.71,60.38,59.39
2013-05-03,58.92,5149453,59.79,60.03,58.87
2013-05-06,60.20,5609564,59.38,60.73,59.32
2013-05-07,60.50,4830638,60.08,61.13,59.93
2013-05-08,62.51,10033930,60.32,62.77,60.31
2013-05-09,62.01,6416636,62.25,62.56,61.4599
