date,close,volume,open,high,low,macd,rsi,aroon,adx,bollinger,stochastic,chandelier,pivots,adl,mfi,obv,pvo,zigzag,bop,elder,chop
2018-08-28,268.51,2602740,268.54,269.14,267.33,,,,,,,,,790887.9,,0.0,,,,,
2018-08-29,269.0,2880644,268.39,269.32,267.25,,,,,,,,,2780898.0,,2880644.0,,,,,
2018-08-30,268.39,2976341,269.46,270.17,268.11,,,,,,,,270.17,613659.4,,-95697.0,,,,,
2018-08-31,268.46,2958192,268.28,269.2056,267.2,,,,,,,,270.368,1372381.9,,2862495.0,,,,,
2018-09-04,268.51,2097287,268.0,269.41,266.57,,,,,,,,270.566,2140402.5,,4959782.0,,,,,
2018-09-05,267.64,2230582,268.56,268.795,266.93,,,,,,,,270.764,1608172.5,,2729200.0,,,,,
2018-09-06,269.65,2556062,267.6,270.02,266.941,,,,,,,,270.962,3549916.2,,5285262.0,,,,,
2018-09-07,268.28,2957997,269.64,271.16,267.51,,,,,,,,271.16,1839950.9,,2327265.0,,,,,
2018-09-10,259.73,4145647,266.78,266.8,258.75,,,,,,,,270.41,-1296321.2,,-1818382.0,,,,,
2018-09-11,261.04,2283313,257.92,261.418,257.4828,,,,,,,,269.66,548339.44,,464931.0,,,,,
2018-09-12,262.67,2230327,261.12,264.49,260.85,,,,,,,,268.91,548339.44,,2695258.0,,,,,
2018-09-13,265.49,2718755,264.16,265.685,263.42,,,,,,,,268.16,2798964.5,,5414013.0,,,,,
2018-09-14,265.31,2041446,265.4,266.65,263.28,,,,,,,,267.41,3216946.0,,3372567.0,,,,-2.79,
2018-09-17,263.87,1929862,266.5,266.66,263.41,,,,,,,,266.66,1833383.4,,1442705.0,,,-0.0055663087,-1.9385715,
2018-09-18,263.29,3501084,262.93,264.0899,262.0048,,38.12557,,,,,,267.234,2648249.0,49.195847,-2058379.0,,,0.007949989,-5.1383615,46.283924
2018-09-19,265.33,2257685,264.47,265.61,263.16,,43.748013,,,,,,267.808,4389891.5,48.283165,199306.0,,,0.0119738765,-2.3811953,46.59302
2018-09-20,266.39,2052195,266.08,267.94,266.06,,46.46991,,,,,,268.382,3058148.0,46.91267,2251501.0,,,0.06085324,2.6161182,47.035976
2018-09-21,266.67,5603372,266.1,267.84,265.8501,,47.19674,,,,78.30128,,268.956,2072299.2,43.700157,7854873.0,,,0.074903086,2.0267727,47.023403
2018-09-24,267.36,2625876,267.01,269.53,266.67,,49.033264,,,,80.25912,,269.53,713454.3,49.881966,10480749.0,,,0.07081738,4.100005,47.039417
2018-09-25,263.51,3724067,267.3,267.33,263.03,,40.557106,,,0.2777303,55.091522,,269.89285,-2179193.0,48.084152,6756682.0,,,0.043096114,-1.0142812,48.963253
2018-09-26,262.91,2195078,264.5,265.49,262.45,,39.413624,,,0.24961127,35.09068,,270.2557,-3709971.2,42.12754,4561604.0,,,-0.041820094,-2.6408124,48.933563
2018-09-27,264.65,2759329,263.0,265.41,262.93,,44.31672,,,0.42409828,35.982765,,270.61856,-2641843.8,41.765503,7320933.0,,,0.03231743,-2.0578392,52.85593
2018-09-28,266.04,2648699,264.38,266.19,263.848,,47.94115,,,0.56787676,65.89072,261.8168,270.9814,-332431.62,50.21139,9969632.0,,,0.14550117,-0.6001479,46.79186
2018-10-01,269.1,3312852,267.25,270.02,267.02,,54.900635,,,0.85567683,101.83828,261.69876,271.3443,948537.8,57.265194,13282484.0,,,0.13291706,5.3215876,57.173447
2018-10-02,270.63,2730528,269.0,271.44,267.5,,57.929077,,,0.9628124,109.500244,261.87155,271.70715,2556361.5,57.870583,16013012.0,,,0.13205145,5.8585033,56.366318
2018-10-03,270.9,3002184,272.0,272.07,269.77,,58.459206,64.0,,0.93935883,104.72225,262.62283,272.07,2504149.5,58.235836,19015196.0,,270.9,0.055947356,7.513003,53.262726
2018-10-04,268.32,2185769,271.0,271.62,267.3118,,51.748928,64.0,,0.7353492,72.59937,262.46478,272.04126,1341402.8,52.971867,16829428.0,,268.60333,0.013421406,4.274374,54.11907
2018-10-05,269.2,2045655,268.65,271.0,267.95,,53.701046,64.0,9.930197,0.8017555,59.29425,262.48547,272.0125,972514.2,57.858128,18875082.0,,266.30667,0.084104165,3.7579205,53.938133
2018-10-08,269.01,1863850,268.84,269.655,265.6531,,53.200584,64.0,9.617099,0.76851785,54.073753,262.37543,271.98376,2235558.0,60.198895,17011232.0,,264.01,0.07480604,-0.28796804,57.351902
2018-10-09,270.11,2509849,269.19,271.955,268.47,,55.77053,64.0,9.315961,0.84368974,76.11903,262.34085,271.955,2087919.8,60.50404,19521080.0,,261.71335,0.06858948,4.1683702,58.23885
