Sim_Start_Date,Sim_End_Date,Algorithm_Value,Funds,Investing,Income,Taxes,Purchase_Count,Sell_Count,Div_Count,Average_Income,Median_Income,Back_Test_Count,Research_Range_In_Days,Dataframe_Range_In_Years,Past_Periods,Indicator_List,Indicator_Strength,Buy_Pattern,Sell_Pattern,Sell_Profit,Sell_Loss,Max_Stock_Count,Max_Stock_Percent,Max_Sector_Percent
2023-02-08,2023-03-08,1.2138,3000,3111.0,111.51,12.27,3,2,0,55.76,55.76,10,28,5,75,chandelier,0,D/D,I/I,0.015,-0.04,1,1,1
2023-02-08,2023-03-08,1.7461,3000,0,64.08,7.05,1,1,0,64.08,64.08,10,28,5,10,pivots,0,D/I,D/D,0.015,-0.24,1,1,1
2023-02-08,2023-03-08,0.9026,3000,3118.0,118.72,13.06,2,1,0,118.72,118.72,10,28,5,100,bop,4,D/D,D/I,0.04,-0.08,1,1,1
2023-02-08,2023-03-08,1.0326,3000,3098.0,98.91,10.88,2,1,0,98.91,98.91,10,28,5,15,adl,0,D/D,I/D,0.085,-0.17,1,1,1
2023-02-08,2023-03-08,0.9908,3000,3116.0,116.89,12.86,2,1,0,116.89,116.89,10,28,5,125,zigzag,0,D/D,I/D,0.035,-0.2,1,1,1
2023-02-08,2023-03-08,1.7524,3000,0,97.1,10.68,2,2,0,48.55,48.55,10,28,5,15,rsi,0,D/I,I/I,0.03,-0.18,1,1,1
2023-02-08,2023-03-08,1.518,3000,0,38.89,4.28,1,1,0,38.89,38.89,10,28,5,75,elder,0,D/I,D/D,0.015,-0.05,1,1,1
2023-02-08,2023-03-08,1.2325,3000,0,49.05,5.4,1,1,0,49.05,49.05,10,28,5,165,chandelier/macd,3,D/D/D,I/I/D,0.01,-0.21,1,1,1
2023-02-08,2023-03-08,0.71,3000,3046.0,46.41,5.11,2,1,0,46.41,46.41,10,28,5,125,macd,1,D/I,IGNORE,0.015,-0.04,1,1,1
2023-02-08,2023-03-08,0.8889,3000,3051.0,51.68,5.69,2,1,0,51.68,51.68,10,28,5,10,bop,1,D/D,D/I,0.04,-0.28,1,1,1
2023-02-08,2023-03-08,0.5487,3000,3014.0,14.62,1.61,2,1,0,14.62,14.62,10,28,5,40,stochastic,4,D/I,I/I,0.01,-0.1,1,1,1
2023-02-08,2023-03-08,0.9505,3000,3133.0,133.93,14.73,2,1,0,133.93,133.93,10,28,5,130,stochastic/zigzag/obv,0,D/D/D/I,I/I/D/D,0.045,-0.28,1,1,1
2023-02-08,2023-03-08,1.4505,3000,0,133.93,14.73,1,1,0,133.93,133.93,10,28,5,180,mfi/zigzag/elder/obv,0,I/I/I/D/I,IGNORE,0.045,-0.24,1,1,1
2023-02-08,2023-03-08,0.7147,3000,3033.0,33.89,3.73,2,1,0,33.89,33.89,10,28,5,185,chop,0,D/D,IGNORE,0.005,-0.11,1,1,1
2023-02-08,2023-03-08,1.2891,3000,0,46.41,5.11,1,1,0,46.41,46.41,10,28,5,15,bop/elder,0,D/I/D,IGNORE,0.015,-0.16,1,1,1
2023-02-08,2023-03-08,1.4677,3000,0,33.89,3.73,1,1,0,33.89,33.89,10,28,5,5,aroon/bop,2,I/I/I,I/I/D,0.005,-0.09,1,1,1
2023-02-08,2023-03-08,1.1156,3000,3109.0,109.69,12.07,4,3,0,36.56,30.51,10,28,5,170,macd,2,D/D,D/I,0.01,-0.21,1,1,1
2023-02-08,2023-03-08,0.8896,3000,3116.0,116.89,12.86,2,1,0,116.89,116.89,10,28,5,70,chandelier/obv,0,D/D/D,D/I/D,0.035,-0.18,1,1,1
2023-02-08,2023-03-08,0.8896,3000,3116.0,116.89,12.86,2,1,0,116.89,116.89,10,28,5,140,pivots/adx,0,D/D/D,I/D/D,0.025,-0.18,1,1,1
2023-02-08,2023-03-08,1.3414,3000,0,70.01,7.7,2,2,0,35.0,35.0,10,28,5,60,elder,4,D/D,D/I,0.01,-0.08,1,1,1
2023-02-08,2023-03-08,0.8896,3000,3116.0,116.89,12.86,2,1,0,116.89,116.89,10,28,5,165,bop/adl/chop,0,D/D/D/D,D/I/D/D,0.025,-0.13,1,1,1
2023-02-08,2023-03-08,1.4464,3000,0,133.93,14.73,1,1,0,133.93,133.93,10,28,5,170,pvo/adx,3,D/I/D,D/D/I,0.045,-0.3,1,1,1
2023-02-08,2023-03-08,1.2136,3000,0,64.08,7.05,1,1,0,64.08,64.08,10,28,5,15,macd,2,D/I,IGNORE,0.015,-0.08,1,1,1
2023-02-08,2023-03-08,1.6802,3000,0,59.34,6.53,1,1,0,59.34,59.34,10,28,5,30,bollinger/rsi/zigzag,0,I/I/I/I,I/I/D/I,0.015,-0.27,1,1,1
2023-02-08,2023-03-08,1.8448,3000,0,118.72,13.06,1,1,0,118.72,118.72,10,28,5,180,chandelier/pivots,0,I/I/I,I/D/I,0.04,-0.04,1,1,1
2023-02-08,2023-03-08,0.9765,3000,3017.0,17.24,1.9,2,1,0,17.24,17.24,10,28,5,15,rsi/bollinger/chandelier/aroon,0,D/D/D/I/I,I/D/D/I/I,0.005,-0.22,1,1,1
2023-02-08,2023-03-08,1.4242,3000,0,18.02,1.98,1,1,0,18.02,18.02,10,28,5,200,macd,1,I/D,D/D,0.005,-0.04,1,1,1
2023-02-08,2023-03-08,1.5359,3000,0,118.72,13.06,1,1,0,118.72,118.72,10,28,5,45,pvo/stochastic,1,D/I/D,IGNORE,0.04,-0.23,1,1,1
2023-02-08,2023-03-08,1.4218,3000,0,49.05,5.4,1,1,0,49.05,49.05,10,28,5,20,macd,0,I/D,IGNORE,0.01,-0.06,1,1,1
2023-02-08,2023-03-08,1.0065,3000,3116.0,116.89,12.86,2,1,0,116.89,116.89,10,28,5,160,pivots,0,D/D,I/I,0.025,-0.09,1,1,1
