Payment_Date,Declaration_Date,Ex_Date,Record_Date,Cash_Amount
1995-07-13,N/A,1995-06-29,1995-07-03,0.3253
1996-08-30,N/A,1996-07-01,1996-07-03,0.3572
1997-06-06,N/A,1997-05-20,1997-05-22,0.11
1997-07-23,N/A,1997-07-01,1997-07-03,0.3128
1998-06-29,N/A,1998-06-04,1998-06-08,0.4069
1999-06-03,N/A,1999-05-10,1999-05-12,0.4757
1999-06-14,N/A,1999-06-01,1999-06-03,0.2525
2000-06-02,N/A,2000-05-09,2000-05-11,0.1378
2001-05-23,N/A,2001-04-30,2001-05-02,0.7546
2002-06-04,N/A,2002-05-09,2002-05-13,0.7743
2005-05-25,N/A,2005-04-29,2005-05-03,0.6557
2006-05-25,N/A,2006-05-01,2006-05-03,1.07847
2008-08-29,2008-06-11,2008-08-13,2008-08-15,0.105
2008-12-02,2008-10-16,2008-11-12,2008-11-14,0.105
2009-03-03,2009-01-26,2009-02-11,2009-02-13,0.105
2009-06-02,2009-04-23,2009-05-13,2009-05-15,0.105
2009-09-01,2009-07-27,2009-08-12,2009-08-14,0.105
2009-12-01,2009-10-21,2009-11-12,2009-11-16,0.125
2010-03-02,2010-01-21,2010-02-10,2010-02-12,0.125
2010-06-02,2010-04-20,2010-05-12,2010-05-14,0.125
2010-09-01,2010-07-22,2010-08-11,2010-08-13,0.125
2010-12-07,2010-10-20,2010-11-17,2010-11-19,0.15
2011-03-01,2011-01-27,2011-02-09,2011-02-11,0.15
2011-06-07,2011-04-25,2011-05-18,2011-05-20,0.15
2011-09-07,2011-07-22,2011-08-17,2011-08-19,0.15
2011-12-06,2011-10-19,2011-11-16,2011-11-18,0.22
2012-03-06,2012-02-01,2012-02-15,2012-02-17,0.22
2012-06-05,2012-04-26,2012-05-16,2012-05-18,0.22
2012-09-04,2012-07-19,2012-08-15,2012-08-17,0.22
2012-09-04,2012-07-19,2012-08-23,2012-08-27,0.22
2012-12-04,2012-10-24,2012-11-14,2012-11-16,0.33
2013-03-05,2013-01-30,2013-02-13,2013-02-15,0.33
2013-06-04,2013-04-24,2013-05-15,2013-05-17,0.33
2013-09-04,2013-07-16,2013-08-14,2013-08-16,0.33
2013-12-03,2013-10-23,2013-11-13,2013-11-15,0.40
2014-03-04,2014-01-29,2014-02-12,2014-02-14,0.40
2014-06-03,2014-04-23,2014-05-14,2014-05-16,0.40
2014-09-03,2014-07-23,2014-08-13,2014-08-15,0.40
2014-12-02,2014-10-22,2014-11-12,2014-11-14,0.48
2015-03-03,2015-01-28,2015-02-11,2015-02-13,0.48
2015-06-02,2015-04-23,2015-05-13,2015-05-15,0.12
2015-09-01,2015-07-22,2015-08-12,2015-08-14,0.12
2015-12-01,2015-10-21,2015-11-10,2015-11-13,0.14
2016-03-01,2016-02-05,2016-02-17,2016-02-19,0.14
2016-06-07,2016-04-20,2016-05-11,2016-05-13,0.14
2016-09-06,2016-07-19,2016-08-17,2016-08-19,0.14
2016-12-06,2016-10-17,2016-11-16,2016-11-18,0.165
2017-03-07,2017-01-31,2017-02-15,2017-02-17,0.165
2017-06-06,2017-04-18,2017-05-17,2017-05-19,0.165
2017-09-05,2017-07-17,2017-08-16,2017-08-18,0.165
2017-12-05,2017-10-17,2017-11-16,2017-11-17,0.195
2018-03-06,2018-01-30,2018-02-15,2018-02-16,0.21
2018-06-05,2018-04-17,2018-05-17,2018-05-18,0.21
2018-09-04,2018-07-18,2018-08-16,2018-08-17,0.21
2018-12-04,2018-10-18,2018-11-15,2018-11-16,0.25
2019-03-05,2019-01-31,2019-02-14,2019-02-15,0.25
2019-06-04,2019-04-18,2019-05-16,2019-05-17,0.25
2019-09-03,2019-07-18,2019-08-15,2019-08-16,0.25
2019-12-03,2019-10-25,2019-11-14,2019-11-15,0.30
2020-03-03,2020-01-28,2020-02-13,2020-02-14,0.30
2020-06-02,2020-04-22,2020-05-13,2020-05-14,0.30
2020-09-01,2020-07-22,2020-08-13,2020-08-14,0.30
2020-12-01,2020-10-23,2020-11-12,2020-11-13,0.32
2021-03-01,2021-01-26,2021-02-11,2021-02-12,0.32
2021-06-01,2021-04-23,2021-05-13,2021-05-14,0.32
2021-09-01,2021-07-27,2021-08-12,2021-08-13,0.32
2021-12-07,2021-10-22,2021-11-10,2021-11-12,0.375
2022-03-01,2022-01-25,2022-02-10,2022-02-11,0.375
2022-06-01,2022-04-22,2022-05-12,2022-05-13,0.375
2022-09-01,2022-07-22,2022-08-11,2022-08-12,0.375
2022-12-01,2022-10-25,2022-11-09,2022-11-11,0.45
2023-03-01,2023-01-26,2023-02-09,2023-02-10,0.45
2023-06-01,2023-04-25,2023-05-11,2023-05-12,0.45
2023-09-01,2023-07-25,2023-08-10,2023-08-11,0.45
