date,close,volume,open,high,low
2013-03-08,40.1675,9574364,40.335,40.35,39.9725
2013-03-11,40.295,6741784,40.3425,40.40,40.1025
2013-03-12,39.95,8340716,40.17,40.2425,39.7575
2013-03-13,39.8425,11021016,39.875,40.10,39.7125
2013-03-14,40.165,14859112,39.85,40.2675,39.825
2013-03-15,39.6375,17615660,40.0075,40.1598,39.6325
2013-03-18,39.5175,15163892,39.32,39.795,39.10
2013-03-19,39.00,17598660,39.50,39.8375,38.92
2013-03-20,39.8325,16070016,39.25,39.9925,39.18
2013-03-21,39.45,14883172,39.6125,39.9325,39.45
2013-03-22,40.0225,18748248,39.5525,40.04,39.43
2013-03-25,41.00,19331340,40.1875,41.07,40.125
2013-03-26,41.865,17266356,41.225,41.945,41.135
2013-03-27,42.165,13371644,41.6525,42.3075,41.3775
2013-03-28,42.46,12458428,42.1875,42.74,42.0325
2013-04-01,41.8375,13236436,42.4375,42.7475,41.7253
2013-04-02,41.9875,9577752,42.105,42.225,41.8275
2013-04-03,41.1875,16622684,42.105,42.1325,41.07
2013-04-04,41.62,8903828,41.355,41.6325,41.2525
2013-04-05,41.29,7962988,41.0525,41.355,40.8975
2013-04-08,41.5725,6125312,41.41,41.5925,41.12
2013-04-09,41.1875,6005468,41.7075,41.72,41.0025
2013-04-10,41.7475,8996936,41.2425,41.825,41.2425
2013-04-11,41.905,6493196,41.75,41.975,41.555
2013-04-12,41.4375,7076436,41.4775,41.7075,41.275
2013-04-15,40.3225,10773268,41.155,41.22,40.3225
2013-04-16,41.1775,10096152,40.6625,41.20,40.625
2013-04-17,40.5575,9543540,40.935,41.0075,40.485
2013-04-18,40.3525,21010624,40.6475,40.8475,40.3175
2013-04-19,40.99,7621504,40.52,41.0275,40.4375
2013-04-22,40.8825,5403332,40.8925,41.0875,40.6225
2013-04-23,41.415,6324076,41.0675,41.42,40.8825
2013-04-24,41.765,7447196,41.415,41.8925,41.40
2013-04-25,42.19,9334580,41.9775,42.62,41.86
2013-04-26,41.8075,6127132,42.19,42.3988,41.785
2013-04-29,41.975,10692968,41.9325,42.125,41.79
2013-04-30,42.115,12166080,42.1475,42.475,42.01
2013-05-01,41.505,12237660,41.7475,42.065,40.90
2013-05-02,43.85,30674000,42.50,44.915,42.50
2013-05-03,44.885,15025268,44.24,45.21,44.1075
2013-05-06,44.7225,13067040,44.835,45.1916,44.5313
2013-05-07,44.9475,11876096,44.8725,44.965,44.305
2013-05-08,44.815,14448868,44.865,44.875,44.4252
2013-05-09,44.645,11500984,44.8075,44.97,44.5575
2013-05-10,44.6875,13840184,44.67,44.755,44.3875
2013-05-13,44.7325,12479684,44.645,45.11,44.5325
2013-05-14,45.08,16076624,44.745,45.3725,44.66
2013-05-15,45.44,13622964,44.9975,45.4505,44.9175
2013-05-16,44.95,9912028,45.435,45.435,44.945
2013-05-17,46.1425,13248352,45.22,46.145,45.13
2013-05-20,45.4025,21191332,45.9775,46.225,45.20
2013-05-21,45.3875,13429516,45.385,45.6725,45.0975
2013-05-22,45.035,19565244,45.52,46.105,45.025
2013-05-23,44.525,16836868,44.595,44.8775,44.2775
2013-05-24,45.1125,12306180,44.47,45.275,44.225
2013-05-28,45.0075,9932096,45.61,45.635,44.9175
2013-05-29,44.535,7490024,44.805,45.05,44.5175
2013-05-30,45.2575,9627708,44.585,45.4975,44.585
2013-05-31,44.535,12513632,45.1425,45.35,44.525
2013-06-03,45.0475,15235436,44.6875,45.17,44.3775
2013-06-04,45.05,13528012,44.85,45.4375,44.675
2013-06-05,44.305,12176748,44.9675,45.0475,44.2152
2013-06-06,44.8375,14663924,44.1725,44.855,44.10
