date,close,volume,open,high,low,macd,rsi,aroon,adx,bollinger,stochastic,chandelier,pivots,adl,mfi,obv,pvo,zigzag,bop,elder,chop
2018-08-28,145.2,4925663,145.63,146.17,144.87,,,,,,,,,-2424941.8,,0.0,,,,,
2018-08-29,147.03,5191645,145.46,147.2999,145.42,,,,,,,,,1275959.0,,5191645.0,,,,,
2018-08-30,146.74,7804345,146.82,147.71,146.36,,,,,,,,,-2134828.8,,-2612700.0,,,,,
2018-08-31,146.89,5785316,146.74,147.64,146.5,,,,,,,,,-3961770.8,,3172616.0,,,,,
2018-09-04,147.8,7637793,146.93,147.86,146.6669,,,,,,,,147.86,2907826.0,,10810409.0,,,,,
2018-09-05,142.67,11359530,147.0,147.82,142.55,,,,,,,,147.92375,-7934382.0,,-549121.0,,142.67,,,
2018-09-06,144.5,9585977,143.29,144.7,142.54,,,,,,,,147.9875,-123585.98,,9036856.0,,143.12111,,,
2018-09-07,143.2,13626110,143.99,144.44,142.75,,,,,,,,148.05125,-6493187.5,,-4589254.0,,143.57222,,,
2018-09-10,144.08,5362650,144.13,144.44,143.21,,,,,,,,148.115,-4269650.0,,773396.0,,144.02333,,,
2018-09-11,145.49,9895741,143.46,145.52,143.25,,,,,,,,148.17876,5364529.5,,10669137.0,,144.47444,,,
2018-09-12,146.57,6963538,145.85,146.8,145.0733,,,,,,,,148.2425,10472952.0,,17632676.0,,144.92555,,,
2018-09-13,147.63,5774016,147.15,148.065,147.09,,,,,,,,148.30624,11094770.0,,23406692.0,,145.37666,,,
2018-09-14,147.84,4867485,147.91,148.37,147.35,,,,,,,,148.37,10903888.0,,28274176.0,,145.82777,,4.083077,
2018-09-17,146.18,7703212,147.83,147.9,145.83,,,,,,,,148.748,5805626.5,,20570964.0,,146.27888,0.105298124,1.9897802,
2018-09-18,147.63,5691154,146.2,148.0897,145.95,,56.33142,,,,,,149.126,9051369.0,60.92322,26262118.0,,146.73,0.17666149,1.7966545,57.97585
2018-09-19,147.42,7432144,148.28,148.82,147.251,,55.67529,,,,,,149.504,3220286.2,61.750156,18829974.0,,147.1811,0.07785645,3.456961,54.403812
2018-09-20,149.24,7163488,147.99,149.485,147.2,,60.02144,,,,,,149.882,8847621.0,61.552704,25993462.0,,147.63222,0.121163964,3.2329667,51.908997
2018-09-21,150.05,15566770,149.95,150.26,149.35,,61.81592,,,,102.48239,,150.26,17229728.0,64.83691,41560230.0,,148.08333,0.11961476,5.208257,47.733524
2018-09-24,149.11,6704456,149.16,149.65,147.27,,58.53243,,,,98.45546,,150.47667,20891826.0,58.787315,34855776.0,,148.53444,0.06602896,1.9727918,49.881496
2018-09-25,149.58,4230659,149.71,149.96,149.1,,59.68549,,,0.8528365,90.48848,,150.69333,21383764.0,66.33694,39086436.0,,148.98555,0.11391961,3.5109644,43.582615
2018-09-26,149.27,5851906,150.0,150.42,149.04,,58.529465,,,0.7834614,80.47237,,150.91,17482492.0,74.03409,33234528.0,,149.43666,0.0361217,3.4836838,42.596985
2018-09-27,150.02,5868529,149.9,150.64,149.562,,60.5217,,,0.8390188,89.469086,,151.12666,16600580.0,85.47905,39103056.0,,149.88777,0.07746262,3.6451576,43.135693
2018-09-28,150.09,6032598,149.81,150.37,149.55,,60.71141,,,0.8140379,91.80281,145.32068,151.34334,18513356.0,79.48599,45135656.0,,150.33888,0.10475646,2.8455637,42.699703
2018-10-01,150.79,9802023,150.89,151.56,150.61,,62.644573,,,0.8506983,92.47237,146.28201,151.56,12425783.0,79.551765,54937680.0,,150.79,0.033361014,4.4519114,46.286755
2018-10-02,149.67,8047405,150.84,150.84,149.17,,57.748505,,,0.71856385,72.3106,146.29419,150.835,9197183.0,71.773705,46890270.0,,148.6575,-0.04646607,2.06021,50.889095
2018-10-03,149.37,7520309,150.71,150.71,149.19,,56.47526,68.0,,0.6704638,53.15411,146.32626,150.11,3458000.0,64.912346,39369964.0,,146.525,-0.14460082,1.8373228,50.93223
2018-10-04,146.76,9207261,149.18,149.28,146.1,,46.80634,68.0,,0.34899148,9.54744,146.11826,149.385,-1927379.0,57.79507,30162704.0,,144.3925,-0.19405647,-2.0337234,54.62617
2018-10-05,145.36,7084617,146.64,147.41,144.4,,42.593845,68.0,10.455223,0.12725827,-9.330561,145.95515,148.66,-4492905.0,58.14994,23078088.0,,142.26,-0.16749558,-4.647477,47.62657
