Sim_Start_Date,Sim_End_Date,Algorithm_Value,Funds,Investing,Income,Taxes,Purchase_Count,Sell_Count,Div_Count,Average_Income,Median_Income,Back_Test_Count,Research_Range_In_Days,Dataframe_Range_In_Years,Past_Periods,Indicator_List,Indicator_Strength,Buy_Pattern,Sell_Pattern,Sell_Profit,Sell_Loss,Max_Stock_Count,Max_Stock_Percent,Max_Sector_Percent
2023-02-08,2023-03-08,0.0195,3000,3000.0,5.86,0.64,1,0,1,5.86,5.86,10,28,5,145,adx/elder,2,I/I/I,D/I/D,0.005,-0.23,1,1,1
2023-02-08,2023-03-08,0.0195,3000,3000.0,5.86,0.64,1,0,1,5.86,5.86,10,28,5,5,pvo/macd/zigzag,1,I/D/D/D,IGNORE,0.065,-0.3,1,1,1
2023-02-08,2023-03-08,1.8342,3000,0,86.29,9.49,1,1,0,86.29,86.29,10,28,5,5,pvo/bollinger/macd/mfi,1,D/I/D/D/D,IGNORE,0.02,-0.12,1,1,1
2023-02-08,2023-03-08,0.0195,3000,3000.0,5.86,0.64,1,0,1,5.86,5.86,10,28,5,75,pivots/adx,0,I/I/I,IGNORE,0.055,-0.13,1,1,1
2023-02-08,2023-03-08,1.5187,3000,0,89.81,9.88,1,1,0,89.81,89.81,10,28,5,35,aroon/pivots,1,I/I/I,I/I/D,0.03,-0.21,1,1,1
2023-02-08,2023-03-08,0.7792,3000,3051.0,51.38,5.65,2,1,0,51.38,51.38,10,28,5,60,bop,1,I/I,D/I,0.01,-0.04,1,1,1
2023-02-08,2023-03-08,0.1553,3000,3000.0,5.86,0.64,1,0,1,5.86,5.86,10,28,5,10,rsi/bop,0,I/D/D,D/I/I,0.05,-0.13,1,1,1
2023-02-08,2023-03-08,0.1533,3000,3000.0,5.86,0.64,1,0,1,5.86,5.86,10,28,5,185,obv,0,I/D,IGNORE,0.005,-0.1,1,1,1
2023-02-08,2023-03-08,0.0195,3000,3000.0,5.86,0.64,1,0,1,5.86,5.86,10,28,5,55,chop/obv,0,I/D/D,IGNORE,0.07,-0.16,1,1,1
2023-02-08,2023-03-08,0.0195,3000,3000.0,5.86,0.64,1,0,1,5.86,5.86,10,28,5,150,adx/chop/chandelier/macd,1,I/I/D/I/I,I/D/D/I/D,0.08,-0.06,1,1,1
2023-02-08,2023-03-08,1.6484,3000,0,86.29,9.49,1,1,0,86.29,86.29,10,28,5,20,macd/pivots,1,D/D/D,I/D/D,0.02,-0.06,1,1,1
2023-02-08,2023-03-08,0.0195,3000,3000.0,5.86,0.64,1,0,1,5.86,5.86,10,28,5,195,macd/pvo/chop/mfi,1,I/I/I/D/I,D/D/I/D/I,0.055,-0.1,1,1,1
2023-02-08,2023-03-08,0.0195,3000,3000.0,5.86,0.64,1,0,1,5.86,5.86,10,28,5,165,chandelier/zigzag/chop/elder/adx,0,I/I/I/D/I/I,IGNORE,0.065,-0.26,1,1,1
2023-02-08,2023-03-08,0.2152,3000,3000.0,5.86,0.64,1,0,1,5.86,5.86,10,28,5,10,obv/bop,0,I/I/D,I/D/D,0.095,-0.17,1,1,1
2023-02-08,2023-03-08,0.1194,3000,3000.0,5.86,0.64,1,0,1,5.86,5.86,10,28,5,165,macd,3,I/I,IGNORE,0.05,-0.07,1,1,1
2023-02-08,2023-03-08,0.2647,3000,3000.0,5.86,0.64,1,0,1,5.86,5.86,10,28,5,25,zigzag/adl,0,I/I/I,IGNORE,0.05,-0.18,1,1,1
2023-02-08,2023-03-08,1.1347,3000,3092.0,92.05,10.13,2,1,0,92.05,92.05,10,28,5,55,pvo/bollinger,1,I/I/D,I/D/D,0.025,-0.1,1,1,1
2023-02-08,2023-03-08,1.3928,3000,0,43.5,4.78,1,1,0,43.5,43.5,10,28,5,110,elder/chop,3,I/I/D,D/I/D,0.01,-0.04,1,1,1
2023-02-08,2023-03-08,1.1713,3000,0,51.38,5.65,1,1,0,51.38,51.38,10,28,5,195,aroon/rsi/bop/stochastic,1,I/I/I/I/D,IGNORE,0.01,-0.29,1,1,1
