Payment_Date,Declaration_Date,Ex_Date,Record_Date,Cash_Amount
1995-07-10,1995-06-01,1995-06-08,1995-06-12,0.05
1995-10-03,1995-08-17,1995-08-31,1995-09-05,0.05
1996-01-05,1995-11-16,1995-11-29,1995-12-01,0.05
1996-04-08,1996-03-07,1996-03-15,1996-03-19,0.0525
1996-07-08,1996-06-06,1996-06-13,1996-06-17,0.0525
1996-10-07,1996-08-15,1996-08-29,1996-09-03,0.0525
1997-01-17,1996-11-14,1996-12-11,1996-12-13,0.0525
1997-04-09,1997-03-06,1997-03-17,1997-03-19,0.0675
1997-07-14,1997-06-06,1997-06-18,1997-06-20,0.0675
1997-10-14,1997-08-14,1997-09-17,1997-09-19,0.0675
1998-01-12,1997-11-13,1997-12-17,1997-12-19,0.0675
1998-04-06,1998-03-05,1998-03-18,1998-03-20,0.0775
1998-07-13,1998-06-04,1998-06-17,1998-06-19,0.0775
1998-10-12,1998-08-13,1998-09-16,1998-09-18,0.0775
1999-01-11,1998-11-12,1998-12-09,1998-12-12,0.0775
1999-04-19,1999-03-03,1999-03-17,1999-03-19,0.10
1999-07-12,1999-06-03,1999-06-16,1999-06-18,0.05
1999-10-12,1999-08-12,1999-09-15,1999-09-17,0.05
2000-01-10,1999-11-11,1999-12-15,1999-12-17,0.05
2000-04-10,2000-03-02,2000-03-15,2000-03-17,0.06
2000-07-10,2000-06-01,2000-06-14,2000-06-16,0.06
2000-10-10,2000-08-10,2000-09-13,2000-09-15,0.06
2001-01-08,2000-11-16,2000-12-20,2000-12-22,0.06
2001-04-09,2001-03-09,2001-03-21,2001-03-23,0.07
2001-07-09,2001-05-31,2001-06-20,2001-06-22,0.07
2001-10-09,2001-08-16,2001-09-19,2001-09-21,0.07
2002-01-07,2001-11-19,2001-12-19,2001-12-21,0.07
2002-04-18,2002-03-08,2002-03-20,2002-03-22,0.075
2002-07-08,2002-06-06,2002-06-19,2002-06-21,0.075
2002-10-07,2002-08-14,2002-09-18,2002-09-20,0.075
2003-01-06,2002-11-14,2002-12-18,2002-12-20,0.075
2003-04-07,2003-03-06,2003-03-19,2003-03-21,0.09
2003-07-07,2003-06-05,2003-06-18,2003-06-20,0.09
2003-10-14,2003-09-24,2003-10-02,2003-10-06,0.09
2004-01-05,2003-11-20,2003-12-17,2003-12-19,0.09
2004-04-05,2004-03-02,2004-03-17,2004-03-19,0.13
2004-06-07,2004-03-02,2004-05-19,2004-05-21,0.13
2004-09-07,2004-03-02,2004-08-18,2004-08-20,0.13
2005-01-03,2004-03-02,2004-12-15,2004-12-17,0.13
2005-04-04,2005-03-03,2005-03-16,2005-03-18,0.15
2005-06-06,2005-03-03,2005-05-18,2005-05-20,0.15
