date,close,volume,open,high,low
2013-03-08,73.03,5744563,73.30,73.39,72.84
2013-03-11,72.98,5149550,73.09,73.24,72.81
2013-03-12,73.60,8156286,72.95,73.90,72.84
2013-03-13,73.65,5318080,73.89,74.20,73.54
2013-03-14,73.22,6352105,73.87,74.00,73.13
2013-03-15,72.50,17203880,73.01,73.50,72.435
2013-03-18,72.25,5740011,72.29,72.73,72.01
2013-03-19,72.45,5751083,72.42,72.87,72.19
2013-03-20,72.99,6309979,72.81,73.375,72.74
2013-03-21,73.13,5494804,72.87,73.47,72.85
2013-03-22,74.28,7246230,73.35,74.29,73.29
2013-03-25,74.85,10438660,74.14,75.11,74.12
2013-03-26,74.77,6642358,74.93,75.09,74.43
2013-03-27,74.78,5970553,74.31,74.965,74.24
2013-03-28,74.83,7341433,74.84,74.97,74.38
2013-04-01,75.43,8416097,75.00,75.93,74.90
2013-04-02,76.02,6642176,75.55,76.05,75.42
2013-04-03,76.00,7453522,76.31,76.68,75.72
2013-04-04,76.20,7508315,75.96,76.58,75.96
2013-04-05,76.39,5861325,75.55,76.41,75.4325
2013-04-08,77.29,8031937,76.10,77.445,75.83
2013-04-09,78.12,8652336,77.24,78.46,77.02
2013-04-10,77.37,8599333,78.28,78.38,77.37
2013-04-11,77.79,7127971,77.36,78.37,77.27
2013-04-12,78.56,6326157,77.63,78.85,77.58
2013-04-15,78.47,8548831,78.44,79.28,78.43
2013-04-16,78.68,6854546,78.23,78.86,78.0301
2013-04-17,78.51,7248636,78.53,79.07,78.11
2013-04-18,77.16,14209060,78.76,79.05,76.6101
2013-04-19,78.29,7827256,77.50,78.44,77.40
2013-04-22,77.97,5155003,78.29,78.44,77.50
2013-04-23,79.09,6654114,78.11,79.22,78.05
2013-04-24,78.03,8074290,79.23,79.50,77.92
2013-04-25,78.65,5730230,78.18,78.8275,77.881
2013-04-26,79.04,5915657,78.58,79.15,78.57
2013-04-29,78.39,6149584,79.08,79.25,78.15
2013-04-30,77.72,7961644,78.28,78.30,77.37
2013-05-01,78.06,6252989,77.85,78.66,77.69
2013-05-02,78.46,4515961,77.91,78.49,77.80
2013-05-03,79.25,5599388,78.92,79.34,78.90
2013-05-06,78.83,4807003,79.10,79.16,78.77
2013-05-07,78.83,6571101,79.10,79.143,78.77
2013-05-08,78.25,8008719,78.56,78.66,77.78
2013-05-09,78.40,6516841,78.31,78.96,77.90
2013-05-10,78.89,5821519,78.47,78.91,78.28
2013-05-13,78.50,7709076,78.80,78.94,77.915
2013-05-14,78.78,10017670,77.98,78.86,77.67
2013-05-15,79.86,7999899,78.80,79.96,78.65
2013-05-16,78.50,12107450,78.10,78.86,77.34
2013-05-17,77.87,10671370,78.30,78.589,77.40
2013-05-20,77.40,5582600,77.88,77.90,77.355
2013-05-21,77.39,7482889,77.62,78.18,77.25
2013-05-22,77.03,9025193,77.19,77.80,76.75
2013-05-23,76.33,8023168,76.83,76.94,76.25
2013-05-24,77.31,7589559,76.32,77.41,76.15
2013-05-28,77.32,6059170,77.52,78.04,77.06
2013-05-29,76.23,5882206,77.05,77.05,76.06
2013-05-30,75.63,6227054,76.49,76.54,75.61
