date,close,volume,open,high,low,macd,rsi,aroon,adx,bollinger,stochastic,chandelier,pivots,adl,mfi,obv,pvo,zigzag,bop,elder,chop
2018-08-28,96.07,9971323,94.77,96.35,94.53,,,,,,,,,6903223.5,,0.0,,,,,
2018-08-29,95.64,7861362,96.28,96.83,95.53,,,,,,,,,372245.97,,-7861362.0,,,,,
2018-08-30,96.1,7052728,95.5,96.495,95.45,,,,,,,,,2093246.6,,-808634.0,,,,,
2018-08-31,95.86,6323281,96.19,96.44,95.11,,,,,,,,,2901485.5,,-7131915.0,,,,,
2018-09-04,95.36,8279331,95.8,96.27,95.24,,,,,,,,,-3448681.0,,-15411246.0,,,,,
2018-09-05,96.62,9471125,95.67,96.83,95.36,,,,,,,,96.83,3316408.2,,-5940121.0,,,,,
2018-09-06,96.45,6148274,96.53,96.72,96.01,,,,,,,,97.0375,4788530.0,,-12088395.0,,,,,
2018-09-07,95.83,6654312,95.8,96.4801,95.64,,,,,,,,97.245,1144143.9,,-18742708.0,,,,,
2018-09-10,96.9,8262467,96.11,97.19,96.09,,,,,,,,97.4525,5050037.5,,-10480240.0,,,,,
2018-09-11,96.64,6369365,97.27,97.66,96.49,,,,,,,,97.66,313842.9,,-16849604.0,,,,,
2018-09-12,95.97,5897303,96.26,96.74,95.93,,,,,,,,97.546,-5001010.5,,-22746908.0,,,,,
2018-09-13,95.12,7605219,95.32,95.6199,94.91,,,,,,,,97.432,-8106733.5,,-30352128.0,,,,,
2018-09-14,94.59,6274451,94.53,94.84,94.35,,,,,,,,97.318,-8234784.0,,-36626576.0,,,,-2.6792307,
2018-09-17,94.82,5146077,94.75,95.48,94.3733,,,,,,,,97.204,-9226614.0,,-31480500.0,,,0.02969959,-1.6974692,
2018-09-18,95.43,6296139,94.46,95.59,94.15,,45.949368,,,,,,97.09,-4329616.5,58.11046,-25184362.0,,,0.026794262,-1.7120879,56.136032
2018-09-19,95.24,5573294,95.57,95.8925,94.88,,44.789295,,,,,,96.976,-5939679.5,57.08657,-30757656.0,,,0.038678672,-0.5407182,55.423893
2018-09-20,95.75,5256100,95.35,95.79,94.95,,48.54454,,,,,,96.862,-1184160.4,56.247547,-25501556.0,,,0.03168066,-0.5999013,54.907803
2018-09-21,95.9,9414925,95.92,96.29,95.63,,49.629707,,,,55.09086,,96.748,-2895965.0,64.19525,-16086631.0,,,0.047239035,0.5143703,53.170307
2018-09-24,94.92,5103093,95.44,96.0,94.86,,43.21704,,,,38.050014,,96.634,-7461890.5,66.386,-21189724.0,,,0.045170758,-0.32196832,53.46109
2018-09-25,95.1,6147879,95.99,96.52,94.99,,44.632137,,,0.2551284,22.697056,,96.52,-12725761.0,65.122284,-15041845.0,,,-0.042540517,0.46831286,53.80189
2018-09-26,94.59,5907719,95.1,95.585,94.52,,41.478085,,,0.10657538,-0.18993352,,96.338,-17856878.0,58.47175,-20949564.0,,,-0.06869746,-0.67073184,54.71722
2018-09-27,94.13,5363387,94.19,94.96,93.82,,38.813805,,,0.018103005,1.4356303,,96.156,-20303336.0,59.38989,-26312952.0,,,-0.07500757,-1.6363416,52.068752
2018-09-28,93.91,6305331,94.28,94.37,93.69,,37.57083,,,0.026193697,-3.9304888,94.44464,95.974,-22528746.0,51.197872,-32618282.0,,,-0.16517182,-1.9854356,49.06989
2018-10-01,94.4,4994276,94.29,94.66,94.04,,42.02412,,,0.20782797,12.289319,94.48852,95.792,-21723218.0,50.31902,-27624006.0,,,-0.11403747,-1.1675162,57.945
2018-10-02,95.15,7753301,93.93,95.61,93.85,,48.123848,,,0.4338733,48.531776,94.39268,95.61,-18022778.0,58.18025,-19870704.0,,,-0.038951293,-0.46929964,63.256886
2018-10-03,94.07,6313339,95.5,95.54,94.04,,41.373413,-52.0,,0.14916912,42.607494,94.33665,95.98333,-24083584.0,59.08806,-26184044.0,,,-0.08692297,-0.09368541,64.35066
2018-10-04,94.21,6043824,94.07,94.5,93.2,,42.499397,-68.0,,0.21798186,36.740227,94.31044,96.35667,-20736236.0,59.274048,-20140220.0,,,-0.08797702,-1.7945875,59.57663
2018-10-05,93.31,6684456,93.86,94.19,92.89,,37.51166,-72.0,7.2699127,0.024438903,2.2738948,94.28269,96.73,-23101504.0,52.386524,-26824676.0,,,-0.122714736,-2.0039322,56.696056
2018-10-08,94.69,5762057,93.25,94.93,93.0201,,47.655712,-72.0,6.7585316,0.43374476,37.703697,94.175766,97.10333,-18787580.0,52.063854,-21062620.0,,,-0.11697509,-1.1761276,57.779034
2018-10-09,97.08,11598080,95.64,97.74,95.19,,59.820843,8.0,8.545542,1.1475942,82.093895,93.99823,97.47667,-13193211.0,55.277534,-9464539.0,,,-0.053358532,3.0846622,51.16756
2018-10-10,95.76,8994703,96.6,97.85,95.7,,52.555935,12.0,10.269176,0.75891477,97.626114,93.98513,97.85,-21685884.0,47.59542,-18459242.0,,,-0.115279116,3.4654248,52.881413
2018-10-11,93.92,9917717,95.81,96.29,93.6,,44.45198,12.0,9.848235,0.22624841,52.48501,93.79398,98.189285,-29243996.0,37.594913,-28376960.0,,,-0.16330048,0.12607828,56.54023
2018-10-12,94.81,8487575,94.76,95.17,93.67,,48.58196,12.0,9.457362,0.4853713,11.516281,93.7738,98.52857,-24830456.0,36.34487,-19889384.0,,,-0.12833808,-0.9033615,57.153748
2018-10-15,93.82,7918205,94.5,94.988,93.82,0.08991328,44.608852,12.0,9.094408,0.21755116,-1.9042604,93.79981,98.86786,-32748662.0,29.67733,-27807588.0,5.6862674,,-0.12837325,-0.63488126,56.416325
2018-10-16,95.81,10528950,94.7,96.07,94.34,0.16538318,52.94008,12.0,9.5817795,0.7747668,47.02061,93.67709,99.207146,-25384484.0,38.30382,-17278640.0,6.2937493,,-0.04833813,0.65610176,58.405777
2018-10-17,96.56,8754047,95.18,96.62,94.9,0.25579265,55.647636,12.0,10.406568,0.9307004,74.68638,93.632225,99.546425,-17241184.0,45.119137,-8524592.0,4.9014273,,0.01273024,1.28523,59.34272
2018-10-18,96.17,10297120,96.4,97.245,95.74,0.2774914,53.91068,12.0,11.569611,0.8169879,95.22849,93.61871,99.88571,-21654234.0,52.602154,-18821712.0,4.894689,,0.040679794,2.449483,60.636745
2018-10-19,97.15,8814129,96.0,97.65,96.0,0.34178388,57.5005,12.0,12.895121,1.0006839,97.871864,93.586044,100.225,-18182002.0,54.218266,-10007583.0,3.4694307,,0.07779053,2.5766997,61.999767
2018-10-22,97.14,7020388,97.34,97.58,96.7434,0.36544445,57.45133,12.0,14.125953,0.93375593,90.434586,93.66578,100.564285,-18546196.0,53.99925,-17027972.0,1.0127476,,0.011201624,2.7919998,60.600643
2018-10-23,97.8,9361610,96.5,97.985,96.11,0.40432233,59.889404,48.0,14.540303,0.9872857,105.3524,93.73529,100.90357,-11031944.0,60.44804,-7666361.0,1.138168,,0.12882067,1.9823712,60.157524
2018-10-24,97.56,10280430,97.5,99.17,97.275,0.39234266,58.57501,52.0,15.705125,0.88890857,87.0707,94.85505,101.24286,-18220108.0,66.66311,-17946792.0,1.7637303,,0.12338995,3.9027467,53.127792
2018-10-25,99.18,10731330,98.01,99.48,97.0,0.4669211,64.274574,56.0,16.969515,1.0553337,90.4331,95.023,101.582146,-10085067.0,72.881065,-7215461.0,2.2871268,,0.1873079,3.10664,53.741978
2018-10-26,98.94,14919140,98.81,99.67,98.02,0.47207785,62.89397,60.0,18.256994,0.94970685,84.315285,95.19059,101.921425,-8367105.5,74.78195,-22134600.0,5.1381474,,0.13908087,3.6728344,55.730034
2018-10-29,99.8,12026060,99.51,101.73,99.09,0.5025756,65.73425,64.0,20.4636,0.98904574,85.50791,97.073746,102.26071,-13924603.0,74.94004,-10108541.0,4.525008,,0.10659105,6.0052867,44.28306
2018-10-30,102.42,12636730,100.21,102.6,100.056,0.6585315,72.61224,68.0,22.839901,1.1433504,89.00831,97.773575,102.6,-3076089.5,81.983025,2528189.0,4.1379533,,0.19654879,6.409103,41.36081
2018-10-31,100.28,12278750,102.49,102.49,100.115,0.5796736,61.715588,68.0,25.046463,0.86577713,77.146324,97.6691,103.001114,-13648740.0,80.230804,-9750561.0,3.3224812,,0.18026851,5.7419453,41.208824
2018-11-01,100.58,7643551,99.96,101.17,99.72,0.5121668,62.56373,68.0,26.597979,0.8555083,80.22918,97.6955,103.40222,-12225458.0,80.42697,-2107010.0,-0.2232844,,0.20842943,3.413096,41.779144
2018-11-02,101.34,7274211,100.88,101.57,100.31,0.4835022,64.69741,68.0,28.21767,0.8929445,72.858345,97.74661,103.80334,-7606911.0,85.71824,5167201.0,-2.81685,,0.27609164,3.6597965,41.910744
2018-11-05,102.91,7563915,101.19,103.1692,100.6324,0.5312761,68.66995,84.0,30.332314,0.97855717,93.40956,98.1905,104.204445,-1588696.6,85.47942,12731116.0,-4.247377,,0.27869174,4.4957113,44.589287
2018-11-06,103.33,6291554,102.54,103.44,102.05,0.54985464,69.65375,88.0,32.385742,0.94719905,108.0613,98.498055,104.60555,3707071.8,85.2739,19022670.0,-5.923492,,0.26197883,5.133524,46.8226
2018-11-07,104.32,8252696,103.66,104.47,103.05,0.584283,71.89406,92.0,34.61062,0.9599487,108.67639,99.55905,105.00667,10216240.0,85.12702,27275366.0,-5.3955,,0.30609405,5.9801636,43.08931
2018-11-08,104.88,5895172,104.33,105.26,104.03,0.5980676,73.103645,96.0,36.89143,0.9496431,100.09278,100.40455,105.407776,12468867.0,84.86122,33170538.0,-6.577538,,0.2882501,6.5758543,39.555656
2018-11-09,105.56,8246105,105.0,105.9,104.81,0.60448545,74.53668,100.0,39.169765,0.9448532,95.732765,101.116615,105.80889,15570613.0,85.07201,41416644.0,-5.2979846,105.56,0.34202325,6.795018,37.361526
2018-11-12,103.87,8864601,105.5,106.21,103.65,0.453324,65.23414,100.0,39.888554,0.79319,78.02968,101.29495,106.21,8229615.5,78.205666,32552042.0,-3.7801144,104.87931,0.24701954,5.3985868,40.6521
2018-11-13,102.94,7812730,103.67,104.15,102.54,0.25878718,60.74153,88.0,39.419086,0.696391,59.351677,101.29882,105.737144,4298987.5,71.796295,24739312.0,-3.4399376,104.19862,0.21237108,2.0259316,40.2489
2018-11-14,101.53,10390760,103.0,103.15,101.01,0.016039202,54.601776,88.0,37.681576,0.55793923,29.827978,101.23023,105.26428,-1042057.6,63.8176,14348552.0,-1.131008,103.51793,0.1296075,-0.27491578,44.209858
2018-11-15,99.54,16013980,102.32,102.8,98.62,-0.28125218,47.33029,88.0,35.448803,0.35377824,0.1326743,100.88659,104.79143,-10006822.0,52.181038,-1665428.0,4.1580877,102.83724,0.076474674,-2.2499278,50.572884
2018-11-16,97.69,14117560,98.82,99.42,96.92,-0.5875703,41.762238,84.0,34.212807,0.16751225,-17.774363,100.771286,104.31857,-15427965.0,42.617992,-15782988.0,5.6451397,102.156555,0.03634264,-6.1456523,42.690495
2018-11-19,96.78,8781087,97.94,98.25,96.43,-0.8221607,39.31234,80.0,33.28393,0.08474071,-21.951292,100.770325,103.84571,-20831710.0,34.241764,-24564076.0,2.891527,101.47586,-0.071234025,-6.530559,39.42452
2018-11-20,94.16,12594790,94.98,95.2,93.6,-1.1067502,33.26227,-24.0,33.484165,-0.07750016,-6.705954,100.58395,103.372856,-24610148.0,34.377094,-37158864.0,3.3317032,100.79517,-0.041375004,-10.569051,30.880371
2018-11-21,94.17,9349685,94.36,94.92,93.31,-1.2373967,33.304462,-28.0,33.763287,-0.013640976,2.467901,100.620125,102.9,-23971350.0,34.08546,-27809180.0,1.3902311,100.11448,-0.08034634,-9.563472,30.23104
2018-11-23,95.1,4889960,94.13,95.55,94.13,-1.2031734,37.275852,-28.0,33.57515,0.1022706,12.543998,100.68057,102.42714,-22180660.0,32.70409,-22919220.0,-2.8319657,99.43379,-0.057630677,-7.0286903,30.44209
2018-11-26,95.15,8504338,95.69,96.07,94.74,-1.1208242,37.491356,-28.0,33.03573,0.139292,18.255962,100.75055,101.954285,-25441722.0,32.89772,-14414882.0,-3.0707233,98.753105,-0.13506173,-4.9831634,28.82046
2018-11-27,95.04,9037774,94.99,95.5433,94.41,-1.0202838,37.188637,-28.0,32.671814,0.1650701,19.030355,100.84417,101.48143,-24431322.0,27.457958,-23452656.0,-2.735137,98.07241,-0.17250647,-5.023697,28.466385
2018-11-28,97.46,10061850,95.45,97.62,95.05,-0.7498278,47.274975,-28.0,30.968327,0.34243068,29.57795,100.73625,101.00857,-15622309.0,28.086674,-13390806.0,-1.7121307,97.39172,-0.1498413,-2.2988546,30.040749
2018-11-29,97.29,6177168,97.02,97.83,96.74,-0.5506285,46.707558,-28.0,29.262053,0.3426748,36.91645,100.83642,100.53571,-15565638.0,27.997835,-19567974.0,-3.6915996,96.71104,-0.16408758,-0.34330392,29.854174
2018-11-30,97.65,10663000,97.4,98.4299,97.07,-0.37145558,48.12742,-28.0,27.318573,0.37660426,44.900948,100.89523,100.06286,-17133058.0,28.921728,-8904974.0,-1.6288931,96.03034,-0.1876536,0.5313538,30.213045
2018-12-03,98.75,9081244,98.02,99.59,97.67,-0.16615559,52.308563,-28.0,25.869814,0.4568479,50.729202,100.87227,99.59,-15997902.0,35.66449,176270.0,-1.3703221,95.349655,-0.115015954,1.9298176,35.97621
2018-12-04,95.81,10361560,98.25,98.96,95.61,-0.21268651,42.45809,-28.0,24.632046,0.28611252,37.994038,100.65807,98.990906,-25122260.0,35.149685,-10185290.0,-0.26368335,94.66897,-0.13465467,-0.23015639,41.927128
2018-12-06,94.77,10314680,94.94,95.41,93.1,-0.29288262,39.616074,-64.0,24.530172,0.24409312,22.424713,100.540886,98.391815,-20523074.0,35.369934,-20499970.0,0.39273995,93.98827,-0.090845905,-5.5387053,43.18918
2018-12-07,93.19,8494071,94.5,95.13,92.45,-0.4237694,35.705753,-68.0,24.670362,0.17076606,-3.6859803,100.43312,97.792725,-24326390.0,37.626232,-28994040.0,-0.4575425,93.30759,-0.07825549,-5.373176,52.87751
2018-12-10,93.94,6997360,93.56,94.25,92.34,-0.4299058,38.794083,-72.0,24.84118,0.24105151,6.2175503,100.43525,97.193634,-19600424.0,39.914463,-21996680.0,-2.0298305,92.6269,-0.031758856,-5.638437,51.3531
2018-12-11,93.85,6438814,94.25,94.49,93.25,-0.4101564,38.554752,-72.0,24.83768,0.24357693,18.61682,100.52865,96.59454,-19808128.0,45.906036,-28435496.0,-3.3742244,91.946205,-0.009274427,-3.8415172,50.56317
2018-12-12,93.11,9638443,94.3,94.3,93.06,-0.4157642,36.55773,-72.0,24.915012,0.19119255,18.755566,100.6178,95.99545,-28669276.0,47.05534,-38073936.0,-1.7176718,91.26552,-0.04121567,-3.4555862,47.794537
2018-12-13,92.96,7568602,93.25,93.6765,92.43,-0.39837146,36.14899,-72.0,25.25584,0.1803664,7.3826804,100.70202,95.39636,-29801684.0,47.789753,-45642540.0,-2.0957572,90.58483,-0.04940417,-4.0097165,47.252495
2018-12-14,91.85,11493500,92.05,92.56,91.57,-0.4278311,33.19159,-88.0,25.921593,0.0691916,-3.154298,98.702835,94.79727,-34793810.0,41.493393,-57136040.0,0.63804275,89.90414,-0.11262694,-5.0696144,43.382675
2018-12-17,90.77,8987669,91.22,92.01,90.16,-0.482223,30.570942,-92.0,27.050844,-0.006364627,0.47273538,97.69816,94.19818,-37854476.0,34.645977,-66123708.0,0.52242637,89.22345,-0.10100038,-5.935384,38.01968
2018-12-18,91.08,9594248,90.8,91.26,90.28,-0.45958498,32.225082,-92.0,28.099436,0.08409344,6.184645,97.46233,93.59909,-31784644.0,34.607258,-56529460.0,0.86030084,88.542755,-0.08374357,-5.716043,37.793148
2018-12-19,90.55,12231070,91.29,93.0,90.25,-0.44241217,30.870893,-92.0,27.703054,0.08136742,7.340918,94.11996,93.0,-41347116.0,35.385197,-68760530.0,2.8275096,87.86207,-0.15882872,-3.1266084,38.044277
