Sim_Start_Date,Sim_End_Date,Algorithm_Value,Funds,Investing,Income,Taxes,Purchase_Count,Sell_Count,Div_Count,Average_Income,Median_Income,Back_Test_Count,Research_Range_In_Days,Dataframe_Range_In_Years,Past_Periods,Indicator_List,Indicator_Strength,Buy_Pattern,Sell_Pattern,Sell_Profit,Sell_Loss,Max_Stock_Count,Max_Stock_Percent,Max_Sector_Percent
2023-02-08,2023-03-08,1.3799,3000,0,42.7,4.7,1,1,0,42.7,42.7,10,28,5,50,bop/mfi/rsi,0,D/D/I/D,IGNORE,0.015,-0.2,1,1,1
2023-02-08,2023-03-08,0.9589,3000,3137.0,137.68,15.14,2,1,0,137.68,137.68,10,28,5,95,chop/obv,0,I/D/I,I/I/I,0.05,-0.29,1,1,1
2023-02-08,2023-03-08,1.1856,3000,3115.0,115.45,12.7,2,1,0,115.45,115.45,10,28,5,55,chandelier,0,D/I,I/I,0.03,-0.21,1,1,1
2023-02-08,2023-03-08,1.6866,3000,0,93.64,10.3,1,1,0,93.64,93.64,10,28,5,190,mfi/rsi/stochastic/macd,0,I/I/I/I/I,I/I/D/I/D,0.015,-0.03,1,1,1
2023-02-08,2023-03-08,1.2401,3000,3115.0,115.72,12.73,3,2,0,57.86,57.86,10,28,5,190,adl/adx,0,I/I/D,IGNORE,0.01,-0.12,1,1,1
2023-02-08,2023-03-08,1.5442,3000,3093.0,93.64,10.3,2,1,0,93.64,93.64,10,28,5,175,chandelier,0,I/I,D/D,0.02,-0.22,1,1,1
2023-02-08,2023-03-08,1.3021,3000,0,4.26,0.47,1,1,0,4.26,4.26,10,28,5,20,pvo,4,I/I,D/I,0.015,-0.25,1,1,1
2023-02-08,2023-03-08,1.526,3000,3115.0,115.45,12.7,2,1,0,115.45,115.45,10,28,5,155,chandelier/bollinger,0,I/I/D,IGNORE,0.035,-0.15,1,1,1
2023-02-08,2023-03-08,1.4589,3000,0,137.68,15.14,1,1,0,137.68,137.68,10,28,5,135,chandelier/obv/pvo,1,I/I/I/D,I/D/D/I,0.045,-0.08,1,1,1
2023-02-08,2023-03-08,1.191,3000,0,57.29,6.3,2,2,0,28.65,28.65,10,28,5,5,bop/obv,0,D/I/I,D/D/I,0.09,-0.04,1,1,1
2023-02-08,2023-03-08,0.7119,3000,3034.0,34.32,3.78,2,1,0,34.32,34.32,10,28,5,45,aroon/rsi,1,D/I/I,I/I/I,0.065,-0.09,1,1,1
2023-02-08,2023-03-08,1.1876,3000,0,28.75,3.16,1,1,0,28.75,28.75,10,28,5,20,bop,4,I/I,D/I,0.015,-0.01,1,1,1
2023-02-08,2023-03-08,0.985,3000,3081.0,81.67,8.98,2,1,0,81.67,81.67,10,28,5,100,adl,0,I/I,D/D,0.005,-0.12,1,1,1
2023-02-08,2023-03-08,1.0759,3000,3034.0,34.32,3.78,2,1,0,34.32,34.32,10,28,5,30,bop/mfi,1,D/I/I,IGNORE,0.01,-0.15,1,1,1
2023-02-08,2023-03-08,1.9542,3000,0,177.84,19.56,2,2,0,88.92,88.92,10,28,5,90,pvo,1,I/D,D/I,0.01,-0.22,1,1,1
2023-02-08,2023-03-08,1.0527,3000,3115.0,115.45,12.7,2,1,0,115.45,115.45,10,28,5,85,macd/aroon/stochastic/pvo,2,I/D/D/D/D,IGNORE,0.025,-0.28,1,1,1
2023-02-08,2023-03-08,0.8848,3000,3115.0,115.45,12.7,2,1,0,115.45,115.45,10,28,5,40,adl/chop/chandelier,0,D/I/D/I,IGNORE,0.035,-0.26,1,1,1
2023-02-08,2023-03-08,1.2508,3000,0,45.2,4.97,2,2,0,22.6,22.6,10,28,5,50,aroon/adl/bollinger/pivots,0,D/D/I/I/D,IGNORE,0.01,-0.26,1,1,1
2023-02-08,2023-03-08,1.4589,3000,0,137.68,15.14,1,1,0,137.68,137.68,10,28,5,60,obv/chop,3,D/D/D,IGNORE,0.05,-0.21,1,1,1
2023-02-08,2023-03-08,1.9366,3000,0,137.68,15.14,1,1,0,137.68,137.68,10,28,5,55,mfi,0,D/D,I/I,0.045,-0.11,1,1,1
2023-02-08,2023-03-08,1.6973,3000,0,115.45,12.7,1,1,0,115.45,115.45,10,28,5,5,adx/mfi/chop,0,D/I/D/I,IGNORE,0.03,-0.15,1,1,1
2023-02-08,2023-03-08,1.1967,3000,0,59.01,6.49,1,1,0,59.01,59.01,10,28,5,30,pivots,0,D/I,D/D,0.09,-0.05,1,1,1
2023-02-08,2023-03-08,0.9589,3000,3137.0,137.68,15.14,2,1,0,137.68,137.68,10,28,5,185,adl,0,I/I,D/I,0.045,-0.09,1,1,1
