Payment_Date,Declaration_Date,Ex_Date,Record_Date,Cash_Amount
1995-06-10,1995-04-26,1995-05-09,1995-05-15,0.75
1995-09-11,1995-07-26,1995-08-10,1995-08-14,0.75
1995-12-11,1995-10-25,1995-11-09,1995-11-13,0.75
1996-03-11,1996-01-31,1996-02-08,1996-02-12,0.75
1996-06-10,1996-04-24,1996-05-09,1996-05-13,0.79
1996-09-10,1996-07-31,1996-08-09,1996-08-13,0.79
1996-12-10,1996-10-30,1996-11-07,1996-11-12,0.79
1997-03-10,1997-01-29,1997-02-06,1997-02-10,0.79
1997-06-10,1997-04-30,1997-05-09,1997-05-13,0.41
1997-09-10,1997-07-30,1997-08-11,1997-08-13,0.41
1997-12-10,1997-10-29,1997-11-07,1997-11-12,0.41
1998-03-10,1998-01-28,1998-02-06,1998-02-10,0.41
1998-06-10,1998-04-29,1998-05-11,1998-05-13,0.41
1998-09-10,1998-07-29,1998-08-11,1998-08-13,0.41
1998-12-10,1998-10-28,1998-11-09,1998-11-12,0.41
1999-03-10,1999-01-27,1999-02-08,1999-02-10,0.41
1999-06-10,1999-04-28,1999-05-10,1999-05-12,0.41
1999-09-10,1999-07-28,1999-08-11,1999-08-13,0.41
1999-12-10,1999-10-27,1999-11-09,1999-11-12,0.44
2000-03-10,2000-01-26,2000-02-09,2000-02-11,0.44
2000-06-10,2000-04-26,2000-05-11,2000-05-15,0.44
2000-09-11,2000-07-26,2000-08-10,2000-08-14,0.44
2000-12-11,2000-10-25,2000-11-09,2000-11-13,0.44
2001-03-09,2001-01-31,2001-02-07,2001-02-09,0.44
2001-06-11,2001-04-25,2001-05-10,2001-05-14,0.44
2001-07-11,2001-05-30,2001-06-18,2001-06-20,0.02
2001-09-10,2001-07-25,2001-08-09,2001-08-13,0.23
2001-12-10,2001-10-31,2001-11-07,2001-11-09,0.23
2002-03-11,2002-01-30,2002-02-07,2002-02-11,0.23
2002-06-10,2002-04-24,2002-05-09,2002-05-13,0.23
2002-09-10,2002-07-31,2002-08-09,2002-08-13,0.23
2002-12-10,2002-10-30,2002-11-07,2002-11-12,0.23
2003-03-10,2003-01-29,2003-02-06,2003-02-10,0.23
2003-06-10,2003-04-30,2003-05-09,2003-05-13,0.25
2003-09-10,2003-07-30,2003-08-11,2003-08-13,0.25
2003-12-10,2003-10-29,2003-11-07,2003-11-12,0.25
2004-03-10,2004-01-28,2004-02-09,2004-02-11,0.25
2004-06-10,2004-04-28,2004-05-11,2004-05-13,0.27
2004-09-10,2004-07-28,2004-08-11,2004-08-13,0.27
2004-12-10,2004-10-27,2004-11-09,2004-11-12,0.27
2005-03-10,2005-01-26,2005-02-08,2005-02-10,0.27
2005-06-10,2005-04-27,2005-05-11,2005-05-13,0.29
2005-09-09,2005-07-27,2005-08-10,2005-08-12,0.29
2005-12-09,2005-10-26,2005-11-08,2005-11-10,0.29
2006-06-09,2006-04-26,2006-05-10,2006-05-12,0.32
2006-09-11,2006-07-26,2006-08-10,2006-08-14,0.32
2006-12-11,2006-10-25,2006-11-09,2006-11-13,0.32
2007-03-09,2007-01-31,2007-02-07,2007-02-09,0.32
2007-06-11,2007-04-25,2007-05-10,2007-05-14,0.35
2007-09-10,2007-07-25,2007-08-09,2007-08-13,0.35
2007-12-10,2007-10-31,2007-11-07,2007-11-09,0.35
2008-03-10,2008-01-30,2008-02-07,2008-02-11,0.35
2008-06-10,2008-04-30,2008-05-09,2008-05-13,0.40
2008-09-10,2008-07-30,2008-08-11,2008-08-13,0.40
2008-12-10,2008-10-29,2008-11-07,2008-11-12,0.40
2009-03-10,2009-01-28,2009-02-06,2009-02-10,0.40
2009-06-10,2009-04-29,2009-05-11,2009-05-13,0.42
2009-09-10,2009-07-29,2009-08-11,2009-08-13,0.42
2009-12-10,2009-10-28,2009-11-09,2009-11-12,0.42
2010-03-10,2010-01-27,2010-02-08,2010-02-10,0.42
2010-06-10,2010-04-28,2010-05-11,2010-05-13,0.44
2010-09-10,2010-07-28,2010-08-11,2010-08-13,0.44
2010-12-10,2010-10-27,2010-11-09,2010-11-12,0.44
2011-03-10,2011-01-26,2011-02-08,2011-02-10,0.44
2011-06-10,2011-04-27,2011-05-11,2011-05-13,0.47
2011-09-09,2011-07-27,2011-08-10,2011-08-12,0.47
2011-12-09,2011-10-26,2011-11-08,2011-11-10,0.47
2012-03-09,2012-01-25,2012-02-08,2012-02-10,0.47
2012-06-11,2012-04-25,2012-05-10,2012-05-14,0.57
2012-09-10,2012-07-25,2012-08-09,2012-08-13,0.57
2012-12-10,2012-10-25,2012-11-07,2012-11-09,0.57
