date,close,volume,open,high,low,macd,rsi,aroon,adx,bollinger,stochastic,chandelier,pivots,adl,mfi,obv,pvo,zigzag,bop,elder,chop
2018-08-28,80.28,8794788,80.58,80.82,80.2,,,,,,,,,-6525165.5,,0.0,,,,,
2018-08-29,80.86,8001797,80.44,81.04,80.095,,,,,,,,,-1571671.9,,8001797.0,,,,,
2018-08-30,80.51,7404709,80.45,80.78,80.12,,,,,,,,,-225361.19,,597088.0,,,,,
2018-08-31,80.17,10697460,80.24,80.46,79.77,,,,,,,,,1480031.0,,-10100372.0,,,,,
2018-09-04,80.29,8849342,80.41,80.69,79.81,,,,,,,,,2284516.8,,-1251030.0,,,,,
2018-09-05,81.36,13836850,79.9,81.43,79.6,,,,,,,,,15062810.0,,12585820.0,,,,,
2018-09-06,80.46,13318610,81.11,81.64,80.34,,,,,,,,,4203020.0,,-732790.0,,,,,
2018-09-07,81.83,16312830,80.15,81.93,79.82,,,,,,,,,18969610.0,,15580040.0,,,,,
2018-09-10,81.71,10433310,82.236,82.74,81.655,,,,,,,,,9594055.0,,5146730.0,,,,,
2018-09-11,82.86,11780470,81.96,83.19,81.63,,,,,,,,,16390480.0,,16927200.0,,,,,
2018-09-12,83.13,11535540,83.25,83.78,82.87,,,,,,,,83.78,11446677.0,,28462740.0,,,,,
2018-09-13,82.32,10914350,83.15,83.25,82.01,,,,,,,,84.17778,5989502.5,,17548390.0,,,,,
2018-09-14,82.92,8666234,82.42,83.15,82.27,,,,,,,,84.575554,10125660.0,,26214624.0,,,,2.543077,
2018-09-17,83.41,7934194,83.0,83.61,82.99,,,,,,,,84.973335,12941019.0,,34148816.0,,,0.10200515,3.1597803,
2018-09-18,83.63,8836241,83.9,84.13,83.45,,69.96424,,,,,,85.37111,8782788.0,80.60444,42985060.0,,,0.10820601,3.5940974,46.952744
2018-09-19,84.63,10064480,83.64,84.77,83.64,,73.381004,,,,,,85.76889,16353414.0,80.92422,53049540.0,,,0.139039,3.6706548,42.414764
2018-09-20,84.82,11100160,84.86,85.34,84.54,,73.9865,,,,,,86.166664,13023366.0,86.14237,64149700.0,,,0.12897407,4.4405613,38.595047
2018-09-21,85.17,26596940,85.01,85.43,84.52,,75.10969,,,,97.46841,,86.564445,24422054.0,93.607506,90746640.0,,,0.1487793,3.810481,38.408638
2018-09-24,86.6,13294210,85.79,87.085,85.72,,79.08339,,,,93.11925,,86.96222,28269098.0,93.800766,104040850.0,,86.6,0.20090576,5.656841,31.305779
2018-09-25,86.5,11652630,87.031,87.36,86.37,,78.14387,,,0.97681236,90.670525,,87.36,19676754.0,93.75469,92388216.0,,86.218,0.10560733,5.745864,29.119713
2018-09-26,85.78,9906464,86.02,86.5,85.69,,71.552635,,,0.8476698,79.20054,,87.28167,11971726.0,87.656105,82481750.0,,85.836,0.1201576,3.695026,27.960257
2018-09-27,85.77,7658406,86.085,86.375,85.59,,71.46248,,,0.8118267,66.845,,87.20333,7825455.5,82.18569,74823350.0,,85.454,0.03462314,3.0350223,35.03648
2018-09-28,85.02,9712044,85.25,85.9299,84.99,,64.86149,,,0.6995568,52.345615,84.09683,87.125,-1266604.9,76.01396,65111304.0,,85.072,0.05177212,1.8313477,34.653927
2018-10-01,85.81,8521724,85.35,86.03,85.255,,68.19413,,,0.774055,57.377,84.10743,87.04667,2416979.0,75.57573,73633030.0,,84.69,0.052959643,1.8348123,35.767883
2018-10-02,86.46,7930951,85.8,86.665,85.622,,70.65982,,,0.8319978,74.19718,84.113045,86.96833,7230298.5,75.055824,81563980.0,,84.308,0.107578084,2.3411248,36.105343
2018-10-03,86.15,9414971,86.51,86.89,85.975,,67.95412,56.0,,0.76461035,86.82394,84.135864,86.89,1416682.4,81.86962,72149010.0,,83.926,0.12728609,2.5828214,37.094826
2018-10-04,85.58,9673638,85.5,86.0753,85.25,,63.164722,56.0,,0.66892946,71.45662,84.15969,86.8875,-520858.34,75.6562,62475372.0,,83.544,0.093625575,0.91771823,42.3277
2018-10-05,85.34,9216380,85.31,85.7,84.9324,,61.20859,56.0,44.90241,0.6117381,43.17991,84.200485,86.885,50662.883,69.90071,53258990.0,,83.162,0.04918218,0.18590134,46.974888
2018-10-08,86.13,12997180,84.79,86.305,84.65,,65.04587,56.0,43.76508,0.72941107,46.308094,84.118416,86.8825,10299195.0,70.733826,66256172.0,,82.78,0.13537693,0.24942973,51.65772
2018-10-09,86.51,10176580,86.38,86.88,85.74,,66.74969,56.0,43.142525,0.7750511,64.51738,84.110306,86.88,13869924.0,70.79893,76432750.0,,82.398,0.08094328,1.5837969,61.987324
2018-10-10,84.52,16393330,86.73,86.82,84.5,,52.35667,56.0,40.966923,0.37069178,27.129757,83.94166,86.25,-2240762.0,61.759056,60039420.0,,82.016,0.016472837,0.5689688,65.47901
2018-10-11,81.6,20046170,83.94,84.17,81.17,,39.05072,48.0,39.741283,-0.16882028,-11.3425045,83.64022,85.62,-16540363.0,47.679993,39993252.0,,81.634,-0.051800318,-4.3323126,41.56872
2018-10-12,81.38,14884770,82.13,82.24,80.27,,38.261745,48.0,39.07198,-0.11982862,-29.747816,83.540665,84.99,-14651433.0,38.913525,25108480.0,,81.252,-0.12138012,-6.1748395,36.53707
2018-10-15,80.82,10437340,81.38,81.735,80.82,-1.0094218,36.25386,-52.0,38.450485,-0.09844344,1.5931537,83.58949,84.36,-25088774.0,31.781866,14671141.0,5.9693646,80.87,-0.12678428,-5.1234336,38.982967
2018-10-16,81.2,9284658,80.51,81.265,80.01,-0.98755413,38.608173,-60.0,38.283665,0.021187471,20.044287,83.589745,83.73,-16765872.0,32.0265,23955800.0,2.716821,80.488,-0.066348776,-5.6493716,38.42292
2018-10-17,81.5,10839140,80.94,81.52,80.34,-0.9122778,40.477203,-60.0,37.86424,0.10972793,20.721008,83.60021,83.1,-6294161.0,38.06016,34794940.0,1.3286004,80.106,-0.0037880486,-4.503747,39.20401
2018-10-18,81.85,16453060,81.2,82.47,81.2,-0.802202,42.6701,-60.0,36.54398,0.18569964,31.426598,83.59793,82.47,-5905506.0,46.319656,51248000.0,3.3251195,79.724,0.050248943,-2.313212,39.844635
2018-10-19,81.97,11656120,81.66,82.4636,81.51,-0.68893456,43.43949,-60.0,35.318024,0.22727424,34.7009,83.63889,82.555,-6316208.0,47.174843,62904120.0,1.8908136,79.342,0.031072909,-1.7177244,39.735943
2018-10-22,81.15,8757475,82.0,82.18,80.64,-0.6380227,39.535004,-60.0,34.724586,0.16985175,24.160206,83.59804,82.64,-9273278.0,42.253544,54146644.0,-0.6535454,78.96,-0.053551238,-2.3868496,40.68317
2018-10-23,79.84,15334880,80.06,80.46,78.715,-0.6586795,34.240116,-80.0,35.13286,0.07898667,12.719057,83.43699,82.725,-4835390.0,35.492508,38811764.0,1.2313277,78.578,-0.034453515,-5.2422996,36.952747
2018-10-24,77.62,16008000,80.13,80.26,77.55,-0.77968407,27.514862,-84.0,35.967525,-0.04613974,-4.8432302,83.245766,82.81,-20016408.0,34.480553,22803764.0,2.600238,78.196,-0.1075345,-5.296257,34.940998
2018-10-25,78.31,12278120,78.49,79.05,77.74,-0.76975495,31.986334,-84.0,36.742577,0.08019034,-2.3499048,82.76778,82.895,-21609752.0,34.081245,35081884.0,1.4177011,77.814,-0.12014074,-5.389649,35.99602
2018-10-26,77.53,18154980,77.87,78.41,76.96,-0.7703372,29.752,-92.0,37.753876,0.073393784,-0.56126815,82.75742,82.98,-25491162.0,26.23407,16926904.0,3.414982,77.432,-0.19472292,-5.792556,33.34916
2018-10-29,77.05,15646190,78.07,78.43,76.22,-0.7565762,28.43563,-96.0,38.948,0.08836667,8.602304,82.6439,83.065,-29385010.0,20.12643,1280714.0,3.1875427,77.05,-0.23583531,-5.5036197,32.49515
2018-10-30,78.78,17757510,77.62,79.03,77.42,-0.591785,38.924282,-96.0,39.397987,0.25286213,27.523783,82.56691,83.15,-17142254.0,28.945366,19038224.0,3.74718,77.90429,-0.11632937,-3.3331025,41.244446
2018-10-31,79.68,16612620,79.34,80.3501,78.9,-0.3925896,43.558754,-72.0,38.529903,0.34743485,59.193493,82.54931,83.235,-15883219.0,38.10721,35650844.0,3.2924614,78.75857,-0.043867476,-0.47255918,49.15345
2018-11-01,80.67,14152450,79.83,80.75,79.3,-0.17563401,48.21379,-72.0,37.370594,0.45322287,92.11012,82.54888,83.32,-3292418.8,45.665607,49803296.0,1.7032914,79.612854,0.024705453,0.09629213,48.281887
2018-11-02,81.95,18839910,81.76,82.45,80.23,0.059987552,53.54823,-72.0,34.974586,0.59398407,113.26384,82.43348,83.405,7061045.0,53.256878,68643200.0,2.5469143,80.46714,0.07453456,2.1625361,50.43233
2018-11-05,81.64,15810460,82.5,82.87,81.44,0.19335012,52.147217,-72.0,32.48961,0.59630746,106.2982,82.44059,83.49,-4326908.5,59.301556,52832744.0,1.5694165,81.32143,-0.0076939724,3.3978882,48.360977
2018-11-06,81.99,9062988,81.74,82.1,81.35,0.2973066,53.622562,-72.0,30.218954,0.69544625,99.37858,82.540115,83.575,2077603.0,54.467102,61895732.0,-2.0730672,82.17571,-0.017782753,2.0996184,47.670948
2018-11-07,83.03,12697080,82.21,83.14,81.6599,0.42073894,57.78724,-72.0,28.723076,0.8749527,95.3443,82.535545,83.66,12887407.0,53.630592,74592820.0,-2.770672,83.03,-0.014768068,2.7767158,46.501595
2018-11-08,81.71,16862350,83.13,83.745,81.535,0.39833915,51.469658,-56.0,27.712767,0.6798029,83.741714,82.37166,83.745,-1304435.4,46.490074,57730464.0,-1.2667236,82.34454,-0.08388363,3.0572705,45.290356
2018-11-09,80.87,15069970,80.26,81.4,79.695,0.3154335,47.88223,-56.0,26.006828,0.56074804,64.72202,79.649086,83.11857,4396521.0,45.12464,42660492.0,-1.1197834,81.65909,-0.018903676,-1.058768,46.007385
2018-11-12,79.83,11905910,81.66,81.73,79.73,0.18546748,43.810757,-56.0,24.199533,0.41486064,32.942116,79.15685,82.49214,-6318798.0,45.831177,30754582.0,-2.4201007,80.97363,-0.0752555,-0.33751544,45.35126
2018-11-13,78.0,15527230,79.8,79.85,77.64,-0.018020699,37.7311,-56.0,23.729288,0.18169065,11.353613,79.06404,81.865715,-16787382.0,45.93305,15227352.0,-1.5466412,80.288185,-0.067275524,-3.479299,44.58279
2018-11-14,77.39,18539750,78.86,79.09,76.75,-0.17902532,35.940704,-52.0,23.718948,0.14065401,-2.451089,78.95772,81.23929,-25185732.0,44.661842,-3312398.0,0.3250844,79.60273,-0.102332704,-4.2451134,45.969982
2018-11-15,78.19,18962360,76.67,78.19,75.91,-0.21457101,39.964207,-100.0,24.083708,0.27296335,4.102659,78.86442,80.612854,-6223371.0,44.510612,15649962.0,1.5402414,78.917274,-0.03796489,-5.4558115,45.662697
2018-11-16,78.96,13578150,78.37,79.19,78.1,-0.1710436,43.63386,-20.0,23.678684,0.394873,30.452879,78.93762,79.98643,1624550.4,51.074825,29228112.0,-0.07045827,78.23182,0.033665314,-2.032124,44.003685
2018-11-19,79.22,9393970,78.46,79.36,78.43,-0.112393625,44.859478,-20.0,23.179264,0.44397822,52.018074,79.02932,79.36,8190228.5,49.15646,38622080.0,-2.945083,77.546364,0.040572986,-1.4061064,42.379494
2018-11-20,76.97,15532900,78.42,78.9,76.37,-0.20726582,37.300777,-20.0,23.66685,0.16120635,30.580162,78.855034,79.619,24711.74,41.479507,23089182.0,-1.977245,76.86091,-0.017111951,-3.175234,44.3502
2018-11-21,77.56,9685306,77.43,78.38,77.26,-0.21167484,40.148655,-20.0,24.119606,0.24201119,14.209743,78.88503,79.878,-4472037.5,40.0866,32774488.0,-3.922599,76.17545,-0.050200444,-2.3302007,44.29014
2018-11-23,75.49,10875430,76.05,76.2,74.7,-0.32842466,34.26771,-40.0,25.476244,0.027423806,-4.424277,78.71594,80.137,-3892014.5,31.954369,21899058.0,-4.4861374,75.49,-0.082980365,-6.0716004,39.79814
2018-11-26,76.98,13064670,76.24,77.32,76.12,-0.2815279,40.970364,-40.0,25.907207,0.21824132,16.076761,78.69499,80.396,1769342.5,30.632648,34963730.0,-3.6042333,76.445,0.004024294,-3.1013718,40.37988
2018-11-27,77.05,10343850,76.57,77.45,76.4,-0.22449845,41.273335,-40.0,26.213148,0.22675,24.756865,78.78136,80.655,4232164.0,35.785385,45307576.0,-4.1964293,77.4,0.012867832,-2.3426044,40.810394
2018-11-28,78.45,11428510,77.04,78.45,76.84,-0.078718446,47.119118,-40.0,25.783667,0.39919406,46.52093,78.78743,80.914,15660674.0,35.105484,56736090.0,-3.846484,78.355,0.035850674,-1.0036609,40.9953
2018-11-29,79.06,9881446,78.22,79.53,78.195,0.06481013,49.478874,-40.0,24.681396,0.47688743,66.78694,78.83073,81.173,18584398.0,42.02448,66617536.0,-4.225668,79.31,0.12668978,1.1704334,49.281815
2018-11-30,79.5,14039060,78.45,79.6,78.32,0.18840683,51.171455,-40.0,23.613035,0.5378212,84.23221,78.879555,81.432,30429854.0,50.126717,80656590.0,-2.1101487,80.265,0.15972844,1.0160859,48.18708
2018-12-03,81.22,19324230,80.24,81.46,80.14,0.37428865,57.20692,-40.0,22.328642,0.7590731,109.422424,78.83344,81.691,42727092.0,58.605827,99980824.0,1.9022493,81.22,0.27811587,3.9052165,49.61059
2018-12-04,79.43,17092550,81.38,81.95,79.35,0.36461228,50.246265,-40.0,20.785418,0.5503673,90.308464,78.70215,81.95,26686390.0,58.009655,82888270.0,3.1578114,80.097855,0.28272158,3.438757,47.544685
2018-12-06,78.39,21245440,78.0,78.44,76.92,0.2799033,46.691555,-40.0,20.530792,0.43369102,63.85298,78.589096,81.2,46534104.0,57.19431,61642830.0,5.523681,78.975716,0.34592044,-2.3467798,47.797203
2018-12-07,77.64,16099580,79.39,80.36,77.335,0.17047508,44.25978,-40.0,19.257107,0.3439164,23.523615,78.41096,80.45,33681052.0,66.38301,45543256.0,4.437275,77.85357,0.25697908,0.33490306,48.884396
2018-12-10,76.54,17940040,77.86,77.86,74.797,0.028565003,40.89562,-40.0,19.116314,0.18246253,8.80428,78.23573,79.7,36158570.0,58.099747,27603214.0,4.2598124,76.73143,0.18753375,-4.0916543,51.62145
2018-12-11,76.68,12954750,77.7,77.8,75.68,-0.04719612,41.505024,-40.0,18.985579,0.22832243,11.739464,78.19706,78.95,35425280.0,58.776943,40557964.0,1.843884,75.60928,0.094795436,-2.784561,53.181507
2018-12-12,76.02,14509530,78.04,78.2,76.015,-0.1284714,39.440453,-40.0,18.640741,0.1442762,8.45977,76.356285,78.2,20982156.0,66.30475,26048434.0,0.84923244,74.487144,0.06969811,-1.4460523,52.31764
2018-12-13,76.98,11136870,76.03,77.22,75.95,-0.10526483,43.818066,-40.0,18.34902,0.33383653,23.386972,76.43736,77.888885,27909816.0,61.04317,37185304.0,-1.3007551,73.365,0.114838116,-2.2480447,52.133236
2018-12-14,75.58,12668760,76.72,76.87,75.09,-0.16815735,39.350727,-40.0,18.45705,0.118105754,14.276362,76.430214,77.577774,22215992.0,60.499092,24516544.0,-1.9662524,72.24286,0.09575839,-2.8497527,51.340714
2018-12-17,74.04,14788790,75.26,75.6,73.48,-0.2902694,35.110317,-100.0,19.194157,-0.03412166,7.545536,76.39202,77.26667,15240147.0,53.789337,9727754.0,-1.3593619,71.12071,0.010605653,-4.7683597,45.33121
2018-12-18,72.0,18631010,73.63,73.86,71.62,-0.47434503,30.43209,-36.0,20.49713,-0.14665619,-7.839937,76.31465,76.95556,2930372.5,47.107754,-8903256.0,0.7419875,69.99857,-0.07402445,-6.961451,39.617714
2018-12-19,70.78,21569390,72.45,73.27,70.2953,-0.63419706,28.02697,-40.0,22.08821,-0.12590332,-4.3714194,76.16517,76.64445,-11609950.0,40.07923,-30472646.0,3.1236157,68.87643,-0.17667998,-7.321658,36.765713
2018-12-20,68.63,28660520,70.09,70.66,68.05,-0.8283915,24.371445,-44.0,24.116327,-0.1478177,1.4110494,76.05584,76.333336,-27532462.0,33.16105,-59133170.0,6.8725395,67.75429,-0.26158002,-10.230249,31.770893
2018-12-21,68.12,47244260,68.14,70.37,67.67,-0.92738205,23.5856,-48.0,26.084347,-0.060485084,3.0512311,75.955574,76.022224,-59028636.0,24.228508,-106377420.0,13.898922,66.63214,-0.32070288,-9.085928,32.38673
2018-12-24,65.51,14262830,66.87,67.53,65.44,-1.0934148,20.02667,-52.0,28.365887,-0.09622569,0.805514,75.862595,75.71111,-72336056.0,17.068668,-120640260.0,7.2032123,65.51,-0.420213,-11.855082,27.69248
2018-12-26,68.64,24651740,66.18,68.655,64.65,-0.923959,33.06983,-56.0,29.731627,0.13745384,18.261137,75.593155,75.4,-47868976.0,25.106598,-95988510.0,5.6039886,65.73061,-0.32276785,-10.442213,31.096283
