Sim_Start_Date,Sim_End_Date,Algorithm_Value,Funds,Investing,Income,Taxes,Purchase_Count,Sell_Count,Div_Count,Average_Income,Median_Income,Back_Test_Count,Research_Range_In_Days,Dataframe_Range_In_Years,Past_Periods,Indicator_List,Indicator_Strength,Buy_Pattern,Sell_Pattern,Sell_Profit,Sell_Loss,Max_Stock_Count,Max_Stock_Percent,Max_Sector_Percent
2023-02-08,2023-03-08,1.4848,3000,0,69.62,7.66,1,1,0,69.62,69.62,10,28,5,25,aroon/chop,0,I/D/D,IGNORE,0.005,-0.06,1,1,1
2023-02-08,2023-03-08,1.4436,3000,0,69.62,7.66,1,1,0,69.62,69.62,10,28,5,70,mfi/elder/rsi,0,I/D/D/D,IGNORE,0.035,-0.02,1,1,1
2023-02-08,2023-03-08,1.721,3000,0,40.34,4.44,1,1,0,40.34,40.34,10,28,5,40,pvo,1,I/I,IGNORE,0.005,-0.14,1,1,1
2023-02-08,2023-03-08,1.0018,3000,3069.0,69.62,7.66,2,1,0,69.62,69.62,10,28,5,50,zigzag/aroon/adl/bop,1,I/I/I/I/I,IGNORE,0.025,-0.27,1,1,1
2023-02-08,2023-03-08,0.6804,3000,3031.0,31.16,3.43,2,1,0,31.16,31.16,10,28,5,25,stochastic/macd/mfi/rsi,0,I/D/D/I/D,D/I/D/I/I,0.02,-0.29,1,1,1
2023-02-08,2023-03-08,0.7779,3000,3054.0,54.42,5.99,2,1,0,54.42,54.42,10,28,5,115,adx,0,I/D,IGNORE,0.025,-0.25,1,1,1
2023-02-08,2023-03-08,1.1243,3000,0,37.29,4.1,1,1,0,37.29,37.29,10,28,5,35,bollinger/zigzag,0,D/D/I,D/I/D,0.015,-0.04,1,1,1
2023-02-08,2023-03-08,1.2143,3000,0,31.16,3.43,1,1,0,31.16,31.16,10,28,5,60,aroon,0,I/I,I/D,0.015,-0.24,1,1,1
2023-02-08,2023-03-08,1.2321,3000,0,69.62,7.66,1,1,0,69.62,69.62,10,28,5,195,chop/aroon/bollinger/macd,1,I/I/D/I/I,IGNORE,0.02,-0.02,1,1,1
2023-02-08,2023-03-08,1.3773,3000,0,38.07,4.19,1,1,0,38.07,38.07,10,28,5,115,macd/obv,1,I/D/I,I/I/I,0.055,-0.06,1,1,1
2023-02-08,2023-03-08,1.7486,3000,0,31.95,3.51,1,1,0,31.95,31.95,10,28,5,5,elder,2,D/D,D/I,0.01,-0.27,1,1,1
2023-02-08,2023-03-08,1.5276,3000,0,63.27,6.96,1,1,0,63.27,63.27,10,28,5,20,mfi/adl/pivots,0,D/D/D/I,IGNORE,0.025,-0.05,1,1,1
2023-02-08,2023-03-08,0.8215,3000,3012.0,12.88,1.42,2,1,0,12.88,12.88,10,28,5,15,zigzag,0,D/D,I/I,0.06,-0.02,1,1,1
2023-02-08,2023-03-08,1.4686,3000,0,54.15,5.96,1,1,0,54.15,54.15,10,28,5,30,mfi,0,I/D,I/I,0.025,-0.25,1,1,1
